카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년02월_계_총인구수,"1,456,121","98,641","301,015","217,993","432,872","405,600"
2020년02월_계_연령구간인구수,"1,456,121","98,641","301,015","217,993","432,872","405,600"
2020년02월_계_0~9세,"125,396","6,627","23,223","18,250","34,796","42,500"
2020년02월_계_10~19세,"162,728","7,363","33,355","23,448","44,677","53,885"
2020년02월_계_20~29세,"207,554","13,876","45,339","28,552","62,636","57,151"
2020년02월_계_30~39세,"191,432","12,476","38,598","26,951","57,141","56,266"
2020년02월_계_40~49세,"244,903","13,655","50,458","34,520","68,666","77,604"
2020년02월_계_50~59세,"234,048","15,401","49,847","33,852","72,734","62,214"
2020년02월_계_60~69세,"155,056","14,050","32,672","27,184","50,529","30,621"
2020년02월_계_70~79세,"91,020","10,087","18,628","17,051","28,472","16,782"
2020년02월_계_80~89세,"38,050","4,428","7,675","7,004","11,498","7,445"
2020년02월_계_90~99세,"5,529",618,"1,148","1,083","1,609","1,071"
2020년02월_계_100세 이상,405,60,72,98,114,61
2020년02월_남_총인구수,"720,686","48,775","147,750","104,972","214,985","204,204"
2020년02월_남_연령구간인구수,"720,686","48,775","147,750","104,972","214,985","204,204"
2020년02월_남_0~9세,"64,441","3,430","12,053","9,308","17,795","21,855"
2020년02월_남_10~19세,"84,584","3,831","17,516","11,823","23,685","27,729"
2020년02월_남_20~29세,"108,342","7,144","23,316","14,676","32,997","30,209"
2020년02월_남_30~39세,"97,291","6,503","19,456","13,359","29,612","28,361"
2020년02월_남_40~49세,"121,575","7,154","24,333","16,921","34,352","38,815"
2020년02월_남_50~59세,"115,911","7,587","24,413","15,974","35,426","32,511"
2020년02월_남_60~69세,"73,842","6,631","15,391","12,508","24,127","15,185"
2020년02월_남_70~79세,"40,255","4,474","8,318","7,647","12,657","7,159"
2020년02월_남_80~89세,"13,188","1,839","2,698","2,496","3,984","2,171"
2020년02월_남_90~99세,"1,206",172,247,247,337,203
2020년02월_남_100세 이상,51,10,9,13,13,6
2020년02월_여_총인구수,"735,435","49,866","153,265","113,021","217,887","201,396"
2020년02월_여_연령구간인구수,"735,435","49,866","153,265","113,021","217,887","201,396"
2020년02월_여_0~9세,"60,955","3,197","11,170","8,942","17,001","20,645"
2020년02월_여_10~19세,"78,144","3,532","15,839","11,625","20,992","26,156"
2020년02월_여_20~29세,"99,212","6,732","22,023","13,876","29,639","26,942"
2020년02월_여_30~39세,"94,141","5,973","19,142","13,592","27,529","27,905"
2020년02월_여_40~49세,"123,328","6,501","26,125","17,599","34,314","38,789"
2020년02월_여_50~59세,"118,137","7,814","25,434","17,878","37,308","29,703"
2020년02월_여_60~69세,"81,214","7,419","17,281","14,676","26,402","15,436"
2020년02월_여_70~79세,"50,765","5,613","10,310","9,404","15,815","9,623"
2020년02월_여_80~89세,"24,862","2,589","4,977","4,508","7,514","5,274"
2020년02월_여_90~99세,"4,323",446,901,836,"1,272",868
2020년02월_여_100세 이상,354,50,63,85,101,55
