,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년09월_계_총인구수,"26,981","6,717","6,053","2,304","3,585","8,322",0
2021년09월_계_연령구간인구수,"26,981","6,717","6,053","2,304","3,585","8,322",0
2021년09월_계_0~9세,"1,307",516,177,53,124,437,0
2021년09월_계_10~19세,"1,592",523,329,95,176,469,0
2021년09월_계_20~29세,"2,635",825,476,122,336,876,0
2021년09월_계_30~39세,"2,290",741,333,133,284,799,0
2021년09월_계_40~49세,"3,064",822,583,194,354,"1,111",0
2021년09월_계_50~59세,"4,805","1,109","1,096",407,632,"1,561",0
2021년09월_계_60~69세,"5,575","1,076","1,409",628,816,"1,646",0
2021년09월_계_70~79세,"3,439",649,970,413,508,899,0
2021년09월_계_80~89세,"1,936",384,569,220,308,455,0
2021년09월_계_90~99세,326,69,110,38,44,65,0
2021년09월_계_100세 이상,12,3,1,1,3,4,0
2021년09월_남_총인구수,"13,881","3,514","3,019","1,127","1,850","4,371",0
2021년09월_남_연령구간인구수,"13,881","3,514","3,019","1,127","1,850","4,371",0
2021년09월_남_0~9세,669,267,92,25,60,225,0
2021년09월_남_10~19세,854,284,167,57,90,256,0
2021년09월_남_20~29세,"1,692",521,317,74,206,574,0
2021년09월_남_30~39세,"1,306",413,188,76,178,451,0
2021년09월_남_40~49세,"1,671",433,312,127,207,592,0
2021년09월_남_50~59세,"2,598",606,626,207,331,828,0
2021년09월_남_60~69세,"2,848",550,694,324,422,858,0
2021년09월_남_70~79세,"1,490",291,399,165,231,404,0
2021년09월_남_80~89세,673,128,202,64,112,167,0
2021년09월_남_90~99세,77,20,22,8,13,14,0
2021년09월_남_100세 이상,3,1,0,0,0,2,0
2021년09월_여_총인구수,"13,100","3,203","3,034","1,177","1,735","3,951",0
2021년09월_여_연령구간인구수,"13,100","3,203","3,034","1,177","1,735","3,951",0
2021년09월_여_0~9세,638,249,85,28,64,212,0
2021년09월_여_10~19세,738,239,162,38,86,213,0
2021년09월_여_20~29세,943,304,159,48,130,302,0
2021년09월_여_30~39세,984,328,145,57,106,348,0
2021년09월_여_40~49세,"1,393",389,271,67,147,519,0
2021년09월_여_50~59세,"2,207",503,470,200,301,733,0
2021년09월_여_60~69세,"2,727",526,715,304,394,788,0
2021년09월_여_70~79세,"1,949",358,571,248,277,495,0
2021년09월_여_80~89세,"1,263",256,367,156,196,288,0
2021년09월_여_90~99세,249,49,88,30,31,51,0
2021년09월_여_100세 이상,9,2,1,1,3,2,0
