카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년01월_계_총인구수,"514,876","27,461","43,703","24,083","25,626","11,433","3,663","15,684","6,823","5,508","43,987","26,463","18,195","11,954","22,035","6,813","5,753","22,845","10,840","4,106","74,566","52,408","24,684","26,243"
2020년01월_계_연령구간인구수,"514,876","27,461","43,703","24,083","25,626","11,433","3,663","15,684","6,823","5,508","43,987","26,463","18,195","11,954","22,035","6,813","5,753","22,845","10,840","4,106","74,566","52,408","24,684","26,243"
2020년01월_계_0~9세,"48,327","1,580","4,290","2,161","4,215",538,127,"1,719",348,177,"3,172","1,541","2,141",754,"1,734",549,193,"1,192",625,135,"9,685","5,637","3,563","2,251"
2020년01월_계_10~19세,"53,123","1,735","6,060","2,046","2,885",861,211,"1,336",517,313,"5,350","2,564","1,787",990,"2,261",485,316,"1,853",755,226,"8,502","6,268","3,033","2,769"
2020년01월_계_20~29세,"69,169","2,972","5,587","2,937","2,154","1,539",347,"2,059",733,467,"6,859","3,823","2,345","2,159","2,985",915,687,"3,852","1,582",577,"10,014","7,327","3,150","4,099"
2020년01월_계_30~39세,"76,949","3,010","5,912","4,064","4,984","1,392",379,"2,581",642,422,"5,438","3,208","3,027","2,130","2,691","1,102",615,"2,924","1,551",401,"14,183","8,005","4,740","3,548"
2020년01월_계_40~49세,"90,548","3,966","8,768","4,695","4,877","1,734",467,"2,525",910,640,"7,932","4,425","3,314","1,989","3,741","1,135",814,"3,566","1,623",556,"14,226","9,297","4,995","4,353"
2020년01월_계_50~59세,"83,798","5,219","6,666","3,839","2,838","2,142",719,"2,509","1,374","1,077","7,922","4,995","3,002","1,839","4,110","1,026","1,036","4,315","1,956",859,"10,072","8,330","3,115","4,838"
2020년01월_계_60~69세,"49,994","4,413","3,447","2,379","1,973","1,694",692,"1,559","1,080","1,104","4,047","3,138","1,475","1,121","2,457",822,949,"2,757","1,419",699,"4,696","4,342","1,294","2,437"
2020년01월_계_70~79세,"27,631","2,825","1,878","1,255","1,075","1,005",440,872,723,783,"2,129","1,820",704,656,"1,328",499,719,"1,591",865,449,"2,108","2,092",529,"1,286"
2020년01월_계_80~89세,"13,264","1,503",940,614,514,467,254,452,439,467,985,820,338,273,617,225,348,693,396,180,953,969,232,585
2020년01월_계_90~99세,"1,843",191,145,88,103,56,25,67,54,55,138,112,57,38,98,44,55,91,54,21,118,128,32,73
2020년01월_계_100세 이상,230,47,10,5,8,5,2,5,3,3,15,17,5,5,13,11,21,11,14,3,9,13,1,4
2020년01월_남_총인구수,"265,037","14,036","22,351","14,258","13,528","6,236","2,016","8,177","3,593","2,901","22,402","13,363","9,504","6,292","10,989","3,356","2,881","11,662","5,568","2,136","37,766","26,060","12,796","13,166"
