,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년11월_계_총인구수,"463,706","32,497","31,443","36,162","34,887","20,287","42,733","47,716","42,936","33,613","47,071","27,215","25,981","19,507","21,658"
2021년11월_계_연령구간인구수,"463,706","32,497","31,443","36,162","34,887","20,287","42,733","47,716","42,936","33,613","47,071","27,215","25,981","19,507","21,658"
2021년11월_계_0~9세,"33,099","1,124","1,682","2,165","2,304","1,389","2,629","3,318","3,626","2,658","6,397","1,825","1,472","1,142","1,368"
2021년11월_계_10~19세,"41,710","1,602","2,108","2,790","3,347","2,004","3,704","4,924","3,656","4,157","5,364","2,462","1,959","1,563","2,070"
2021년11월_계_20~29세,"64,376","6,706","5,460","4,672","4,454","2,338","5,901","6,753","5,757","4,562","4,977","3,833","3,521","2,579","2,863"
2021년11월_계_30~39세,"60,092","5,071","4,605","4,374","3,859","2,180","4,902","5,465","6,530","3,725","7,893","3,244","3,295","2,453","2,496"
2021년11월_계_40~49세,"73,674","4,370","4,707","5,612","5,486","3,360","6,446","7,379","6,844","6,130","9,360","4,050","3,730","2,782","3,418"
2021년11월_계_50~59세,"81,094","5,507","5,466","6,030","6,011","3,409","8,442","8,879","7,375","6,122","6,292","5,113","4,931","3,596","3,921"
2021년11월_계_60~69세,"61,434","4,715","4,230","5,486","4,742","2,951","6,209","6,430","5,412","3,235","4,124","3,749","4,002","3,057","3,092"
2021년11월_계_70~79세,"31,254","2,196","2,120","3,476","3,039","1,712","2,939","2,912","2,271","1,904","1,801","1,843","2,020","1,486","1,535"
2021년11월_계_80~89세,"14,965","1,059",948,"1,409","1,468",826,"1,390","1,429","1,273",974,746,979,940,754,770
2021년11월_계_90~99세,"1,953",141,115,146,171,114,170,225,184,142,114,113,105,91,122
2021년11월_계_100세 이상,55,6,2,2,6,4,1,2,8,4,3,4,6,4,3
2021년11월_남_총인구수,"228,555","16,655","15,607","17,596","16,892","9,714","20,989","23,130","21,374","16,636","22,858","13,341","13,008","9,937","10,818"
2021년11월_남_연령구간인구수,"228,555","16,655","15,607","17,596","16,892","9,714","20,989","23,130","21,374","16,636","22,858","13,341","13,008","9,937","10,818"
2021년11월_남_0~9세,"17,130",609,885,"1,111","1,187",701,"1,387","1,731","1,849","1,382","3,288",920,748,605,727
2021년11월_남_10~19세,"21,522",804,"1,140","1,423","1,694","1,031","1,873","2,588","1,888","2,125","2,700","1,274","1,033",817,"1,132"
2021년11월_남_20~29세,"32,620","3,124","2,643","2,286","2,274","1,176","3,063","3,431","2,973","2,421","2,470","2,002","1,856","1,388","1,513"
2021년11월_남_30~39세,"30,748","2,803","2,446","2,212","1,951","1,095","2,542","2,739","3,383","1,844","3,706","1,651","1,775","1,328","1,273"
2021년11월_남_40~49세,"37,066","2,455","2,443","2,879","2,643","1,664","3,154","3,575","3,479","2,956","4,689","2,002","1,901","1,509","1,717"
2021년11월_남_50~59세,"39,908","3,024","2,716","2,938","2,975","1,609","4,069","4,171","3,582","3,129","3,022","2,467","2,431","1,806","1,969"
2021년11월_남_60~69세,"29,757","2,433","2,015","2,522","2,196","1,414","3,024","3,079","2,711","1,570","1,925","1,840","2,006","1,536","1,486"
2021년11월_남_70~79세,"13,761",986,922,"1,576","1,296",718,"1,351","1,254","1,042",805,799,803,883,650,676
