카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년11월_계_총인구수,"20,404","1,167",997,"5,000","1,195",221,"1,898","6,533",960,372,"2,061"
2021년11월_계_연령구간인구수,"20,404","1,167",997,"5,000","1,195",221,"1,898","6,533",960,372,"2,061"
2021년11월_계_0~9세,878,34,25,300,48,3,37,294,24,10,103
2021년11월_계_10~19세,"1,105",47,26,287,65,3,96,418,28,16,119
2021년11월_계_20~29세,"2,576",81,51,974,174,47,135,548,86,23,457
2021년11월_계_30~39세,"1,845",74,60,594,115,9,82,630,37,20,224
2021년11월_계_40~49세,"2,335",109,111,622,112,17,155,826,91,32,260
2021년11월_계_50~59세,"3,469",196,204,669,199,24,345,"1,245",199,69,319
2021년11월_계_60~69세,"4,394",361,279,815,245,47,498,"1,480",234,97,338
2021년11월_계_70~79세,"2,365",165,159,418,149,53,335,725,159,61,141
2021년11월_계_80~89세,"1,153",81,59,252,76,14,172,306,84,32,77
2021년11월_계_90~99세,271,14,20,67,12,4,43,59,17,12,23
2021년11월_계_100세 이상,13,5,3,2,0,0,0,2,1,0,0
2021년11월_남_총인구수,"11,647",612,532,"2,947",689,138,"1,039","3,652",519,194,"1,325"
2021년11월_남_연령구간인구수,"11,647",612,532,"2,947",689,138,"1,039","3,652",519,194,"1,325"
2021년11월_남_0~9세,445,15,15,155,26,0,17,148,14,6,49
2021년11월_남_10~19세,604,21,14,136,35,2,62,240,14,7,73
2021년11월_남_20~29세,"1,891",47,32,761,131,44,82,364,48,12,370
2021년11월_남_30~39세,"1,157",41,41,356,74,6,49,399,25,14,152
2021년11월_남_40~49세,"1,470",60,65,411,70,15,96,486,60,16,191
2021년11월_남_50~59세,"2,027",114,116,390,117,14,214,695,123,42,202
2021년11월_남_60~69세,"2,384",193,147,432,136,28,283,812,120,53,180
2021년11월_남_70~79세,"1,169",88,79,201,59,24,159,370,81,34,74
2021년11월_남_80~89세,438,29,21,87,36,5,69,124,30,8,29
2021년11월_남_90~99세,59,3,1,18,5,0,8,13,4,2,5
2021년11월_남_100세 이상,3,1,1,0,0,0,0,1,0,0,0
2021년11월_여_총인구수,"8,757",555,465,"2,053",506,83,859,"2,881",441,178,736
2021년11월_여_연령구간인구수,"8,757",555,465,"2,053",506,83,859,"2,881",441,178,736
2021년11월_여_0~9세,433,19,10,145,22,3,20,146,10,4,54
2021년11월_여_10~19세,501,26,12,151,30,1,34,178,14,9,46
2021년11월_여_20~29세,685,34,19,213,43,3,53,184,38,11,87
2021년11월_여_30~39세,688,33,19,238,41,3,33,231,12,6,72
2021년11월_여_40~49세,865,49,46,211,42,2,59,340,31,16,69
2021년11월_여_50~59세,"1,442",82,88,279,82,10,131,550,76,27,117
2021년11월_여_60~69세,"2,010",168,132,383,109,19,215,668,114,44,158
2021년11월_여_70~79세,"1,196",77,80,217,90,29,176,355,78,27,67
2021년11월_여_80~89세,715,52,38,165,40,9,103,182,54,24,48
2021년11월_여_90~99세,212,11,19,49,7,4,35,46,13,10,18
2021년11월_여_100세 이상,10,4,2,2,0,0,0,1,1,0,0
