,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년06월_계_총인구수,"28,340","7,883","1,916","1,663","2,353","1,367","1,947","1,202","4,318","2,509","1,747","1,435"
2020년06월_계_연령구간인구수,"28,340","7,883","1,916","1,663","2,353","1,367","1,947","1,202","4,318","2,509","1,747","1,435"
2020년06월_계_0~9세,"1,133",480,70,31,60,22,48,32,217,75,59,39
2020년06월_계_10~19세,"2,050",705,131,83,128,47,99,57,431,222,88,59
2020년06월_계_20~29세,"2,402",762,109,101,156,86,144,77,537,201,118,111
2020년06월_계_30~39세,"1,762",639,104,70,120,61,87,50,351,118,97,65
2020년06월_계_40~49세,"3,153","1,066",185,157,209,109,171,92,542,341,159,122
2020년06월_계_50~59세,"4,955","1,310",324,272,431,259,355,217,741,455,315,276
2020년06월_계_60~69세,"4,889","1,205",384,344,421,258,394,218,639,388,307,331
2020년06월_계_70~79세,"4,311","1,002",329,311,407,271,357,246,489,361,317,221
2020년06월_계_80~89세,"3,171",613,253,244,360,222,244,189,321,296,244,185
2020년06월_계_90~99세,503,98,25,50,59,31,48,24,50,52,41,25
2020년06월_계_100세 이상,11,3,2,0,2,1,0,0,0,0,2,1
2020년06월_남_총인구수,"13,836","3,808",941,817,"1,108",658,952,585,"2,119","1,259",857,732
2020년06월_남_연령구간인구수,"13,836","3,808",941,817,"1,108",658,952,585,"2,119","1,259",857,732
2020년06월_남_0~9세,573,247,34,14,37,10,30,18,100,38,26,19
2020년06월_남_10~19세,"1,073",368,72,49,62,22,56,20,222,121,49,32
2020년06월_남_20~29세,"1,301",397,62,64,82,57,78,48,278,111,64,60
2020년06월_남_30~39세,951,316,63,50,67,36,44,31,185,66,58,35
2020년06월_남_40~49세,"1,768",550,109,97,116,63,99,57,287,204,110,76
2020년06월_남_50~59세,"2,735",706,180,145,248,145,188,131,389,273,171,159
2020년06월_남_60~69세,"2,538",591,203,185,199,136,211,112,329,214,167,191
2020년06월_남_70~79세,"1,804",419,126,127,179,112,160,106,213,136,129,97
2020년06월_남_80~89세,990,197,86,76,105,69,79,59,103,84,74,58
2020년06월_남_90~99세,101,17,6,10,12,8,7,3,13,12,8,5
2020년06월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년06월_여_총인구수,"14,504","4,075",975,846,"1,245",709,995,617,"2,199","1,250",890,703
2020년06월_여_연령구간인구수,"14,504","4,075",975,846,"1,245",709,995,617,"2,199","1,250",890,703
2020년06월_여_0~9세,560,233,36,17,23,12,18,14,117,37,33,20
2020년06월_여_10~19세,977,337,59,34,66,25,43,37,209,101,39,27
2020년06월_여_20~29세,"1,101",365,47,37,74,29,66,29,259,90,54,51
2020년06월_여_30~39세,811,323,41,20,53,25,43,19,166,52,39,30
2020년06월_여_40~49세,"1,385",516,76,60,93,46,72,35,255,137,49,46
2020년06월_여_50~59세,"2,220",604,144,127,183,114,167,86,352,182,144,117
2020년06월_여_60~69세,"2,351",614,181,159,222,122,183,106,310,174,140,140
2020년06월_여_70~79세,"2,507",583,203,184,228,159,197,140,276,225,188,124
2020년06월_여_80~89세,"2,181",416,167,168,255,153,165,130,218,212,170,127
2020년06월_여_90~99세,402,81,19,40,47,23,41,21,37,40,33,20
2020년06월_여_100세 이상,9,3,2,0,1,1,0,0,0,0,1,1
