,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년08월_계_총인구수,"519,667","31,569","35,584","30,004","14,679","21,692","22,132","27,718","28,825","17,203","24,401","17,705","21,149","15,382","24,463","20,011","39,501","21,060","32,195","32,966","41,428"
2021년08월_계_연령구간인구수,"519,667","31,569","35,584","30,004","14,679","21,692","22,132","27,718","28,825","17,203","24,401","17,705","21,149","15,382","24,463","20,011","39,501","21,060","32,195","32,966","41,428"
2021년08월_계_0~9세,"39,146","2,983","3,463","1,622",594,"1,068","1,522","1,488","1,723",806,"1,626","1,266","1,373",594,"1,340","1,508","5,688","1,216","2,725","2,346","4,195"
2021년08월_계_10~19세,"49,045","3,064","4,347","1,805",973,"1,547","2,088","2,063","2,291","1,078","2,475","1,593","1,844",973,"2,241","2,190","3,881","1,857","3,523","3,309","5,903"
2021년08월_계_20~29세,"69,315","4,121","4,272","6,474","2,136","3,084","2,876","3,943","4,101","2,203","3,215","2,491","2,765","2,128","3,351","2,310","3,635","2,801","4,116","4,594","4,699"
2021년08월_계_30~39세,"69,731","4,516","4,336","5,760","1,591","3,025","2,686","3,610","3,988","2,177","2,807","2,165","2,763","1,786","2,757","2,282","7,080","2,236","4,402","4,560","5,204"
2021년08월_계_40~49세,"87,238","5,584","6,605","4,784","2,173","3,249","3,782","4,173","4,498","2,356","4,109","2,809","3,227","2,009","3,601","3,355","7,701","3,250","5,785","5,564","8,624"
2021년08월_계_50~59세,"88,977","5,011","5,706","4,482","2,883","3,814","3,847","5,138","5,137","3,240","4,310","3,175","3,730","2,967","4,790","3,411","4,972","4,233","5,564","5,685","6,882"
2021년08월_계_60~69세,"69,754","3,909","4,311","3,101","2,453","3,233","3,079","4,312","4,282","2,919","3,597","2,577","3,290","2,815","3,773","3,091","4,262","3,286","3,778","3,930","3,756"
2021년08월_계_70~79세,"31,152","1,603","1,777","1,373","1,259","1,802","1,549","2,004","1,864","1,509","1,582","1,159","1,412","1,476","1,611","1,256","1,651","1,433","1,520","1,889","1,423"
2021년08월_계_80~89세,"13,192",644,648,532,536,758,597,873,799,810,579,402,648,545,841,528,548,635,663,951,655
2021년08월_계_90~99세,"2,031",130,110,70,78,108,103,106,134,103,98,65,90,87,152,79,77,110,119,128,84
2021년08월_계_100세 이상,86,4,9,1,3,4,3,8,8,2,3,3,7,2,6,1,6,3,0,10,3
2021년08월_남_총인구수,"258,080","15,363","17,524","14,919","7,411","10,671","11,046","13,843","14,374","8,410","11,975","8,944","10,342","7,657","11,900","9,957","19,638","10,779","16,257","16,632","20,438"
