카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년11월_계_총인구수,"82,636","4,544","3,790","6,233","9,739","21,189","29,511","4,507","3,123"
2020년11월_계_연령구간인구수,"82,636","4,544","3,790","6,233","9,739","21,189","29,511","4,507","3,123"
2020년11월_계_0~9세,"5,900",171,244,237,558,"1,367","3,013",241,69
2020년11월_계_10~19세,"7,487",258,269,455,894,"2,207","3,034",248,122
2020년11월_계_20~29세,"9,026",434,326,628,"1,104","2,377","3,521",382,254
2020년11월_계_30~39세,"9,208",417,367,459,989,"2,149","4,103",506,218
2020년11월_계_40~49세,"12,485",514,506,773,"1,401","3,396","5,025",535,335
2020년11월_계_50~59세,"15,197",920,739,"1,284","1,778","4,000","4,947",862,667
2020년11월_계_60~69세,"12,707","1,012",682,"1,222","1,692","3,141","3,351",875,732
2020년11월_계_70~79세,"6,794",536,432,718,844,"1,620","1,667",500,477
2020년11월_계_80~89세,"3,187",236,193,370,392,781,721,286,208
2020년11월_계_90~99세,613,43,30,82,83,147,123,67,38
2020년11월_계_100세 이상,32,3,2,5,4,4,6,5,3
2020년11월_남_총인구수,"40,931","2,357","1,913","3,047","4,794","10,512","14,436","2,271","1,601"
2020년11월_남_연령구간인구수,"40,931","2,357","1,913","3,047","4,794","10,512","14,436","2,271","1,601"
2020년11월_남_0~9세,"2,995",87,135,130,283,675,"1,525",128,32
2020년11월_남_10~19세,"3,868",145,145,226,476,"1,121","1,550",130,75
2020년11월_남_20~29세,"5,092",272,172,372,621,"1,353","1,936",218,148
2020년11월_남_30~39세,"4,940",236,198,272,552,"1,154","2,107",288,133
2020년11월_남_40~49세,"6,180",288,273,399,703,"1,639","2,411",286,181
2020년11월_남_50~59세,"7,512",483,383,606,849,"1,993","2,375",468,355
2020년11월_남_60~69세,"6,151",504,327,592,813,"1,569","1,542",443,361
2020년11월_남_70~79세,"2,965",247,211,303,349,718,711,204,222
2020년11월_남_80~89세,"1,089",87,62,134,128,256,248,88,86
2020년11월_남_90~99세,126,6,7,11,18,34,28,15,7
2020년11월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년11월_여_총인구수,"41,705","2,187","1,877","3,186","4,945","10,677","15,075","2,236","1,522"
2020년11월_여_연령구간인구수,"41,705","2,187","1,877","3,186","4,945","10,677","15,075","2,236","1,522"
2020년11월_여_0~9세,"2,905",84,109,107,275,692,"1,488",113,37
2020년11월_여_10~19세,"3,619",113,124,229,418,"1,086","1,484",118,47
2020년11월_여_20~29세,"3,934",162,154,256,483,"1,024","1,585",164,106
2020년11월_여_30~39세,"4,268",181,169,187,437,995,"1,996",218,85
2020년11월_여_40~49세,"6,305",226,233,374,698,"1,757","2,614",249,154
2020년11월_여_50~59세,"7,685",437,356,678,929,"2,007","2,572",394,312
2020년11월_여_60~69세,"6,556",508,355,630,879,"1,572","1,809",432,371
2020년11월_여_70~79세,"3,829",289,221,415,495,902,956,296,255
2020년11월_여_80~89세,"2,098",149,131,236,264,525,473,198,122
2020년11월_여_90~99세,487,37,23,71,65,113,95,52,31
2020년11월_여_100세 이상,19,1,2,3,2,4,3,2,2
