,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년01월_계_총인구수,"219,175","37,336","40,279","39,022","16,616","29,905","35,857","10,079","10,081"
2021년01월_계_연령구간인구수,"219,175","37,336","40,279","39,022","16,616","29,905","35,857","10,079","10,081"
2021년01월_계_0~9세,"25,143","4,679","5,430","3,716","2,687","2,708","4,412",743,768
2021년01월_계_10~19세,"23,643","3,933","4,692","6,287","1,349","2,228","3,619",754,781
2021년01월_계_20~29세,"27,684","4,176","4,503","4,951","1,216","4,704","5,044","1,782","1,308"
2021년01월_계_30~39세,"34,144","5,819","6,701","3,896","3,481","4,948","6,254","1,606","1,439"
2021년01월_계_40~49세,"38,694","6,713","7,506","8,505","2,803","4,366","5,829","1,445","1,527"
2021년01월_계_50~59세,"38,730","6,214","6,322","7,151","2,202","6,370","6,542","1,996","1,933"
2021년01월_계_60~69세,"20,181","3,676","3,326","2,674","1,787","3,177","2,780","1,199","1,562"
2021년01월_계_70~79세,"7,462","1,499","1,206","1,251",680,957,922,395,552
2021년01월_계_80~89세,"3,032",539,520,515,352,387,392,136,191
2021년01월_계_90~99세,441,83,72,73,55,59,63,21,15
2021년01월_계_100세 이상,21,5,1,3,4,1,0,2,5
2021년01월_남_총인구수,"113,499","19,080","20,560","19,855","8,490","15,979","18,301","5,817","5,417"
2021년01월_남_연령구간인구수,"113,499","19,080","20,560","19,855","8,490","15,979","18,301","5,817","5,417"
2021년01월_남_0~9세,"12,907","2,380","2,819","1,913","1,328","1,426","2,289",371,381
2021년01월_남_10~19세,"12,305","2,017","2,424","3,306",685,"1,184","1,855",402,432
2021년01월_남_20~29세,"15,687","2,305","2,453","2,757",671,"2,669","2,784","1,243",805
2021년01월_남_30~39세,"17,769","2,930","3,373","1,878","1,742","2,840","3,189",988,829
2021년01월_남_40~49세,"19,821","3,512","3,879","3,989","1,581","2,325","2,839",821,875
2021년01월_남_50~59세,"19,965","3,156","3,194","3,885","1,100","3,254","3,290","1,109",977
2021년01월_남_60~69세,"10,600","1,923","1,690","1,412",943,"1,700","1,488",641,803
2021년01월_남_70~79세,"3,482",686,562,544,330,462,455,205,238
2021년01월_남_80~89세,895,157,156,157,101,111,105,34,74
2021년01월_남_90~99세,63,13,10,13,9,7,7,3,1
2021년01월_남_100세 이상,5,1,0,1,0,1,0,0,2
2021년01월_여_총인구수,"105,676","18,256","19,719","19,167","8,126","13,926","17,556","4,262","4,664"
2021년01월_여_연령구간인구수,"105,676","18,256","19,719","19,167","8,126","13,926","17,556","4,262","4,664"
2021년01월_여_0~9세,"12,236","2,299","2,611","1,803","1,359","1,282","2,123",372,387
2021년01월_여_10~19세,"11,338","1,916","2,268","2,981",664,"1,044","1,764",352,349
2021년01월_여_20~29세,"11,997","1,871","2,050","2,194",545,"2,035","2,260",539,503
2021년01월_여_30~39세,"16,375","2,889","3,328","2,018","1,739","2,108","3,065",618,610
2021년01월_여_40~49세,"18,873","3,201","3,627","4,516","1,222","2,041","2,990",624,652
2021년01월_여_50~59세,"18,765","3,058","3,128","3,266","1,102","3,116","3,252",887,956
2021년01월_여_60~69세,"9,581","1,753","1,636","1,262",844,"1,477","1,292",558,759
2021년01월_여_70~79세,"3,980",813,644,707,350,495,467,190,314
2021년01월_여_80~89세,"2,137",382,364,358,251,276,287,102,117
2021년01월_여_90~99세,378,70,62,60,46,52,56,18,14
2021년01월_여_100세 이상,16,4,1,2,4,0,0,2,3
