카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년08월_계_총인구수,"101,881","10,751","4,027","3,818","3,162","2,207","3,202","1,223","4,201","5,729","4,428","3,061","28,387","9,691","4,711","9,170","4,113"
2021년08월_계_연령구간인구수,"101,881","10,751","4,027","3,818","3,162","2,207","3,202","1,223","4,201","5,729","4,428","3,061","28,387","9,691","4,711","9,170","4,113"
2021년08월_계_0~9세,"5,621",377,104,100,67,54,78,15,114,244,79,84,"2,332",710,153,874,236
2021년08월_계_10~19세,"6,633",461,129,200,94,93,128,37,142,211,127,84,"2,775",934,268,756,194
2021년08월_계_20~29세,"9,910",904,276,216,161,113,175,83,252,810,254,196,"3,382","1,234",484,"1,005",365
2021년08월_계_30~39세,"9,194",731,260,205,159,86,164,38,208,427,224,192,"3,364","1,084",367,"1,261",424
2021년08월_계_40~49세,"12,372","1,175",343,327,260,160,229,67,349,500,385,241,"4,469","1,453",517,"1,417",480
2021년08월_계_50~59세,"18,027","2,195",709,631,565,397,582,260,693,838,759,539,"5,092","1,660",861,"1,468",778
2021년08월_계_60~69세,"19,398","2,356","1,048",959,782,580,852,317,"1,014","1,172","1,137",861,"3,975","1,347",978,"1,244",776
2021년08월_계_70~79세,"12,673","1,593",720,693,619,390,597,220,867,914,856,513,"1,910",814,684,766,517
2021년08월_계_80~89세,"7,183",865,390,430,403,287,345,163,507,557,537,311,978,409,358,345,298
2021년08월_계_90~99세,848,92,47,56,51,45,51,22,54,55,67,39,106,45,40,33,45
2021년08월_계_100세 이상,22,2,1,1,1,2,1,1,1,1,3,1,4,1,1,1,0
2021년08월_남_총인구수,"51,795","5,610","2,092","1,868","1,655","1,092","1,683",608,"2,137","3,133","2,299","1,620","13,979","4,895","2,350","4,550","2,224"
2021년08월_남_연령구간인구수,"51,795","5,610","2,092","1,868","1,655","1,092","1,683",608,"2,137","3,133","2,299","1,620","13,979","4,895","2,350","4,550","2,224"
2021년08월_남_0~9세,"2,855",197,59,57,40,31,36,8,62,129,35,39,"1,173",373,74,419,123
2021년08월_남_10~19세,"3,566",272,72,100,54,50,95,21,79,112,66,41,"1,467",479,136,416,106
2021년08월_남_20~29세,"5,864",512,162,129,119,63,118,46,154,639,156,112,"1,917",701,259,543,234
2021년08월_남_30~39세,"5,008",411,159,121,92,50,98,21,113,252,139,123,"1,760",565,210,643,251
2021년08월_남_40~49세,"6,788",678,217,185,158,95,149,41,221,308,234,161,"2,212",780,306,738,305
2021년08월_남_50~59세,"9,643","1,254",391,362,340,215,332,132,389,451,439,329,"2,535",811,475,734,454
2021년08월_남_60~69세,"9,805","1,229",545,461,433,312,443,182,511,621,609,459,"1,828",688,472,600,412
2021년08월_남_70~79세,"5,717",741,352,301,281,176,289,95,397,425,428,238,797,349,294,322,232
2021년08월_남_80~89세,"2,351",292,126,146,124,94,111,55,193,182,178,106,269,140,114,124,97
2021년08월_남_90~99세,193,23,9,5,14,5,12,7,18,14,14,11,21,9,10,11,10
2021년08월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2021년08월_여_총인구수,"50,086","5,141","1,935","1,950","1,507","1,115","1,519",615,"2,064","2,596","2,129","1,441","14,408","4,796","2,361","4,620","1,889"
2021년08월_여_연령구간인구수,"50,086","5,141","1,935","1,950","1,507","1,115","1,519",615,"2,064","2,596","2,129","1,441","14,408","4,796","2,361","4,620","1,889"
2021년08월_여_0~9세,"2,766",180,45,43,27,23,42,7,52,115,44,45,"1,159",337,79,455,113
2021년08월_여_10~19세,"3,067",189,57,100,40,43,33,16,63,99,61,43,"1,308",455,132,340,88
2021년08월_여_20~29세,"4,046",392,114,87,42,50,57,37,98,171,98,84,"1,465",533,225,462,131
2021년08월_여_30~39세,"4,186",320,101,84,67,36,66,17,95,175,85,69,"1,604",519,157,618,173
2021년08월_여_40~49세,"5,584",497,126,142,102,65,80,26,128,192,151,80,"2,257",673,211,679,175
2021년08월_여_50~59세,"8,384",941,318,269,225,182,250,128,304,387,320,210,"2,557",849,386,734,324
2021년08월_여_60~69세,"9,593","1,127",503,498,349,268,409,135,503,551,528,402,"2,147",659,506,644,364
2021년08월_여_70~79세,"6,956",852,368,392,338,214,308,125,470,489,428,275,"1,113",465,390,444,285
2021년08월_여_80~89세,"4,832",573,264,284,279,193,234,108,314,375,359,205,709,269,244,221,201
2021년08월_여_90~99세,655,69,38,51,37,40,39,15,36,41,53,28,85,36,30,22,35
2021년08월_여_100세 이상,17,1,1,0,1,1,1,1,1,1,2,0,4,1,1,1,0
