,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년10월_계_총인구수,"353,783","121,099","35,093","3,355","12,699","8,143","11,507","33,100","22,001","8,942","28,528","20,438","30,648","18,230"
2021년10월_계_연령구간인구수,"353,783","121,099","35,093","3,355","12,699","8,143","11,507","33,100","22,001","8,942","28,528","20,438","30,648","18,230"
2021년10월_계_0~9세,"33,096","15,492","4,626",73,480,162,447,"2,365","1,302",683,"2,165","1,359","2,280","1,662"
2021년10월_계_10~19세,"34,566","13,041","2,955",109,799,507,578,"4,086","1,722","1,006","3,291","1,783","3,146","1,543"
2021년10월_계_20~29세,"39,532","13,779","3,127",152,"1,219",770,"1,384","4,494","3,053","1,007","3,159","2,203","3,167","2,018"
2021년10월_계_30~39세,"47,542","20,495","6,047",181,"1,064",565,"1,288","3,204","2,971","1,031","3,138","2,211","2,931","2,416"
2021년10월_계_40~49세,"61,223","22,667","6,572",270,"1,531",872,"1,439","5,877","3,398","1,627","5,367","3,364","5,352","2,887"
2021년10월_계_50~59세,"59,255","17,152","4,786",594,"2,673","1,801","2,413","6,312","4,511","1,532","5,053","3,900","5,248","3,280"
2021년10월_계_60~69세,"46,093","11,734","4,301",976,"2,781","1,960","2,422","3,681","3,238","1,225","3,813","3,143","4,297","2,522"
2021년10월_계_70~79세,"21,829","4,655","1,909",634,"1,393",937,"1,043","2,093","1,181",554,"1,769","1,608","2,797","1,256"
2021년10월_계_80~89세,"9,423","1,835",674,320,654,470,438,895,545,243,686,788,"1,301",574
2021년10월_계_90~99세,"1,189",244,95,45,102,90,55,91,78,34,82,77,126,70
2021년10월_계_100세 이상,35,5,1,1,3,9,0,2,2,0,5,2,3,2
2021년10월_남_총인구수,"177,336","59,815","17,830","1,730","6,487","4,242","6,112","15,996","11,556","4,484","14,904","10,214","14,946","9,020"
2021년10월_남_연령구간인구수,"177,336","59,815","17,830","1,730","6,487","4,242","6,112","15,996","11,556","4,484","14,904","10,214","14,946","9,020"
2021년10월_남_0~9세,"16,931","7,886","2,401",41,250,87,230,"1,204",668,334,"1,102",700,"1,179",849
2021년10월_남_10~19세,"17,653","6,623","1,494",54,397,264,325,"2,146",881,461,"1,703",904,"1,607",794
2021년10월_남_20~29세,"21,272","6,873","1,694",93,722,475,828,"2,374","1,831",531,"1,806","1,231","1,722","1,092"
2021년10월_남_30~39세,"24,435","10,101","3,053",114,626,329,766,"1,572","1,721",573,"1,698","1,151","1,471","1,260"
2021년10월_남_40~49세,"31,196","11,418","3,549",159,805,467,805,"2,665","1,826",828,"2,843","1,702","2,716","1,413"
2021년10월_남_50~59세,"29,829","8,391","2,394",321,"1,394",937,"1,278","3,069","2,199",796,"2,748","2,014","2,668","1,620"
2021년10월_남_60~69세,"22,582","5,712","2,040",507,"1,440","1,061","1,219","1,717","1,715",617,"1,912","1,529","1,897","1,216"
2021년10월_남_70~79세,"9,886","2,170",944,321,602,454,485,874,538,265,824,698,"1,161",550
2021년10월_남_80~89세,"3,293",597,243,109,226,148,160,354,160,76,252,265,493,210
2021년10월_남_90~99세,256,44,18,11,25,20,16,20,17,3,15,20,31,16
2021년10월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년10월_여_총인구수,"176,447","61,284","17,263","1,625","6,212","3,901","5,395","17,104","10,445","4,458","13,624","10,224","15,702","9,210"
2021년10월_여_연령구간인구수,"176,447","61,284","17,263","1,625","6,212","3,901","5,395","17,104","10,445","4,458","13,624","10,224","15,702","9,210"
2021년10월_여_0~9세,"16,165","7,606","2,225",32,230,75,217,"1,161",634,349,"1,063",659,"1,101",813
2021년10월_여_10~19세,"16,913","6,418","1,461",55,402,243,253,"1,940",841,545,"1,588",879,"1,539",749
2021년10월_여_20~29세,"18,260","6,906","1,433",59,497,295,556,"2,120","1,222",476,"1,353",972,"1,445",926
2021년10월_여_30~39세,"23,107","10,394","2,994",67,438,236,522,"1,632","1,250",458,"1,440","1,060","1,460","1,156"
2021년10월_여_40~49세,"30,027","11,249","3,023",111,726,405,634,"3,212","1,572",799,"2,524","1,662","2,636","1,474"
2021년10월_여_50~59세,"29,426","8,761","2,392",273,"1,279",864,"1,135","3,243","2,312",736,"2,305","1,886","2,580","1,660"
2021년10월_여_60~69세,"23,511","6,022","2,261",469,"1,341",899,"1,203","1,964","1,523",608,"1,901","1,614","2,400","1,306"
2021년10월_여_70~79세,"11,943","2,485",965,313,791,483,558,"1,219",643,289,945,910,"1,636",706
2021년10월_여_80~89세,"6,130","1,238",431,211,428,322,278,541,385,167,434,523,808,364
2021년10월_여_90~99세,933,200,77,34,77,70,39,71,61,31,67,57,95,54
2021년10월_여_100세 이상,32,5,1,1,3,9,0,1,2,0,4,2,2,2
