카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년02월_계_총인구수,"76,159","8,447","6,725","5,098","4,529","5,137","8,095","5,068","4,318","7,026","11,838","7,588","2,290"
2021년02월_계_연령구간인구수,"76,159","8,447","6,725","5,098","4,529","5,137","8,095","5,068","4,318","7,026","11,838","7,588","2,290"
2021년02월_계_0~9세,"5,033",311,434,168,135,588,868,263,260,553,868,513,72
2021년02월_계_10~19세,"5,028",479,373,228,188,220,553,307,268,544,"1,072",651,145
2021년02월_계_20~29세,"11,794","1,420","1,873","1,487",794,614,822,875,645,715,"1,314",989,246
2021년02월_계_30~39세,"10,697","1,153","1,253",767,541,"1,013","1,363",639,636,908,"1,349",881,194
2021년02월_계_40~49세,"10,658","1,097",887,551,486,707,"1,184",660,600,"1,137","1,861","1,150",338
2021년02월_계_50~59세,"11,264","1,306",706,617,756,713,"1,214",780,663,"1,081","1,827","1,222",379
2021년02월_계_60~69세,"10,297","1,244",607,608,781,666,"1,093",717,538,994,"1,713",960,376
2021년02월_계_70~79세,"7,317",918,358,428,557,411,656,545,441,728,"1,173",733,369
2021년02월_계_80~89세,"3,468",436,195,192,233,175,288,262,218,328,580,419,142
2021년02월_계_90~99세,499,71,31,45,44,24,42,18,34,33,72,62,23
2021년02월_계_100세 이상,104,12,8,7,14,6,12,2,15,5,9,8,6
2021년02월_남_총인구수,"36,586","4,185","3,189","2,447","2,304","2,573","3,942","2,407","2,060","3,222","5,569","3,572","1,116"
2021년02월_남_연령구간인구수,"36,586","4,185","3,189","2,447","2,304","2,573","3,942","2,407","2,060","3,222","5,569","3,572","1,116"
2021년02월_남_0~9세,"2,592",143,220,85,68,287,431,138,125,310,477,271,37
2021년02월_남_10~19세,"2,586",249,183,115,94,117,311,147,136,267,570,310,87
2021년02월_남_20~29세,"5,641",689,821,635,375,317,428,409,308,335,685,504,135
2021년02월_남_30~39세,"5,544",634,665,435,348,511,658,320,316,448,672,432,105
2021년02월_남_40~49세,"5,394",603,476,282,256,379,622,340,293,543,892,544,164
2021년02월_남_50~59세,"5,561",693,335,333,409,358,571,400,346,508,831,584,193
2021년02월_남_60~69세,"4,763",609,254,306,394,336,530,331,250,408,734,435,176
2021년02월_남_70~79세,"3,082",386,151,172,254,198,269,231,195,286,492,291,157
2021년02월_남_80~89세,"1,280",158,75,68,93,63,112,86,83,108,200,177,57
2021년02월_남_90~99세,123,19,8,12,10,6,9,4,5,9,14,22,5
2021년02월_남_100세 이상,20,2,1,4,3,1,1,1,3,0,2,2,0
2021년02월_여_총인구수,"39,573","4,262","3,536","2,651","2,225","2,564","4,153","2,661","2,258","3,804","6,269","4,016","1,174"
2021년02월_여_연령구간인구수,"39,573","4,262","3,536","2,651","2,225","2,564","4,153","2,661","2,258","3,804","6,269","4,016","1,174"
2021년02월_여_0~9세,"2,441",168,214,83,67,301,437,125,135,243,391,242,35
2021년02월_여_10~19세,"2,442",230,190,113,94,103,242,160,132,277,502,341,58
2021년02월_여_20~29세,"6,153",731,"1,052",852,419,297,394,466,337,380,629,485,111
2021년02월_여_30~39세,"5,153",519,588,332,193,502,705,319,320,460,677,449,89
2021년02월_여_40~49세,"5,264",494,411,269,230,328,562,320,307,594,969,606,174
2021년02월_여_50~59세,"5,703",613,371,284,347,355,643,380,317,573,996,638,186
2021년02월_여_60~69세,"5,534",635,353,302,387,330,563,386,288,586,979,525,200
2021년02월_여_70~79세,"4,235",532,207,256,303,213,387,314,246,442,681,442,212
2021년02월_여_80~89세,"2,188",278,120,124,140,112,176,176,135,220,380,242,85
2021년02월_여_90~99세,376,52,23,33,34,18,33,14,29,24,58,40,18
2021년02월_여_100세 이상,84,10,7,3,11,5,11,1,12,5,7,6,6
