,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년05월_계_총인구수,"26,954","9,495","1,723","1,171","1,027","1,571","1,606","1,456","1,841",762,"2,896","1,025","1,174","1,207"
2020년05월_계_연령구간인구수,"26,954","9,495","1,723","1,171","1,027","1,571","1,606","1,456","1,841",762,"2,896","1,025","1,174","1,207"
2020년05월_계_0~9세,"1,135",725,35,25,32,36,38,38,35,18,94,26,14,19
2020년05월_계_10~19세,"1,576",900,62,39,26,68,64,51,65,28,173,40,32,28
2020년05월_계_20~29세,"2,059",966,105,78,69,133,102,86,118,32,217,47,45,61
2020년05월_계_30~39세,"1,844",987,97,57,51,73,102,52,95,30,146,58,45,51
2020년05월_계_40~49세,"2,935","1,508",144,83,71,135,146,115,150,52,308,78,63,82
2020년05월_계_50~59세,"4,692","1,569",329,223,177,286,295,277,328,123,515,146,207,217
2020년05월_계_60~69세,"5,220","1,374",398,279,219,330,359,321,438,195,549,238,256,264
2020년05월_계_70~79세,"4,068",884,275,201,201,270,253,276,360,151,532,198,238,229
2020년05월_계_80~89세,"2,980",510,240,160,157,213,216,211,221,114,311,168,241,218
2020년05월_계_90~99세,436,69,37,26,23,27,31,29,30,18,51,26,33,36
2020년05월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년05월_남_총인구수,"13,180","4,680",858,569,491,762,784,704,931,357,"1,391",532,552,569
2020년05월_남_연령구간인구수,"13,180","4,680",858,569,491,762,784,704,931,357,"1,391",532,552,569
2020년05월_남_0~9세,577,378,18,13,12,17,16,18,16,12,44,17,9,7
2020년05월_남_10~19세,850,474,37,23,17,36,31,25,33,19,94,27,19,15
2020년05월_남_20~29세,"1,165",523,56,46,41,84,54,42,73,20,135,26,34,31
2020년05월_남_30~39세,984,469,59,35,31,34,66,34,50,16,89,41,23,37
2020년05월_남_40~49세,"1,708",812,91,54,44,80,86,71,98,37,184,60,39,52
2020년05월_남_50~59세,"2,569",838,187,111,99,159,166,159,174,62,281,85,117,131
2020년05월_남_60~69세,"2,729",657,228,151,120,177,200,176,245,101,262,141,138,133
2020년05월_남_70~79세,"1,649",378,107,79,81,102,102,109,166,51,215,76,96,87
2020년05월_남_80~89세,854,134,65,50,41,68,56,60,68,35,82,55,74,66
2020년05월_남_90~99세,93,17,10,7,5,5,7,10,7,4,5,4,3,9
2020년05월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년05월_여_총인구수,"13,774","4,815",865,602,536,809,822,752,910,405,"1,505",493,622,638
2020년05월_여_연령구간인구수,"13,774","4,815",865,602,536,809,822,752,910,405,"1,505",493,622,638
2020년05월_여_0~9세,558,347,17,12,20,19,22,20,19,6,50,9,5,12
2020년05월_여_10~19세,726,426,25,16,9,32,33,26,32,9,79,13,13,13
2020년05월_여_20~29세,894,443,49,32,28,49,48,44,45,12,82,21,11,30
2020년05월_여_30~39세,860,518,38,22,20,39,36,18,45,14,57,17,22,14
2020년05월_여_40~49세,"1,227",696,53,29,27,55,60,44,52,15,124,18,24,30
2020년05월_여_50~59세,"2,123",731,142,112,78,127,129,118,154,61,234,61,90,86
2020년05월_여_60~69세,"2,491",717,170,128,99,153,159,145,193,94,287,97,118,131
2020년05월_여_70~79세,"2,419",506,168,122,120,168,151,167,194,100,317,122,142,142
2020년05월_여_80~89세,"2,126",376,175,110,116,145,160,151,153,79,229,113,167,152
2020년05월_여_90~99세,343,52,27,19,18,22,24,19,23,14,46,22,30,27
2020년05월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
