카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년03월_계_총인구수,"42,709","13,144","3,726","1,639","3,887","2,308","3,497","2,584","3,529","2,836","5,559"
2021년03월_계_연령구간인구수,"42,709","13,144","3,726","1,639","3,887","2,308","3,497","2,584","3,529","2,836","5,559"
2021년03월_계_0~9세,"1,579",853,75,47,122,80,60,51,114,43,134
2021년03월_계_10~19세,"2,934","1,401",241,103,177,175,197,85,178,112,265
2021년03월_계_20~29세,"3,194","1,526",210,96,204,174,187,117,207,155,318
2021년03월_계_30~39세,"2,404","1,114",147,80,192,125,135,100,167,104,240
2021년03월_계_40~49세,"4,541","1,928",340,138,378,255,315,202,309,193,483
2021년03월_계_50~59세,"7,224","2,200",623,308,651,456,580,418,562,467,959
2021년03월_계_60~69세,"8,416","1,994",784,331,854,506,708,550,715,678,"1,296"
2021년03월_계_70~79세,"6,632","1,222",679,269,700,333,705,510,634,537,"1,043"
2021년03월_계_80~89세,"4,908",771,536,231,512,168,518,474,528,450,720
2021년03월_계_90~99세,861,133,90,36,96,36,86,75,114,96,99
2021년03월_계_100세 이상,16,2,1,0,1,0,6,2,1,1,2
2021년03월_남_총인구수,"20,599","6,410","1,793",808,"1,879","1,196","1,658","1,235","1,650","1,340","2,630"
2021년03월_남_연령구간인구수,"20,599","6,410","1,793",808,"1,879","1,196","1,658","1,235","1,650","1,340","2,630"
2021년03월_남_0~9세,822,422,37,27,69,40,34,29,64,23,77
2021년03월_남_10~19세,"1,587",729,154,54,102,92,98,53,106,54,145
2021년03월_남_20~29세,"1,965",914,129,65,125,126,122,86,111,96,191
2021년03월_남_30~39세,"1,247",546,76,41,103,68,79,56,89,60,129
2021년03월_남_40~49세,"2,430",921,187,76,216,141,181,127,181,108,292
2021년03월_남_50~59세,"3,891","1,130",355,180,363,243,322,246,293,254,505
2021년03월_남_60~69세,"4,111",945,379,167,418,261,339,267,345,345,645
2021년03월_남_70~79세,"2,912",539,289,115,315,163,323,219,278,241,430
2021년03월_남_80~89세,"1,486",246,166,78,154,57,140,143,157,143,202
2021년03월_남_90~99세,147,18,20,5,14,5,20,9,26,16,14
2021년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"22,110","6,734","1,933",831,"2,008","1,112","1,839","1,349","1,879","1,496","2,929"
2021년03월_여_연령구간인구수,"22,110","6,734","1,933",831,"2,008","1,112","1,839","1,349","1,879","1,496","2,929"
2021년03월_여_0~9세,757,431,38,20,53,40,26,22,50,20,57
2021년03월_여_10~19세,"1,347",672,87,49,75,83,99,32,72,58,120
2021년03월_여_20~29세,"1,229",612,81,31,79,48,65,31,96,59,127
2021년03월_여_30~39세,"1,157",568,71,39,89,57,56,44,78,44,111
2021년03월_여_40~49세,"2,111","1,007",153,62,162,114,134,75,128,85,191
2021년03월_여_50~59세,"3,333","1,070",268,128,288,213,258,172,269,213,454
2021년03월_여_60~69세,"4,305","1,049",405,164,436,245,369,283,370,333,651
2021년03월_여_70~79세,"3,720",683,390,154,385,170,382,291,356,296,613
2021년03월_여_80~89세,"3,422",525,370,153,358,111,378,331,371,307,518
2021년03월_여_90~99세,714,115,70,31,82,31,66,66,88,80,85
2021년03월_여_100세 이상,15,2,0,0,1,0,6,2,1,1,2
