카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년01월_계_총인구수,"20,398","1,155",986,"5,203","1,239",225,"1,870","6,390",927,376,"2,027"
2021년01월_계_연령구간인구수,"20,398","1,155",986,"5,203","1,239",225,"1,870","6,390",927,376,"2,027"
2021년01월_계_0~9세,945,35,26,359,57,2,38,297,22,13,96
2021년01월_계_10~19세,"1,091",47,29,295,62,8,83,401,33,15,118
2021년01월_계_20~29세,"2,692",86,50,"1,039",195,34,131,574,79,24,480
2021년01월_계_30~39세,"1,895",75,58,627,122,20,88,622,43,21,219
2021년01월_계_40~49세,"2,374",115,116,654,121,16,160,816,92,35,249
2021년01월_계_50~59세,"3,597",199,205,706,217,27,360,"1,311",184,73,315
2021년01월_계_60~69세,"4,031",332,270,771,227,48,466,"1,296",228,87,306
2021년01월_계_70~79세,"2,375",163,154,430,161,53,333,728,147,65,141
2021년01월_계_80~89세,"1,149",85,58,255,67,13,172,296,85,34,84
2021년01월_계_90~99세,235,15,18,63,10,4,38,46,13,9,19
2021년01월_계_100세 이상,14,3,2,4,0,0,1,3,1,0,0
2021년01월_남_총인구수,"11,593",610,520,"3,065",721,139,"1,008","3,558",499,194,"1,279"
2021년01월_남_연령구간인구수,"11,593",610,520,"3,065",721,139,"1,008","3,558",499,194,"1,279"
2021년01월_남_0~9세,482,17,13,191,29,0,15,155,12,8,42
2021년01월_남_10~19세,588,22,18,135,32,7,44,236,18,6,70
2021년01월_남_20~29세,"1,962",49,28,819,146,28,78,377,44,11,382
2021년01월_남_30~39세,"1,169",42,34,376,78,17,56,378,27,14,147
2021년01월_남_40~49세,"1,487",62,70,427,83,13,95,486,61,19,171
2021년01월_남_50~59세,"2,075",115,119,398,117,18,230,724,113,45,196
2021년01월_남_60~69세,"2,181",183,139,407,136,28,261,700,121,44,162
2021년01월_남_70~79세,"1,175",86,80,208,65,22,157,380,68,38,71
2021년01월_남_80~89세,423,30,18,87,31,6,64,113,33,8,33
2021년01월_남_90~99세,47,3,0,16,4,0,8,8,2,1,5
2021년01월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2021년01월_여_총인구수,"8,805",545,466,"2,138",518,86,862,"2,832",428,182,748
2021년01월_여_연령구간인구수,"8,805",545,466,"2,138",518,86,862,"2,832",428,182,748
2021년01월_여_0~9세,463,18,13,168,28,2,23,142,10,5,54
2021년01월_여_10~19세,503,25,11,160,30,1,39,165,15,9,48
2021년01월_여_20~29세,730,37,22,220,49,6,53,197,35,13,98
2021년01월_여_30~39세,726,33,24,251,44,3,32,244,16,7,72
2021년01월_여_40~49세,887,53,46,227,38,3,65,330,31,16,78
2021년01월_여_50~59세,"1,522",84,86,308,100,9,130,587,71,28,119
2021년01월_여_60~69세,"1,850",149,131,364,91,20,205,596,107,43,144
2021년01월_여_70~79세,"1,200",77,74,222,96,31,176,348,79,27,70
2021년01월_여_80~89세,726,55,40,168,36,7,108,183,52,26,51
2021년01월_여_90~99세,188,12,18,47,6,4,30,38,11,8,14
2021년01월_여_100세 이상,10,2,1,3,0,0,1,2,1,0,0
