카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년05월_계_총인구수,"105,139","5,440","1,290","7,250","5,296","3,106","2,889","3,950","4,346","8,647","3,454","5,141","1,767","2,854","15,001","20,602","8,026","6,080"
2020년05월_계_연령구간인구수,"105,139","5,440","1,290","7,250","5,296","3,106","2,889","3,950","4,346","8,647","3,454","5,141","1,767","2,854","15,001","20,602","8,026","6,080"
2020년05월_계_0~9세,"5,819",149,23,297,143,66,76,100,83,498,81,118,39,77,"1,251","2,041",394,383
2020년05월_계_10~19세,"8,025",254,51,445,256,95,133,210,157,565,143,287,57,158,"1,321","2,634",666,593
2020년05월_계_20~29세,"9,279",355,111,524,381,172,195,223,254,699,188,326,78,264,"1,842","2,182",808,677
2020년05월_계_30~39세,"9,137",336,69,531,357,160,175,198,256,721,166,255,72,213,"1,942","2,316",715,655
2020년05월_계_40~49세,"13,152",530,107,800,486,218,277,374,334,"1,038",311,423,125,319,"2,272","3,539","1,076",923
2020년05월_계_50~59세,"19,159","1,044",229,"1,350","1,055",576,577,765,915,"1,558",608,930,284,560,"2,700","3,357","1,482","1,169"
2020년05월_계_60~69세,"20,336","1,348",320,"1,558","1,288",894,688,"1,011","1,223","1,721",929,"1,253",495,604,"2,141","2,492","1,416",955
2020년05월_계_70~79세,"12,467",908,220,"1,052",781,546,479,672,683,"1,138",610,866,343,440,991,"1,318",924,496
2020년05월_계_80~89세,"6,835",450,138,619,480,331,252,354,389,627,373,591,244,195,460,638,486,208
2020년05월_계_90~99세,888,64,22,68,68,48,34,42,49,75,41,89,30,20,79,83,58,18
2020년05월_계_100세 이상,42,2,0,6,1,0,3,1,3,7,4,3,0,4,2,2,1,3
2020년05월_남_총인구수,"51,488","2,672",627,"3,608","2,713","1,487","1,470","2,020","2,137","4,275","1,717","2,507",851,"1,397","7,430","9,918","3,730","2,929"
2020년05월_남_연령구간인구수,"51,488","2,672",627,"3,608","2,713","1,487","1,470","2,020","2,137","4,275","1,717","2,507",851,"1,397","7,430","9,918","3,730","2,929"
2020년05월_남_0~9세,"2,964",76,10,158,78,27,42,50,46,242,43,65,18,34,627,"1,062",208,178
2020년05월_남_10~19세,"4,224",126,26,236,140,52,74,112,88,302,75,160,31,88,698,"1,384",329,303
2020년05월_남_20~29세,"5,342",203,59,306,247,108,125,146,155,418,110,192,52,168,"1,038","1,229",422,364
2020년05월_남_30~39세,"4,813",198,42,307,216,94,99,118,143,384,105,148,37,113,"1,015","1,085",372,337
2020년05월_남_40~49세,"6,973",312,67,483,283,133,167,241,197,590,202,232,80,172,"1,160","1,678",519,457
2020년05월_남_50~59세,"9,684",542,128,702,585,280,306,397,460,781,314,513,133,292,"1,330","1,627",739,555
2020년05월_남_60~69세,"9,866",665,152,747,661,441,347,524,609,883,458,622,262,271,"1,007","1,114",642,461
2020년05월_남_70~79세,"5,372",398,96,465,331,251,232,325,320,472,285,373,155,192,395,531,342,209
2020년05월_남_80~89세,"2,085",140,42,192,161,94,74,102,111,188,117,188,78,62,140,189,143,64
2020년05월_남_90~99세,160,12,5,11,11,7,3,5,7,15,7,14,5,4,20,19,14,1
2020년05월_남_100세 이상,5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2020년05월_여_총인구수,"53,651","2,768",663,"3,642","2,583","1,619","1,419","1,930","2,209","4,372","1,737","2,634",916,"1,457","7,571","10,684","4,296","3,151"
2020년05월_여_연령구간인구수,"53,651","2,768",663,"3,642","2,583","1,619","1,419","1,930","2,209","4,372","1,737","2,634",916,"1,457","7,571","10,684","4,296","3,151"
2020년05월_여_0~9세,"2,855",73,13,139,65,39,34,50,37,256,38,53,21,43,624,979,186,205
2020년05월_여_10~19세,"3,801",128,25,209,116,43,59,98,69,263,68,127,26,70,623,"1,250",337,290
2020년05월_여_20~29세,"3,937",152,52,218,134,64,70,77,99,281,78,134,26,96,804,953,386,313
2020년05월_여_30~39세,"4,324",138,27,224,141,66,76,80,113,337,61,107,35,100,927,"1,231",343,318
2020년05월_여_40~49세,"6,179",218,40,317,203,85,110,133,137,448,109,191,45,147,"1,112","1,861",557,466
2020년05월_여_50~59세,"9,475",502,101,648,470,296,271,368,455,777,294,417,151,268,"1,370","1,730",743,614
2020년05월_여_60~69세,"10,470",683,168,811,627,453,341,487,614,838,471,631,233,333,"1,134","1,378",774,494
2020년05월_여_70~79세,"7,095",510,124,587,450,295,247,347,363,666,325,493,188,248,596,787,582,287
2020년05월_여_80~89세,"4,750",310,96,427,319,237,178,252,278,439,256,403,166,133,320,449,343,144
2020년05월_여_90~99세,728,52,17,57,57,41,31,37,42,60,34,75,25,16,59,64,44,17
2020년05월_여_100세 이상,37,2,0,5,1,0,2,1,2,7,3,3,0,3,2,2,1,3
