카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년01월_계_총인구수,"140,991","7,293","3,023","3,226","2,566","3,399","4,202","3,295","3,574","1,999","2,292","2,903","1,621","1,303","2,187","1,073","6,962","7,940","4,107","24,736","20,529","10,871","21,890"
2020년01월_계_연령구간인구수,"140,991","7,293","3,023","3,226","2,566","3,399","4,202","3,295","3,574","1,999","2,292","2,903","1,621","1,303","2,187","1,073","6,962","7,940","4,107","24,736","20,529","10,871","21,890"
2020년01월_계_0~9세,"10,935",407,97,93,77,88,154,110,99,66,66,55,37,27,58,14,254,255,161,"2,277","1,482",915,"4,143"
2020년01월_계_10~19세,"12,180",450,139,156,115,110,219,163,193,90,104,109,54,48,139,41,407,463,261,"3,024","2,280","1,152","2,463"
2020년01월_계_20~29세,"15,025",610,262,279,220,210,342,293,340,153,152,188,109,78,130,43,677,884,368,"3,552","2,443","1,364","2,328"
2020년01월_계_30~39세,"15,910",652,228,222,164,205,256,228,232,134,136,138,74,51,125,33,609,771,297,"2,893","2,178","1,329","4,955"
2020년01월_계_40~49세,"19,657",884,310,316,222,273,449,309,347,196,224,225,126,127,175,105,883,908,438,"4,090","3,060","1,869","4,121"
2020년01월_계_50~59세,"23,999","1,477",553,627,498,607,764,681,766,396,453,552,288,233,397,240,"1,192","1,429",714,"4,138","3,766","1,872","2,356"
2020년01월_계_60~69세,"20,954","1,363",640,670,589,777,875,697,759,406,507,665,350,301,468,260,"1,487","1,586",836,"2,550","2,840","1,350",978
2020년01월_계_70~79세,"13,360",834,440,474,407,597,663,508,477,291,349,516,320,237,391,162,980,"1,047",672,"1,365","1,588",690,352
2020년01월_계_80~89세,"7,859",536,317,332,241,467,408,267,308,233,264,385,228,178,278,157,422,522,323,748,787,288,170
2020년01월_계_90~99세,"1,060",79,37,52,32,64,68,36,48,33,36,69,31,22,25,17,49,71,34,93,102,40,22
2020년01월_계_100세 이상,52,1,0,5,1,1,4,3,5,1,1,1,4,1,1,1,2,4,3,6,3,2,2
2020년01월_남_총인구수,"70,637","3,667","1,570","1,650","1,299","1,695","2,126","1,674","1,824","1,024","1,143","1,438",805,647,"1,082",517,"3,517","3,909","1,999","12,236","10,205","5,526","11,084"
2020년01월_남_연령구간인구수,"70,637","3,667","1,570","1,650","1,299","1,695","2,126","1,674","1,824","1,024","1,143","1,438",805,647,"1,082",517,"3,517","3,909","1,999","12,236","10,205","5,526","11,084"
2020년01월_남_0~9세,"5,647",215,50,51,45,52,87,60,56,41,33,26,19,16,38,7,136,139,90,"1,177",741,459,"2,109"
2020년01월_남_10~19세,"6,477",231,74,85,64,59,125,93,103,51,55,66,31,24,66,23,191,260,141,"1,552","1,295",625,"1,263"
2020년01월_남_20~29세,"8,394",351,154,163,141,121,212,161,203,77,87,101,67,47,75,29,397,512,200,"1,939","1,421",769,"1,167"
2020년01월_남_30~39세,"8,435",335,136,123,89,131,151,128,133,90,79,84,49,31,77,15,357,466,156,"1,478","1,141",725,"2,461"
2020년01월_남_40~49세,"10,401",510,200,192,143,173,249,182,195,128,138,139,80,77,102,57,543,499,250,"1,977","1,498",958,"2,111"
2020년01월_남_50~59세,"12,475",765,318,365,271,342,409,361,421,215,245,326,164,132,213,127,605,700,368,"2,080","1,790",958,"1,300"
2020년01월_남_60~69세,"10,275",702,320,364,298,410,448,356,390,203,267,340,184,175,241,143,687,680,384,"1,224","1,335",643,481
2020년01월_남_70~79세,"5,712",373,187,194,177,247,290,234,211,130,157,228,125,86,173,62,442,429,271,550,706,294,146
2020년01월_남_80~89세,"2,583",167,122,109,65,149,140,85,105,82,74,106,71,55,91,50,147,209,126,240,260,89,41
2020년01월_남_90~99세,228,17,9,4,6,11,14,13,6,7,8,21,13,4,6,4,12,15,11,19,17,6,5
2020년01월_남_100세 이상,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020년01월_여_총인구수,"70,354","3,626","1,453","1,576","1,267","1,704","2,076","1,621","1,750",975,"1,149","1,465",816,656,"1,105",556,"3,445","4,031","2,108","12,500","10,324","5,345","10,806"
2020년01월_여_연령구간인구수,"70,354","3,626","1,453","1,576","1,267","1,704","2,076","1,621","1,750",975,"1,149","1,465",816,656,"1,105",556,"3,445","4,031","2,108","12,500","10,324","5,345","10,806"
2020년01월_여_0~9세,"5,288",192,47,42,32,36,67,50,43,25,33,29,18,11,20,7,118,116,71,"1,100",741,456,"2,034"
2020년01월_여_10~19세,"5,703",219,65,71,51,51,94,70,90,39,49,43,23,24,73,18,216,203,120,"1,472",985,527,"1,200"
