카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년04월_계_총인구수,"234,990","26,277","5,869","6,868","11,891","10,475","5,324","50,137","9,723","27,076","27,363","53,987"
2021년04월_계_연령구간인구수,"234,990","26,277","5,869","6,868","11,891","10,475","5,324","50,137","9,723","27,076","27,363","53,987"
2021년04월_계_0~9세,"20,264","1,315",145,369,619,498,201,"4,708",634,"1,919","2,224","7,632"
2021년04월_계_10~19세,"24,408","2,523",305,369,844,520,265,"6,972",743,"2,646","3,436","5,785"
2021년04월_계_20~29세,"27,806","3,245",649,815,"1,267","1,101",580,"5,443","1,527","3,447","3,864","5,868"
2021년04월_계_30~39세,"28,629","2,271",459,764,"1,128","1,079",445,"5,312","1,198","2,878","2,978","10,117"
2021년04월_계_40~49세,"40,115","3,880",662,785,"1,664","1,132",616,"10,141","1,348","4,289","4,970","10,628"
2021년04월_계_50~59세,"38,764","5,164","1,244","1,208","2,468","1,786","1,046","7,504","1,775","5,417","4,640","6,512"
2021년04월_계_60~69세,"30,058","4,327","1,373","1,424","2,226","2,250","1,108","5,216","1,373","3,753","2,577","4,431"
2021년04월_계_70~79세,"16,415","2,261",654,692,"1,065","1,306",673,"3,356",727,"1,858","1,655","2,168"
2021년04월_계_80~89세,"7,406","1,131",322,368,532,648,342,"1,302",339,780,910,732
2021년04월_계_90~99세,"1,074",153,56,72,77,150,47,177,45,87,103,107
2021년04월_계_100세 이상,51,7,0,2,1,5,1,6,14,2,6,7
2021년04월_남_총인구수,"119,207","13,288","3,340","3,847","6,427","5,373","2,813","24,512","5,118","13,755","13,558","27,176"
2021년04월_남_연령구간인구수,"119,207","13,288","3,340","3,847","6,427","5,373","2,813","24,512","5,118","13,755","13,558","27,176"
2021년04월_남_0~9세,"10,335",642,74,174,313,263,104,"2,383",313,998,"1,147","3,924"
2021년04월_남_10~19세,"12,407","1,296",167,188,457,289,146,"3,493",390,"1,366","1,756","2,859"
2021년04월_남_20~29세,"14,910","1,767",389,522,743,664,324,"2,771",873,"1,829","2,031","2,997"
2021년04월_남_30~39세,"14,766","1,237",292,464,632,600,252,"2,576",652,"1,531","1,477","5,053"
2021년04월_남_40~49세,"20,684","1,973",417,478,946,614,357,"4,989",729,"2,221","2,454","5,506"
2021년04월_남_50~59세,"20,341","2,698",763,719,"1,380",891,551,"3,914",963,"2,777","2,384","3,301"
2021년04월_남_60~69세,"15,081","2,201",774,808,"1,214","1,109",622,"2,313",714,"1,908","1,253","2,165"
2021년04월_남_70~79세,"7,640","1,045",337,341,519,652,312,"1,520",337,821,665,"1,091"
2021년04월_남_80~89세,"2,801",403,115,139,204,257,137,509,133,286,357,261
2021년04월_남_90~99세,231,26,12,14,19,31,8,44,11,18,29,19
2021년04월_남_100세 이상,11,0,0,0,0,3,0,0,3,0,5,0
2021년04월_여_총인구수,"115,783","12,989","2,529","3,021","5,464","5,102","2,511","25,625","4,605","13,321","13,805","26,811"
2021년04월_여_연령구간인구수,"115,783","12,989","2,529","3,021","5,464","5,102","2,511","25,625","4,605","13,321","13,805","26,811"
2021년04월_여_0~9세,"9,929",673,71,195,306,235,97,"2,325",321,921,"1,077","3,708"
2021년04월_여_10~19세,"12,001","1,227",138,181,387,231,119,"3,479",353,"1,280","1,680","2,926"
2021년04월_여_20~29세,"12,896","1,478",260,293,524,437,256,"2,672",654,"1,618","1,833","2,871"
2021년04월_여_30~39세,"13,863","1,034",167,300,496,479,193,"2,736",546,"1,347","1,501","5,064"
2021년04월_여_40~49세,"19,431","1,907",245,307,718,518,259,"5,152",619,"2,068","2,516","5,122"
2021년04월_여_50~59세,"18,423","2,466",481,489,"1,088",895,495,"3,590",812,"2,640","2,256","3,211"
2021년04월_여_60~69세,"14,977","2,126",599,616,"1,012","1,141",486,"2,903",659,"1,845","1,324","2,266"
2021년04월_여_70~79세,"8,775","1,216",317,351,546,654,361,"1,836",390,"1,037",990,"1,077"
2021년04월_여_80~89세,"4,605",728,207,229,328,391,205,793,206,494,553,471
2021년04월_여_90~99세,843,127,44,58,58,119,39,133,34,69,74,88
2021년04월_여_100세 이상,40,7,0,2,1,2,1,6,11,2,1,7
