,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년05월_계_총인구수,"94,097","6,921","11,449","5,189","3,125","27,836","25,936","8,619","5,022"
2020년05월_계_연령구간인구수,"94,097","6,921","11,449","5,189","3,125","27,836","25,936","8,619","5,022"
2020년05월_계_0~9세,"6,619",486,765,155,169,"2,104","2,388",385,167
2020년05월_계_10~19세,"8,807",563,"1,207",232,198,"2,777","3,065",497,268
2020년05월_계_20~29세,"11,150",762,"1,276",507,352,"3,510","3,333",908,502
2020년05월_계_30~39세,"10,350",791,"1,124",449,301,"3,161","3,258",785,481
2020년05월_계_40~49세,"14,555",962,"1,857",608,398,"4,312","4,685","1,111",622
2020년05월_계_50~59세,"16,401","1,254","1,951","1,096",588,"4,884","3,978","1,634","1,016"
2020년05월_계_60~69세,"12,655","1,057","1,490","1,053",516,"3,580","2,444","1,576",939
2020년05월_계_70~79세,"8,732",655,"1,142",659,404,"2,295","1,816","1,101",660
2020년05월_계_80~89세,"4,164",344,571,334,177,"1,071",839,525,303
2020년05월_계_90~99세,584,44,58,74,20,130,126,76,56
2020년05월_계_100세 이상,80,3,8,22,2,12,4,21,8
2020년05월_남_총인구수,"46,946","3,432","5,663","2,686","1,472","13,759","12,797","4,479","2,658"
2020년05월_남_연령구간인구수,"46,946","3,432","5,663","2,686","1,472","13,759","12,797","4,479","2,658"
2020년05월_남_0~9세,"3,437",257,423,91,83,"1,058","1,238",193,94
2020년05월_남_10~19세,"4,435",265,613,119,85,"1,391","1,547",277,138
2020년05월_남_20~29세,"6,057",426,714,268,205,"1,909","1,725",513,297
2020년05월_남_30~39세,"5,339",405,560,268,151,"1,599","1,653",425,278
2020년05월_남_40~49세,"7,477",498,949,352,206,"2,137","2,327",643,365
2020년05월_남_50~59세,"8,672",649,"1,026",627,295,"2,530","2,083",891,571
2020년05월_남_60~69세,"6,170",518,688,548,248,"1,761","1,119",795,493
2020년05월_남_70~79세,"3,639",271,445,276,145,947,743,512,300
2020년05월_남_80~89세,"1,535",129,228,102,49,393,328,201,105
2020년05월_남_90~99세,167,14,15,30,5,31,33,25,14
2020년05월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년05월_여_총인구수,"47,151","3,489","5,786","2,503","1,653","14,077","13,139","4,140","2,364"
2020년05월_여_연령구간인구수,"47,151","3,489","5,786","2,503","1,653","14,077","13,139","4,140","2,364"
2020년05월_여_0~9세,"3,182",229,342,64,86,"1,046","1,150",192,73
2020년05월_여_10~19세,"4,372",298,594,113,113,"1,386","1,518",220,130
2020년05월_여_20~29세,"5,093",336,562,239,147,"1,601","1,608",395,205
2020년05월_여_30~39세,"5,011",386,564,181,150,"1,562","1,605",360,203
2020년05월_여_40~49세,"7,078",464,908,256,192,"2,175","2,358",468,257
2020년05월_여_50~59세,"7,729",605,925,469,293,"2,354","1,895",743,445
2020년05월_여_60~69세,"6,485",539,802,505,268,"1,819","1,325",781,446
2020년05월_여_70~79세,"5,093",384,697,383,259,"1,348","1,073",589,360
2020년05월_여_80~89세,"2,629",215,343,232,128,678,511,324,198
2020년05월_여_90~99세,417,30,43,44,15,99,93,51,42
2020년05월_여_100세 이상,62,3,6,17,2,9,3,17,5
