,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년03월_계_총인구수,"66,088","10,340","3,344","1,738","5,242","1,360",714,"1,889",709,679,"7,823","14,726","9,278","8,246"
2020년03월_계_연령구간인구수,"66,088","10,340","3,344","1,738","5,242","1,360",714,"1,889",709,679,"7,823","14,726","9,278","8,246"
2020년03월_계_0~9세,"4,014",351,92,39,99,31,6,50,15,24,312,"1,729",698,568
2020년03월_계_10~19세,"5,308",807,148,75,257,47,12,74,28,8,518,"1,688",870,776
2020년03월_계_20~29세,"7,497","1,984",241,124,385,71,30,97,33,30,760,"1,930","1,007",805
2020년03월_계_30~39세,"6,125",619,234,103,286,79,23,102,29,44,643,"2,152","1,028",783
2020년03월_계_40~49세,"9,161","1,151",407,186,478,154,70,217,83,78,969,"2,568","1,579","1,221"
2020년03월_계_50~59세,"11,608","1,747",633,362,"1,033",310,149,345,139,136,"1,529","2,262","1,551","1,412"
2020년03월_계_60~69세,"10,730","1,789",677,367,"1,138",354,169,412,174,141,"1,557","1,339","1,256","1,357"
2020년03월_계_70~79세,"7,191","1,257",531,303,854,188,139,330,124,131,"1,001",684,831,818
2020년03월_계_80~89세,"3,864",561,323,151,615,114,97,228,74,79,472,315,386,449
2020년03월_계_90~99세,542,60,50,28,90,12,19,33,9,7,61,55,63,55
2020년03월_계_100세 이상,48,14,8,0,7,0,0,1,1,1,1,4,9,2
2020년03월_남_총인구수,"33,491","5,164","1,747",866,"2,702",727,385,982,359,372,"3,862","7,510","4,729","4,086"
2020년03월_남_연령구간인구수,"33,491","5,164","1,747",866,"2,702",727,385,982,359,372,"3,862","7,510","4,729","4,086"
2020년03월_남_0~9세,"2,044",170,51,20,51,16,3,30,10,13,174,868,351,287
2020년03월_남_10~19세,"2,788",386,77,44,169,28,6,47,13,3,277,875,469,394
2020년03월_남_20~29세,"4,229","1,057",161,66,250,33,20,60,21,15,428,"1,108",561,449
2020년03월_남_30~39세,"3,285",323,147,64,175,52,14,55,15,28,352,"1,100",542,418
2020년03월_남_40~49세,"5,095",658,270,121,316,109,48,160,56,62,511,"1,279",852,653
2020년03월_남_50~59세,"6,145",937,371,187,589,164,97,195,78,77,747,"1,151",847,705
2020년03월_남_60~69세,"5,357",897,348,186,583,192,97,216,84,85,738,679,609,643
2020년03월_남_70~79세,"3,145",546,217,116,355,84,60,152,54,60,453,311,363,374
2020년03월_남_80~89세,"1,291",169,96,57,205,46,36,63,27,28,170,124,119,151
2020년03월_남_90~99세,100,16,6,5,8,3,4,4,1,1,12,14,15,11
2020년03월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년03월_여_총인구수,"32,597","5,176","1,597",872,"2,540",633,329,907,350,307,"3,961","7,216","4,549","4,160"
2020년03월_여_연령구간인구수,"32,597","5,176","1,597",872,"2,540",633,329,907,350,307,"3,961","7,216","4,549","4,160"
2020년03월_여_0~9세,"1,970",181,41,19,48,15,3,20,5,11,138,861,347,281
2020년03월_여_10~19세,"2,520",421,71,31,88,19,6,27,15,5,241,813,401,382
2020년03월_여_20~29세,"3,268",927,80,58,135,38,10,37,12,15,332,822,446,356
2020년03월_여_30~39세,"2,840",296,87,39,111,27,9,47,14,16,291,"1,052",486,365
2020년03월_여_40~49세,"4,066",493,137,65,162,45,22,57,27,16,458,"1,289",727,568
2020년03월_여_50~59세,"5,463",810,262,175,444,146,52,150,61,59,782,"1,111",704,707
2020년03월_여_60~69세,"5,373",892,329,181,555,162,72,196,90,56,819,660,647,714
2020년03월_여_70~79세,"4,046",711,314,187,499,104,79,178,70,71,548,373,468,444
2020년03월_여_80~89세,"2,573",392,227,94,410,68,61,165,47,51,302,191,267,298
2020년03월_여_90~99세,442,44,44,23,82,9,15,29,8,6,49,41,48,44
2020년03월_여_100세 이상,36,9,5,0,6,0,0,1,1,1,1,3,8,1
