카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년09월_계_총인구수,"527,515","32,071","36,089","28,728","15,280","22,891","22,363","28,489","29,325","17,336","24,895","18,012","21,576","15,811","25,080","20,573","39,962","21,471","32,403","32,926","42,234"
2020년09월_계_연령구간인구수,"527,515","32,071","36,089","28,728","15,280","22,891","22,363","28,489","29,325","17,336","24,895","18,012","21,576","15,811","25,080","20,573","39,962","21,471","32,403","32,926","42,234"
2020년09월_계_0~9세,"42,895","3,282","3,695","1,585",710,"1,313","1,690","1,661","1,864",877,"1,832","1,331","1,555",689,"1,542","1,733","6,093","1,350","2,934","2,565","4,594"
2020년09월_계_10~19세,"50,323","3,057","4,466","1,725","1,094","1,664","2,159","2,189","2,402","1,165","2,489","1,688","1,966","1,014","2,401","2,246","3,606","1,972","3,614","3,423","5,983"
2020년09월_계_20~29세,"71,242","4,232","4,320","6,323","2,162","3,226","2,930","4,112","4,290","2,233","3,286","2,492","2,916","2,202","3,525","2,414","4,014","2,932","4,182","4,547","4,904"
2020년09월_계_30~39세,"73,501","4,864","4,615","5,447","1,725","3,264","2,832","3,753","4,192","2,150","3,104","2,280","2,881","1,913","2,936","2,495","7,851","2,330","4,654","4,634","5,581"
2020년09월_계_40~49세,"89,369","5,591","6,754","4,505","2,312","3,516","3,883","4,428","4,586","2,490","4,186","2,911","3,357","2,184","3,859","3,497","7,344","3,440","5,862","5,726","8,938"
2020년09월_계_50~59세,"90,608","5,139","5,801","4,396","3,097","4,071","3,821","5,403","5,319","3,372","4,405","3,267","3,791","3,128","4,896","3,521","4,974","4,384","5,527","5,596","6,700"
2020년09월_계_60~69세,"64,534","3,617","3,941","2,848","2,271","3,180","2,891","3,996","3,962","2,686","3,402","2,433","3,016","2,662","3,400","2,863","3,918","2,968","3,397","3,601","3,482"
2020년09월_계_70~79세,"30,618","1,543","1,783","1,338","1,286","1,808","1,502","2,023","1,821","1,496","1,556","1,152","1,375","1,430","1,603","1,231","1,568","1,424","1,499","1,826","1,354"
2020년09월_계_80~89세,"12,310",615,591,496,541,733,546,790,748,764,535,382,613,510,765,496,508,582,615,869,611
2020년09월_계_90~99세,"1,983",125,111,64,72,107,106,118,129,100,84,67,103,78,148,76,83,85,116,127,84
2020년09월_계_100세 이상,132,6,12,1,10,9,3,16,12,3,16,9,3,1,5,1,3,4,3,12,3
2020년09월_남_총인구수,"262,068","15,630","17,752","14,318","7,724","11,264","11,228","14,245","14,628","8,432","12,208","9,071","10,561","7,944","12,230","10,249","19,813","11,015","16,299","16,609","20,848"
2020년09월_남_연령구간인구수,"262,068","15,630","17,752","14,318","7,724","11,264","11,228","14,245","14,628","8,432","12,208","9,071","10,561","7,944","12,230","10,249","19,813","11,015","16,299","16,609","20,848"
2020년09월_남_0~9세,"22,040","1,673","1,921",840,376,699,874,817,952,448,936,686,774,359,798,863,"3,137",694,"1,490","1,337","2,366"
2020년09월_남_10~19세,"25,737","1,483","2,314",893,590,846,"1,140","1,091","1,209",606,"1,242",871,"1,036",510,"1,219","1,171","1,884","1,056","1,832","1,788","2,956"
2020년09월_남_20~29세,"36,795","2,100","2,245","2,846","1,140","1,661","1,553","2,135","2,202","1,156","1,718","1,289","1,549","1,173","1,858","1,318","1,994","1,625","2,242","2,443","2,548"
2020년09월_남_30~39세,"37,798","2,352","2,164","2,975",981,"1,747","1,419","1,981","2,215","1,135","1,590","1,238","1,507","1,088","1,526","1,268","3,814","1,229","2,446","2,533","2,590"
2020년09월_남_40~49세,"45,419","2,908","3,252","2,431","1,245","1,832","1,996","2,326","2,304","1,313","2,085","1,489","1,629","1,184","1,827","1,758","3,831","1,798","2,971","2,919","4,321"
2020년09월_남_50~59세,"44,670","2,457","2,889","2,175","1,566","1,954","1,928","2,711","2,627","1,661","2,099","1,609","1,798","1,545","2,346","1,690","2,344","2,233","2,785","2,764","3,489"
2020년09월_남_60~69세,"31,180","1,723","1,876","1,367","1,079","1,482","1,399","1,938","1,977","1,274","1,585","1,211","1,414","1,251","1,694","1,405","1,895","1,502","1,632","1,720","1,756"
2020년09월_남_70~79세,"13,838",711,841,594,549,785,692,927,860,601,741,532,640,629,707,567,749,660,666,779,608
2020년09월_남_80~89세,"4,163",204,220,178,185,246,192,284,254,219,190,130,191,194,229,189,154,200,212,294,198
2020년09월_남_90~99세,398,19,26,19,12,11,34,29,26,19,18,12,23,11,26,20,10,16,22,29,16
2020년09월_남_100세 이상,30,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,3,0
2020년09월_여_총인구수,"265,447","16,441","18,337","14,410","7,556","11,627","11,135","14,244","14,697","8,904","12,687","8,941","11,015","7,867","12,850","10,324","20,149","10,456","16,104","16,317","21,386"
2020년09월_여_연령구간인구수,"265,447","16,441","18,337","14,410","7,556","11,627","11,135","14,244","14,697","8,904","12,687","8,941","11,015","7,867","12,850","10,324","20,149","10,456","16,104","16,317","21,386"
2020년09월_여_0~9세,"20,855","1,609","1,774",745,334,614,816,844,912,429,896,645,781,330,744,870,"2,956",656,"1,444","1,228","2,228"
2020년09월_여_10~19세,"24,586","1,574","2,152",832,504,818,"1,019","1,098","1,193",559,"1,247",817,930,504,"1,182","1,075","1,722",916,"1,782","1,635","3,027"
2020년09월_여_20~29세,"34,447","2,132","2,075","3,477","1,022","1,565","1,377","1,977","2,088","1,077","1,568","1,203","1,367","1,029","1,667","1,096","2,020","1,307","1,940","2,104","2,356"
2020년09월_여_30~39세,"35,703","2,512","2,451","2,472",744,"1,517","1,413","1,772","1,977","1,015","1,514","1,042","1,374",825,"1,410","1,227","4,037","1,101","2,208","2,101","2,991"
2020년09월_여_40~49세,"43,950","2,683","3,502","2,074","1,067","1,684","1,887","2,102","2,282","1,177","2,101","1,422","1,728","1,000","2,032","1,739","3,513","1,642","2,891","2,807","4,617"
2020년09월_여_50~59세,"45,938","2,682","2,912","2,221","1,531","2,117","1,893","2,692","2,692","1,711","2,306","1,658","1,993","1,583","2,550","1,831","2,630","2,151","2,742","2,832","3,211"
2020년09월_여_60~69세,"33,354","1,894","2,065","1,481","1,192","1,698","1,492","2,058","1,985","1,412","1,817","1,222","1,602","1,411","1,706","1,458","2,023","1,466","1,765","1,881","1,726"
2020년09월_여_70~79세,"16,780",832,942,744,737,"1,023",810,"1,096",961,895,815,620,735,801,896,664,819,764,833,"1,047",746
2020년09월_여_80~89세,"8,147",411,371,318,356,487,354,506,494,545,345,252,422,316,536,307,354,382,403,575,413
2020년09월_여_90~99세,"1,585",106,85,45,60,96,72,89,103,81,66,55,80,67,122,56,73,69,94,98,68
