,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년07월_계_총인구수,"2,118,205","657,584","255,891","401,693","103,572","98,922","321,170","176,205","115,239","43,209","166,937","50,826","64,336","51,072","30,493","99,425","77,284","61,931"
2021년07월_계_연령구간인구수,"2,118,205","657,584","255,891","401,693","103,572","98,922","321,170","176,205","115,239","43,209","166,937","50,826","64,336","51,072","30,493","99,425","77,284","61,931"
2021년07월_계_0~9세,"166,848","60,203","19,496","40,707","5,511","5,811","31,966","15,059","6,972","3,858","14,941","2,419","2,780","2,194","1,207","7,536","3,446","2,945"
2021년07월_계_10~19세,"201,286","67,794","25,744","42,050","8,016","8,130","35,062","17,132","9,592","6,262","15,722","4,233","4,520","3,377","1,980","9,534","5,598","4,334"
2021년07월_계_20~29세,"240,255","95,636","34,830","60,806","10,956","9,280","37,364","18,995","11,035","4,887","16,036","3,827","5,189","3,690","2,527","9,428","6,586","4,819"
2021년07월_계_30~39세,"262,268","103,008","32,155","70,853","9,171","9,081","48,321","21,802","10,319","4,634","22,161","3,492","4,211","3,256","1,967","10,169","5,862","4,814"
2021년07월_계_40~49세,"326,371","111,664","42,122","69,542","13,048","13,544","57,510","27,816","14,952","8,298","26,952","6,048","6,906","5,589","3,016","14,251","9,234","7,543"
2021년07월_계_50~59세,"337,638","102,911","43,229","59,682","17,911","16,623","47,252","28,411","19,296","7,093","26,125","8,870","10,399","8,270","5,067","15,645","13,155","10,610"
2021년07월_계_60~69세,"294,422","68,035","33,179","34,856","19,226","17,777","34,092","23,335","20,691","4,762","22,317","10,263","13,512","10,463","6,436","15,390","15,469","12,654"
2021년07월_계_70~79세,"171,492","30,409","15,619","14,790","11,412","11,267","18,211","13,977","12,930","2,092","13,287","6,806","9,342","8,012","4,469","10,061","10,299","8,918"
