카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년04월_계_총인구수,"63,508","12,481","9,742",621,224,"3,123","2,960","4,334","3,872","4,899","1,889","2,631","3,305","2,290","3,108","2,268","3,008","1,276","1,477"
2021년04월_계_연령구간인구수,"63,508","12,481","9,742",621,224,"3,123","2,960","4,334","3,872","4,899","1,889","2,631","3,305","2,290","3,108","2,268","3,008","1,276","1,477"
2021년04월_계_0~9세,"2,563","1,010",510,25,1,64,80,117,94,127,53,37,89,62,110,66,55,28,35
2021년04월_계_10~19세,"3,761","1,406",753,21,13,92,123,189,167,219,89,90,113,104,114,72,100,40,56
2021년04월_계_20~29세,"4,063","1,240",739,18,9,132,144,235,201,232,78,110,218,123,205,104,133,60,82
2021년04월_계_30~39세,"3,569","1,146",687,28,15,132,138,170,146,209,68,85,153,116,158,103,89,52,74
2021년04월_계_40~49세,"6,210","1,866","1,171",34,33,227,226,346,303,426,149,198,239,153,272,143,205,85,134
2021년04월_계_50~59세,"10,071","1,977","1,682",32,44,469,470,670,632,800,282,411,565,336,465,379,429,197,231
2021년04월_계_60~69세,"12,906","1,820","1,895",96,29,707,626,947,872,"1,068",434,602,733,573,698,522,633,282,369
2021년04월_계_70~79세,"11,360","1,228","1,473",179,43,719,588,941,802,"1,003",403,570,617,461,569,452,718,309,285
2021년04월_계_80~89세,"7,689",647,722,158,34,490,479,644,560,708,287,426,487,306,443,380,543,185,190
2021년04월_계_90~99세,"1,271",132,106,30,3,91,85,73,89,101,44,101,87,56,69,46,100,37,21
2021년04월_계_100세 이상,45,9,4,0,0,0,1,2,6,6,2,1,4,0,5,1,3,1,0
2021년04월_남_총인구수,"30,867","6,137","4,765",316,118,"1,553","1,421","2,107","1,872","2,359",915,"1,242","1,579","1,077","1,521","1,111","1,420",610,744
2021년04월_남_연령구간인구수,"30,867","6,137","4,765",316,118,"1,553","1,421","2,107","1,872","2,359",915,"1,242","1,579","1,077","1,521","1,111","1,420",610,744
2021년04월_남_0~9세,"1,274",499,248,11,0,33,38,62,34,60,30,16,47,30,64,39,30,12,21
2021년04월_남_10~19세,"2,019",758,400,11,5,48,61,97,80,119,41,50,68,61,60,45,57,26,32
2021년04월_남_20~29세,"2,366",702,405,8,8,89,77,145,122,147,43,74,123,74,119,71,72,36,51
2021년04월_남_30~39세,"1,935",557,359,15,12,86,90,99,90,113,39,47,90,54,92,63,54,35,40
2021년04월_남_40~49세,"3,597",922,619,18,28,164,138,207,196,269,100,136,154,89,174,104,135,56,88
2021년04월_남_50~59세,"5,637","1,049",908,16,27,296,272,377,348,451,170,234,307,198,277,212,253,109,133
2021년04월_남_60~69세,"6,422",851,919,54,15,371,347,463,432,514,213,304,372,292,342,271,324,144,194
2021년04월_남_70~79세,"4,935",566,650,99,15,290,241,404,387,418,174,249,252,181,249,196,304,129,131
2021년04월_남_80~89세,"2,402",209,236,74,8,154,139,233,169,240,92,118,143,93,118,102,173,53,48
2021년04월_남_90~99세,274,22,20,10,0,22,18,19,14,28,12,14,23,5,26,7,18,10,6
2021년04월_남_100세 이상,6,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2021년04월_여_총인구수,"32,641","6,344","4,977",305,106,"1,570","1,539","2,227","2,000","2,540",974,"1,389","1,726","1,213","1,587","1,157","1,588",666,733
2021년04월_여_연령구간인구수,"32,641","6,344","4,977",305,106,"1,570","1,539","2,227","2,000","2,540",974,"1,389","1,726","1,213","1,587","1,157","1,588",666,733
2021년04월_여_0~9세,"1,289",511,262,14,1,31,42,55,60,67,23,21,42,32,46,27,25,16,14
2021년04월_여_10~19세,"1,742",648,353,10,8,44,62,92,87,100,48,40,45,43,54,27,43,14,24
2021년04월_여_20~29세,"1,697",538,334,10,1,43,67,90,79,85,35,36,95,49,86,33,61,24,31
2021년04월_여_30~39세,"1,634",589,328,13,3,46,48,71,56,96,29,38,63,62,66,40,35,17,34
2021년04월_여_40~49세,"2,613",944,552,16,5,63,88,139,107,157,49,62,85,64,98,39,70,29,46
2021년04월_여_50~59세,"4,434",928,774,16,17,173,198,293,284,349,112,177,258,138,188,167,176,88,98
2021년04월_여_60~69세,"6,484",969,976,42,14,336,279,484,440,554,221,298,361,281,356,251,309,138,175
2021년04월_여_70~79세,"6,425",662,823,80,28,429,347,537,415,585,229,321,365,280,320,256,414,180,154
2021년04월_여_80~89세,"5,287",438,486,84,26,336,340,411,391,468,195,308,344,213,325,278,370,132,142
2021년04월_여_90~99세,997,110,86,20,3,69,67,54,75,73,32,87,64,51,43,39,82,27,15
2021년04월_여_100세 이상,39,7,3,0,0,0,1,1,6,6,1,1,4,0,5,0,3,1,0
