카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년05월_계_총인구수,"2,648,760","504,829","232,216","272,613","254,035","140,384","158,820","418,007","104,236","101,758","98,435","71,282","263,286","23,477","52,148","25,264","16,786","36,763","42,651","31,842","43,582","115,658","55,616","31,843","48,815","9,243"
2020년05월_계_연령구간인구수,"2,648,760","504,829","232,216","272,613","254,035","140,384","158,820","418,007","104,236","101,758","98,435","71,282","263,286","23,477","52,148","25,264","16,786","36,763","42,651","31,842","43,582","115,658","55,616","31,843","48,815","9,243"
2020년05월_계_0~9세,"195,734","41,051","18,179","22,872","16,693","10,713","10,948","42,691","6,395","5,832","5,363","4,074","21,228",721,"1,990","1,005",769,"1,761","1,576","1,481","1,959","9,983","4,660","1,465","2,956",420
2020년05월_계_10~19세,"229,926","47,402","21,544","25,858","21,346","11,967","13,865","45,828","9,127","6,743","7,792","5,832","23,076",991,"2,399","1,267",981,"2,134","2,355","2,117","2,388","11,665","4,412","1,904","3,845",490
2020년05월_계_20~29세,"287,508","57,136","26,659","30,477","27,272","14,824","16,620","57,351","9,864","10,388","8,445","6,066","35,998","1,589","3,271","1,789","1,158","2,546","2,942","2,629","3,642","12,413","4,127","2,116","4,494",828
2020년05월_계_30~39세,"299,401","61,152","27,935","33,217","26,070","15,573","15,721","67,115","8,854","9,562","7,739","5,930","33,881","1,411","3,365","1,769","1,065","2,565","2,948","2,428","3,389","15,851","5,640","2,045","4,406",922
2020년05월_계_40~49세,"387,360","77,843","35,978","41,865","37,319","19,465","22,486","73,480","14,129","12,866","11,799","8,851","41,658","2,232","4,776","2,465","1,792","4,014","4,558","3,993","4,861","20,653","7,094","3,319","6,376","1,331"
2020년05월_계_50~59세,"463,020","91,331","42,140","49,191","46,927","24,029","26,718","69,444","18,303","18,373","17,223","12,102","44,764","4,389","8,939","4,808","3,012","6,318","7,527","6,045","8,694","19,443","8,119","5,924","8,693","1,895"
2020년05월_계_60~69세,"394,228","75,646","35,492","40,154","39,667","21,239","24,743","37,244","17,840","17,996","17,804","12,974","33,552","5,174","11,470","5,364","3,331","7,219","9,394","6,100","8,985","13,130","9,092","6,603","7,905","1,756"
2020년05월_계_70~79세,"239,890","36,114","16,828","19,286","24,214","13,416","16,715","15,785","11,964","12,338","12,728","9,287","19,026","4,047","9,061","4,043","2,720","6,002","6,542","4,114","5,753","7,567","6,912","4,781","5,742","1,019"
2020년05월_계_80~89세,"132,711","14,968","6,540","8,428","12,770","7,989","9,521","7,885","6,728","6,863","8,252","5,331","9,019","2,591","6,056","2,430","1,701","3,690","4,208","2,625","3,432","4,300","4,886","3,188","3,782",496
2020년05월_계_90~99세,"18,026","2,084",870,"1,214","1,666","1,117","1,418","1,136",976,755,"1,231",778,"1,017",318,778,303,231,489,581,303,453,612,638,469,598,75
2020년05월_계_100세 이상,956,102,51,51,91,52,65,48,56,42,59,57,67,14,43,21,26,25,20,7,26,41,36,29,18,11
2020년05월_남_총인구수,"1,333,815","255,144","119,635","135,509","127,240","70,371","78,605","214,442","51,666","51,745","48,286","34,927","132,603","11,983","25,545","12,631","8,295","17,457","20,913","16,293","22,532","60,357","27,329","16,019","24,399","5,033"
2020년05월_남_연령구간인구수,"1,333,815","255,144","119,635","135,509","127,240","70,371","78,605","214,442","51,666","51,745","48,286","34,927","132,603","11,983","25,545","12,631","8,295","17,457","20,913","16,293","22,532","60,357","27,329","16,019","24,399","5,033"
2020년05월_남_0~9세,"100,944","21,277","9,420","11,857","8,530","5,534","5,769","22,054","3,306","2,956","2,778","2,124","10,841",388,"1,047",525,401,873,807,753,987,"5,151","2,360",762,"1,499",222
2020년05월_남_10~19세,"121,160","24,942","11,368","13,574","11,190","6,407","7,261","23,981","4,772","3,628","4,132","3,157","12,027",538,"1,262",676,510,"1,106","1,204","1,132","1,350","6,169","2,362","1,018","2,093",243
