,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년10월_계_총인구수,"668,920","14,069","25,622","12,986","19,222","19,912","19,684","16,224","26,060","18,580","39,907","24,955","20,695","32,796","31,585","27,150","27,866","33,082","20,760","29,428","30,359","28,540","28,769","36,270","35,423","21,827","17,215","9,934"
2020년10월_계_연령구간인구수,"668,920","14,069","25,622","12,986","19,222","19,912","19,684","16,224","26,060","18,580","39,907","24,955","20,695","32,796","31,585","27,150","27,866","33,082","20,760","29,428","30,359","28,540","28,769","36,270","35,423","21,827","17,215","9,934"
2020년10월_계_0~9세,"51,124",713,"2,014",679,"1,364","1,018",941,"1,112","1,226","1,353","2,922","1,288","1,658","1,657","1,642","1,675","3,242","2,609","1,365","1,703","2,461","4,643","1,306","4,228","3,339","2,893","1,481",592
2020년10월_계_10~19세,"59,293",918,"2,063","1,038","1,588","1,673","1,421","1,711","1,280","2,810","3,287","1,399","1,926","1,975","2,060","1,914","2,226","3,580","1,573","1,492","2,829","3,612","1,825","5,921","4,024","2,340","1,751","1,057"
2020년10월_계_20~29세,"94,358","1,755","3,858","1,831","2,226","2,407","2,474","2,474","5,065","2,207","5,669","4,612","2,962","5,643","5,405","4,250","3,596","4,576","3,304","5,279","4,130","2,766","5,178","3,321","3,976","2,057","2,042","1,295"
2020년10월_계_30~39세,"111,302","1,991","4,380","1,753","2,674","2,240","2,321","2,304","5,939","1,759","5,755","5,466","3,097","7,116","6,681","4,786","5,474","4,866","3,608","7,564","4,852","5,053","6,188","4,191","4,605","3,212","2,389","1,038"
2020년10월_계_40~49세,"109,438","2,009","4,057","1,987","3,056","2,939","2,794","2,719","3,668","3,428","5,904","3,547","3,152","4,996","5,209","3,924","4,409","5,666","2,901","4,291","4,838","5,812","4,497","8,777","6,285","4,375","2,775","1,423"
2020년10월_계_50~59세,"102,983","2,494","3,711","2,326","3,324","3,649","3,790","2,705","3,671","3,128","6,966","3,565","3,402","4,777","4,568","4,785","4,024","5,336","3,419","3,552","4,969","3,289","4,157","4,820","5,297","2,912","2,667","1,680"
2020년10월_계_60~69세,"83,538","2,425","3,261","1,911","2,730","3,263","3,323","1,926","3,157","2,434","5,702","3,040","2,818","3,929","3,654","3,584","3,251","4,038","2,922","3,152","3,732","2,129","3,386","2,848","4,632","2,423","2,423","1,445"
2020년10월_계_70~79세,"40,104","1,259","1,608","1,060","1,568","1,878","1,776",850,"1,505","1,009","2,499","1,482","1,171","1,990","1,704","1,556","1,270","1,675","1,188","1,593","1,727",872,"1,624","1,568","2,431","1,160","1,153",928
2020년10월_계_80~89세,"13,993",435,569,348,577,722,690,360,475,356,994,468,414,622,545,588,310,619,399,674,660,279,522,483,684,361,436,403
2020년10월_계_90~99세,"2,496",62,92,51,101,106,120,56,71,96,200,78,83,84,104,80,59,107,68,119,156,81,72,82,138,74,86,70
2020년10월_계_100세 이상,291,8,9,2,14,17,34,7,3,0,9,10,12,7,13,8,5,10,13,9,5,4,14,31,12,20,12,3
2020년10월_남_총인구수,"322,942","6,934","12,188","6,623","9,449","10,164","9,981","7,812","12,298","9,142","19,361","11,718","9,941","15,624","14,954","13,451","13,550","16,264","10,232","13,600","14,684","13,895","13,582","17,352","16,845","10,515","8,149","4,634"
2020년10월_남_연령구간인구수,"322,942","6,934","12,188","6,623","9,449","10,164","9,981","7,812","12,298","9,142","19,361","11,718","9,941","15,624","14,954","13,451","13,550","16,264","10,232","13,600","14,684","13,895","13,582","17,352","16,845","10,515","8,149","4,634"
2020년10월_남_0~9세,"26,455",404,"1,056",355,711,535,458,551,660,743,"1,518",643,855,844,840,876,"1,757","1,362",702,856,"1,255","2,352",664,"2,179","1,737","1,500",733,309
2020년10월_남_10~19세,"30,332",482,"1,036",557,856,852,735,880,678,"1,542","1,729",692,961,"1,004","1,077",988,"1,080","1,902",814,765,"1,457","1,790",905,"2,974","2,041","1,203",896,436
2020년10월_남_20~29세,"45,004",929,"1,695",976,"1,146","1,250","1,331","1,258","2,174","1,173","2,929","2,092","1,395","2,555","2,442","2,073","1,770","2,303","1,649","2,032","2,076","1,392","2,289","1,556","1,907","1,012",978,622
2020년10월_남_30~39세,"53,387","1,033","2,068",937,"1,361","1,241","1,287","1,111","2,897",728,"2,817","2,661","1,481","3,441","3,314","2,428","2,591","2,348","1,846","3,503","2,433","2,305","3,013","1,685","1,973","1,357","1,058",470
2020년10월_남_40~49세,"52,756","1,005","1,963",992,"1,493","1,513","1,472","1,238","1,794","1,527","2,777","1,658","1,512","2,463","2,486","1,940","2,148","2,728","1,417","2,074","2,364","2,958","2,168","4,107","2,911","2,114","1,299",635
2020년10월_남_50~59세,"49,880","1,199","1,802","1,180","1,625","1,949","1,919","1,271","1,716","1,553","3,262","1,636","1,615","2,298","2,125","2,335","1,888","2,570","1,595","1,728","2,321","1,628","1,979","2,607","2,584","1,448","1,236",811
2020년10월_남_60~69세,"39,432","1,114","1,549",936,"1,300","1,633","1,663",914,"1,435","1,159","2,694","1,380","1,323","1,806","1,650","1,776","1,560","1,956","1,430","1,483","1,735",955,"1,548","1,294","2,156","1,128","1,172",683
2020년10월_남_70~79세,"19,579",577,776,536,729,896,811,445,731,558,"1,242",728,621,915,802,763,645,831,600,816,809,429,776,724,"1,209",581,563,466
2020년10월_남_80~89세,"5,461",172,218,138,206,263,285,127,195,133,346,207,160,270,200,242,98,234,156,299,214,77,219,198,293,146,181,184
2020년10월_남_90~99세,584,16,23,15,15,28,14,17,16,26,45,20,16,28,15,26,12,29,20,41,20,9,19,17,31,21,27,18
2020년10월_남_100세 이상,72,3,2,1,7,4,6,0,2,0,2,1,2,0,3,4,1,1,3,3,0,0,2,11,3,5,6,0
2020년10월_여_총인구수,"345,978","7,135","13,434","6,363","9,773","9,748","9,703","8,412","13,762","9,438","20,546","13,237","10,754","17,172","16,631","13,699","14,316","16,818","10,528","15,828","15,675","14,645","15,187","18,918","18,578","11,312","9,066","5,300"
2020년10월_여_연령구간인구수,"345,978","7,135","13,434","6,363","9,773","9,748","9,703","8,412","13,762","9,438","20,546","13,237","10,754","17,172","16,631","13,699","14,316","16,818","10,528","15,828","15,675","14,645","15,187","18,918","18,578","11,312","9,066","5,300"
2020년10월_여_0~9세,"24,669",309,958,324,653,483,483,561,566,610,"1,404",645,803,813,802,799,"1,485","1,247",663,847,"1,206","2,291",642,"2,049","1,602","1,393",748,283
2020년10월_여_10~19세,"28,961",436,"1,027",481,732,821,686,831,602,"1,268","1,558",707,965,971,983,926,"1,146","1,678",759,727,"1,372","1,822",920,"2,947","1,983","1,137",855,621
2020년10월_여_20~29세,"49,354",826,"2,163",855,"1,080","1,157","1,143","1,216","2,891","1,034","2,740","2,520","1,567","3,088","2,963","2,177","1,826","2,273","1,655","3,247","2,054","1,374","2,889","1,765","2,069","1,045","1,064",673
2020년10월_여_30~39세,"57,915",958,"2,312",816,"1,313",999,"1,034","1,193","3,042","1,031","2,938","2,805","1,616","3,675","3,367","2,358","2,883","2,518","1,762","4,061","2,419","2,748","3,175","2,506","2,632","1,855","1,331",568
2020년10월_여_40~49세,"56,682","1,004","2,094",995,"1,563","1,426","1,322","1,481","1,874","1,901","3,127","1,889","1,640","2,533","2,723","1,984","2,261","2,938","1,484","2,217","2,474","2,854","2,329","4,670","3,374","2,261","1,476",788
2020년10월_여_50~59세,"53,103","1,295","1,909","1,146","1,699","1,700","1,871","1,434","1,955","1,575","3,704","1,929","1,787","2,479","2,443","2,450","2,136","2,766","1,824","1,824","2,648","1,661","2,178","2,213","2,713","1,464","1,431",869
2020년10월_여_60~69세,"44,106","1,311","1,712",975,"1,430","1,630","1,660","1,012","1,722","1,275","3,008","1,660","1,495","2,123","2,004","1,808","1,691","2,082","1,492","1,669","1,997","1,174","1,838","1,554","2,476","1,295","1,251",762
2020년10월_여_70~79세,"20,525",682,832,524,839,982,965,405,774,451,"1,257",754,550,"1,075",902,793,625,844,588,777,918,443,848,844,"1,222",579,590,462
2020년10월_여_80~89세,"8,532",263,351,210,371,459,405,233,280,223,648,261,254,352,345,346,212,385,243,375,446,202,303,285,391,215,255,219
