,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년11월_계_총인구수,"175,389","13,852","12,082","14,731","27,479","10,767","25,912","18,705","9,587","13,744","28,530"
2021년11월_계_연령구간인구수,"175,389","13,852","12,082","14,731","27,479","10,767","25,912","18,705","9,587","13,744","28,530"
2021년11월_계_0~9세,"9,920",692,824,575,"1,621",630,"1,153","1,033",258,936,"2,198"
2021년11월_계_10~19세,"11,455","1,148","1,171",655,"1,915",754,"1,514","1,214",394,916,"1,774"
2021년11월_계_20~29세,"23,819","1,785","1,258","1,717","2,951","1,156","5,132","2,889","1,992","1,666","3,273"
2021년11월_계_30~39세,"23,577","1,612","1,190","1,698","3,265","1,290","4,134","2,786","1,456","2,051","4,095"
2021년11월_계_40~49세,"25,013","1,962","1,914","1,869","3,770","1,586","3,511","2,799","1,173","2,114","4,315"
2021년11월_계_50~59세,"27,159","2,479","2,146","2,257","4,214","1,800","3,527","2,739","1,283","2,094","4,620"
2021년11월_계_60~69세,"29,026","2,142","1,974","2,980","5,199","1,934","3,700","2,683","1,599","2,076","4,739"
2021년11월_계_70~79세,"17,292","1,282","1,092","1,997","3,056","1,164","2,230","1,755","1,009","1,236","2,471"
2021년11월_계_80~89세,"7,174",639,431,880,"1,312",407,879,721,386,601,918
2021년11월_계_90~99세,917,107,75,98,175,45,126,77,36,53,125
2021년11월_계_100세 이상,37,4,7,5,1,1,6,9,1,1,2
2021년11월_남_총인구수,"82,790","6,378","5,654","7,058","13,134","5,296","12,052","8,696","4,527","6,229","13,766"
2021년11월_남_연령구간인구수,"82,790","6,378","5,654","7,058","13,134","5,296","12,052","8,696","4,527","6,229","13,766"
2021년11월_남_0~9세,"5,097",327,422,302,853,332,601,519,128,491,"1,122"
2021년11월_남_10~19세,"5,911",592,605,344,984,408,815,608,197,451,907
2021년11월_남_20~29세,"11,472",866,648,857,"1,548",634,"2,213","1,337",860,772,"1,737"
2021년11월_남_30~39세,"11,747",791,569,885,"1,612",688,"2,067","1,385",762,982,"2,006"
2021년11월_남_40~49세,"12,341",914,858,"1,004","1,882",822,"1,732","1,362",597,959,"2,211"
2021년11월_남_50~59세,"12,622","1,139",957,"1,086","1,950",863,"1,612","1,271",649,936,"2,159"
2021년11월_남_60~69세,"12,844",943,899,"1,301","2,309",869,"1,621","1,174",742,863,"2,123"
2021년11월_남_70~79세,"7,739",533,510,910,"1,425",506,"1,016",730,436,543,"1,130"
2021년11월_남_80~89세,"2,767",239,173,347,513,169,338,282,146,219,341
2021년11월_남_90~99세,241,32,12,22,58,5,35,25,10,13,29
2021년11월_남_100세 이상,9,2,1,0,0,0,2,3,0,0,1
2021년11월_여_총인구수,"92,599","7,474","6,428","7,673","14,345","5,471","13,860","10,009","5,060","7,515","14,764"
2021년11월_여_연령구간인구수,"92,599","7,474","6,428","7,673","14,345","5,471","13,860","10,009","5,060","7,515","14,764"
2021년11월_여_0~9세,"4,823",365,402,273,768,298,552,514,130,445,"1,076"
2021년11월_여_10~19세,"5,544",556,566,311,931,346,699,606,197,465,867
2021년11월_여_20~29세,"12,347",919,610,860,"1,403",522,"2,919","1,552","1,132",894,"1,536"
2021년11월_여_30~39세,"11,830",821,621,813,"1,653",602,"2,067","1,401",694,"1,069","2,089"
2021년11월_여_40~49세,"12,672","1,048","1,056",865,"1,888",764,"1,779","1,437",576,"1,155","2,104"
2021년11월_여_50~59세,"14,537","1,340","1,189","1,171","2,264",937,"1,915","1,468",634,"1,158","2,461"
2021년11월_여_60~69세,"16,182","1,199","1,075","1,679","2,890","1,065","2,079","1,509",857,"1,213","2,616"
2021년11월_여_70~79세,"9,553",749,582,"1,087","1,631",658,"1,214","1,025",573,693,"1,341"
2021년11월_여_80~89세,"4,407",400,258,533,799,238,541,439,240,382,577
2021년11월_여_90~99세,676,75,63,76,117,40,91,52,26,40,96
2021년11월_여_100세 이상,28,2,6,5,1,1,4,6,1,1,1
