카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년06월_계_총인구수,"166,754","8,888","30,186","5,380","9,700","2,405","3,627","3,537","5,046","5,113","15,505","11,737","24,776","22,728","18,126"
2021년06월_계_연령구간인구수,"166,754","8,888","30,186","5,380","9,700","2,405","3,627","3,537","5,046","5,113","15,505","11,737","24,776","22,728","18,126"
2021년06월_계_0~9세,"15,015",304,"3,833",161,391,57,102,91,150,175,"1,383","1,076","2,474","2,873","1,945"
2021년06월_계_10~19세,"15,713",577,"2,635",278,485,88,181,190,315,309,"1,785",979,"2,539","2,625","2,727"
2021년06월_계_20~29세,"16,003",659,"2,287",385,903,136,290,215,353,391,"1,395",990,"3,444","2,374","2,181"
2021년06월_계_30~39세,"22,265",667,"5,249",279,"1,095",129,203,227,259,307,"1,537","1,864","4,482","3,608","2,359"
2021년06월_계_40~49세,"26,908","1,094","5,449",528,"1,348",196,316,360,508,579,"2,578","2,017","4,350","4,032","3,553"
2021년06월_계_50~59세,"26,054","1,524","4,496",911,"1,913",333,582,628,937,829,"2,477","1,857","3,527","3,228","2,812"
2021년06월_계_60~69세,"22,182","1,815","3,391","1,256","1,850",630,857,847,"1,095","1,107","2,163","1,464","2,199","2,155","1,353"
2021년06월_계_70~79세,"13,247","1,293","1,701",858,991,490,606,566,773,805,"1,306",865,"1,162","1,113",718
2021년06월_계_80~89세,"8,149",824,"1,008",623,626,300,420,351,564,539,773,546,527,631,417
2021년06월_계_90~99세,"1,167",124,135,97,92,43,69,61,88,71,104,75,71,78,59
2021년06월_계_100세 이상,51,7,2,4,6,3,1,1,4,1,4,4,1,11,2
2021년06월_남_총인구수,"88,637","4,673","16,746","2,751","5,734","1,205","1,857","1,817","2,542","2,571","7,885","6,722","13,214","11,580","9,340"
2021년06월_남_연령구간인구수,"88,637","4,673","16,746","2,751","5,734","1,205","1,857","1,817","2,542","2,571","7,885","6,722","13,214","11,580","9,340"
2021년06월_남_0~9세,"7,632",164,"1,980",86,205,38,42,42,66,79,695,520,"1,246","1,490",979
2021년06월_남_10~19세,"8,254",321,"1,389",143,259,46,92,100,171,168,910,508,"1,334","1,373","1,440"
2021년06월_남_20~29세,"9,334",392,"1,333",214,626,83,175,136,194,240,796,637,"1,980","1,278","1,250"
2021년06월_남_30~39세,"12,756",411,"2,954",158,755,81,125,130,150,174,798,"1,219","2,664","1,893","1,244"
2021년06월_남_40~49세,"15,138",663,"3,324",312,933,124,177,218,301,334,"1,371","1,269","2,312","2,066","1,734"
2021년06월_남_50~59세,"14,684",878,"2,708",524,"1,215",171,321,346,514,449,"1,366","1,144","1,832","1,702","1,514"
2021년06월_남_60~69세,"11,397",888,"1,841",641,"1,025",306,450,422,546,562,"1,072",804,"1,119","1,048",673
2021년06월_남_70~79세,"6,238",611,838,411,466,235,299,291,383,358,585,393,518,507,343
2021년06월_남_80~89세,"2,906",311,340,237,228,110,163,120,191,183,270,208,192,212,141
2021년06월_남_90~99세,290,34,39,25,20,10,13,12,26,23,21,20,17,9,21
2021년06월_남_100세 이상,8,0,0,0,2,1,0,0,0,1,1,0,0,2,1
2021년06월_여_총인구수,"78,117","4,215","13,440","2,629","3,966","1,200","1,770","1,720","2,504","2,542","7,620","5,015","11,562","11,148","8,786"
2021년06월_여_연령구간인구수,"78,117","4,215","13,440","2,629","3,966","1,200","1,770","1,720","2,504","2,542","7,620","5,015","11,562","11,148","8,786"
2021년06월_여_0~9세,"7,383",140,"1,853",75,186,19,60,49,84,96,688,556,"1,228","1,383",966
2021년06월_여_10~19세,"7,459",256,"1,246",135,226,42,89,90,144,141,875,471,"1,205","1,252","1,287"
2021년06월_여_20~29세,"6,669",267,954,171,277,53,115,79,159,151,599,353,"1,464","1,096",931
2021년06월_여_30~39세,"9,509",256,"2,295",121,340,48,78,97,109,133,739,645,"1,818","1,715","1,115"
2021년06월_여_40~49세,"11,770",431,"2,125",216,415,72,139,142,207,245,"1,207",748,"2,038","1,966","1,819"
2021년06월_여_50~59세,"11,370",646,"1,788",387,698,162,261,282,423,380,"1,111",713,"1,695","1,526","1,298"
2021년06월_여_60~69세,"10,785",927,"1,550",615,825,324,407,425,549,545,"1,091",660,"1,080","1,107",680
2021년06월_여_70~79세,"7,009",682,863,447,525,255,307,275,390,447,721,472,644,606,375
2021년06월_여_80~89세,"5,243",513,668,386,398,190,257,231,373,356,503,338,335,419,276
2021년06월_여_90~99세,877,90,96,72,72,33,56,49,62,48,83,55,54,69,38
2021년06월_여_100세 이상,43,7,2,4,4,2,1,1,4,0,3,4,1,9,1
