,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년03월_계_총인구수,"176,056","52,694","8,583","81,686","25,083","8,010"
2021년03월_계_연령구간인구수,"176,056","52,694","8,583","81,686","25,083","8,010"
2021년03월_계_0~9세,"19,045","3,119",404,"11,940","3,211",371
2021년03월_계_10~19세,"17,674","4,372",421,"10,671","1,776",434
2021년03월_계_20~29세,"17,115","6,266","1,029","6,619","2,486",715
2021년03월_계_30~39세,"24,863","5,556","1,035","13,014","4,585",673
2021년03월_계_40~49세,"32,601","8,132",948,"18,560","3,963",998
2021년03월_계_50~59세,"24,356","9,325","1,529","8,463","3,646","1,393"
2021년03월_계_60~69세,"21,854","8,330","1,658","6,965","3,112","1,789"
2021년03월_계_70~79세,"12,501","4,996",955,"3,906","1,548","1,096"
2021년03월_계_80~89세,"5,293","2,291",514,"1,357",654,477
2021년03월_계_90~99세,726,296,85,187,97,61
2021년03월_계_100세 이상,28,11,5,4,5,3
2021년03월_남_총인구수,"87,172","25,727","4,598","40,342","12,464","4,041"
2021년03월_남_연령구간인구수,"87,172","25,727","4,598","40,342","12,464","4,041"
2021년03월_남_0~9세,"9,700","1,644",210,"6,077","1,594",175
2021년03월_남_10~19세,"9,198","2,280",243,"5,548",897,230
2021년03월_남_20~29세,"9,054","3,328",607,"3,326","1,364",429
2021년03월_남_30~39세,"12,354","2,928",606,"6,165","2,301",354
2021년03월_남_40~49세,"16,706","4,064",560,"9,489","2,040",553
2021년03월_남_50~59세,"12,337","4,612",863,"4,372","1,779",711
2021년03월_남_60~69세,"10,195","3,913",854,"3,035","1,536",857
2021년03월_남_70~79세,"5,683","2,107",483,"1,810",728,555
2021년03월_남_80~89세,"1,811",802,154,489,204,162
2021년03월_남_90~99세,132,48,17,31,21,15
2021년03월_남_100세 이상,2,1,1,0,0,0
2021년03월_여_총인구수,"88,884","26,967","3,985","41,344","12,619","3,969"
2021년03월_여_연령구간인구수,"88,884","26,967","3,985","41,344","12,619","3,969"
2021년03월_여_0~9세,"9,345","1,475",194,"5,863","1,617",196
2021년03월_여_10~19세,"8,476","2,092",178,"5,123",879,204
2021년03월_여_20~29세,"8,061","2,938",422,"3,293","1,122",286
2021년03월_여_30~39세,"12,509","2,628",429,"6,849","2,284",319
2021년03월_여_40~49세,"15,895","4,068",388,"9,071","1,923",445
2021년03월_여_50~59세,"12,019","4,713",666,"4,091","1,867",682
2021년03월_여_60~69세,"11,659","4,417",804,"3,930","1,576",932
2021년03월_여_70~79세,"6,818","2,889",472,"2,096",820,541
2021년03월_여_80~89세,"3,482","1,489",360,868,450,315
2021년03월_여_90~99세,594,248,68,156,76,46
2021년03월_여_100세 이상,26,10,4,4,5,3
