,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년05월_계_총인구수,"76,880","8,838","6,748","5,041","4,640","5,249","8,245","5,160","3,611","7,102","12,067","7,662","2,517"
2020년05월_계_연령구간인구수,"76,880","8,838","6,748","5,041","4,640","5,249","8,245","5,160","3,611","7,102","12,067","7,662","2,517"
2020년05월_계_0~9세,"5,318",341,511,175,142,571,923,279,150,620,974,556,76
2020년05월_계_10~19세,"5,110",498,389,246,203,243,561,315,232,529,"1,095",631,168
2020년05월_계_20~29세,"11,841","1,516","1,823","1,394",835,652,850,876,565,722,"1,349","1,001",258
2020년05월_계_30~39세,"10,964","1,190","1,253",762,543,"1,067","1,448",671,420,"1,009","1,445",940,216
2020년05월_계_40~49세,"10,825","1,167",892,565,519,696,"1,175",676,503,"1,134","1,937","1,177",384
2020년05월_계_50~59세,"11,447","1,369",708,647,756,748,"1,265",834,584,"1,092","1,825","1,202",417
2020년05월_계_60~69세,"10,125","1,271",585,568,796,661,"1,048",698,502,959,"1,674",950,413
2020년05월_계_70~79세,"7,365",983,368,444,564,410,656,542,411,688,"1,142",748,409
2020년05월_계_80~89세,"3,316",422,183,190,226,168,275,248,199,309,553,394,149
2020년05월_계_90~99세,470,68,29,44,41,28,33,19,31,36,65,55,21
2020년05월_계_100세 이상,99,13,7,6,15,5,11,2,14,4,8,8,6
2020년05월_남_총인구수,"37,013","4,390","3,203","2,385","2,357","2,623","3,999","2,479","1,730","3,288","5,715","3,606","1,238"
2020년05월_남_연령구간인구수,"37,013","4,390","3,203","2,385","2,357","2,623","3,999","2,479","1,730","3,288","5,715","3,606","1,238"
2020년05월_남_0~9세,"2,740",165,253,93,77,280,439,151,71,339,528,304,40
2020년05월_남_10~19세,"2,610",245,185,111,104,131,313,150,119,266,584,306,96
2020년05월_남_20~29세,"5,697",739,825,575,403,324,445,426,276,342,703,503,136
2020년05월_남_30~39세,"5,640",666,645,431,324,550,701,326,216,497,715,449,120
2020년05월_남_40~49세,"5,550",642,476,287,284,369,612,354,251,556,949,569,201
2020년05월_남_50~59세,"5,632",713,336,350,398,381,602,420,301,508,838,570,215
2020년05월_남_60~69세,"4,688",629,249,282,410,329,503,329,233,394,708,430,192
2020년05월_남_70~79세,"3,109",417,155,178,255,192,270,235,181,274,489,290,173
2020년05월_남_80~89세,"1,213",156,72,62,89,58,106,81,76,105,184,164,60
2020년05월_남_90~99세,113,16,6,12,9,8,7,6,3,7,15,19,5
2020년05월_남_100세 이상,21,2,1,4,4,1,1,1,3,0,2,2,0
2020년05월_여_총인구수,"39,867","4,448","3,545","2,656","2,283","2,626","4,246","2,681","1,881","3,814","6,352","4,056","1,279"
2020년05월_여_연령구간인구수,"39,867","4,448","3,545","2,656","2,283","2,626","4,246","2,681","1,881","3,814","6,352","4,056","1,279"
2020년05월_여_0~9세,"2,578",176,258,82,65,291,484,128,79,281,446,252,36
2020년05월_여_10~19세,"2,500",253,204,135,99,112,248,165,113,263,511,325,72
2020년05월_여_20~29세,"6,144",777,998,819,432,328,405,450,289,380,646,498,122
2020년05월_여_30~39세,"5,324",524,608,331,219,517,747,345,204,512,730,491,96
2020년05월_여_40~49세,"5,275",525,416,278,235,327,563,322,252,578,988,608,183
2020년05월_여_50~59세,"5,815",656,372,297,358,367,663,414,283,584,987,632,202
2020년05월_여_60~69세,"5,437",642,336,286,386,332,545,369,269,565,966,520,221
2020년05월_여_70~79세,"4,256",566,213,266,309,218,386,307,230,414,653,458,236
2020년05월_여_80~89세,"2,103",266,111,128,137,110,169,167,123,204,369,230,89
2020년05월_여_90~99세,357,52,23,32,32,20,26,13,28,29,50,36,16
2020년05월_여_100세 이상,78,11,6,2,11,4,10,1,11,4,6,6,6
