,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년09월_계_총인구수,"44,799","5,459","3,625","12,060","15,459","2,001","3,825","2,261",109,0,0,0,0
2020년09월_계_연령구간인구수,"44,799","5,459","3,625","12,060","15,459","2,001","3,825","2,261",109,0,0,0,0
2020년09월_계_0~9세,"3,367",427,367,813,"1,179",164,236,181,0,0,0,0,0
2020년09월_계_10~19세,"3,843",503,257,"1,022","1,462",103,353,140,3,0,0,0,0
2020년09월_계_20~29세,"5,828",681,558,"1,623","1,821",411,454,277,3,0,0,0,0
2020년09월_계_30~39세,"4,739",581,462,"1,228","1,599",234,370,261,4,0,0,0,0
2020년09월_계_40~49세,"5,742",687,388,"1,629","2,079",204,543,204,8,0,0,0,0
2020년09월_계_50~59세,"7,280",902,497,"2,070","2,559",241,646,349,16,0,0,0,0
2020년09월_계_60~69세,"6,622",751,489,"1,808","2,292",275,580,406,21,0,0,0,0
2020년09월_계_70~79세,"4,768",611,373,"1,221","1,605",226,393,298,41,0,0,0,0
2020년09월_계_80~89세,"2,206",276,199,539,725,118,209,127,13,0,0,0,0
2020년09월_계_90~99세,359,38,33,97,117,20,37,17,0,0,0,0,0
2020년09월_계_100세 이상,45,2,2,10,21,5,4,1,0,0,0,0,0
2020년09월_남_총인구수,"23,267","2,788","1,930","6,468","7,784","1,115","1,925","1,207",50,0,0,0,0
2020년09월_남_연령구간인구수,"23,267","2,788","1,930","6,468","7,784","1,115","1,925","1,207",50,0,0,0,0
2020년09월_남_0~9세,"1,712",196,212,411,586,81,125,101,0,0,0,0,0
2020년09월_남_10~19세,"1,992",282,129,559,716,59,177,68,2,0,0,0,0
2020년09월_남_20~29세,"3,780",412,372,"1,108","1,099",302,286,200,1,0,0,0,0
2020년09월_남_30~39세,"2,604",317,252,696,848,146,194,149,2,0,0,0,0
2020년09월_남_40~49세,"3,082",369,221,875,"1,077",123,295,117,5,0,0,0,0
2020년09월_남_50~59세,"3,873",490,271,"1,108","1,350",128,333,183,10,0,0,0,0
2020년09월_남_60~69세,"3,220",352,244,905,"1,099",134,267,212,7,0,0,0,0
2020년09월_남_70~79세,"2,121",266,148,570,725,98,168,131,15,0,0,0,0
2020년09월_남_80~89세,794,96,75,212,249,37,76,41,8,0,0,0,0
2020년09월_남_90~99세,77,8,6,20,30,5,3,5,0,0,0,0,0
2020년09월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년09월_여_총인구수,"21,532","2,671","1,695","5,592","7,675",886,"1,900","1,054",59,0,0,0,0
2020년09월_여_연령구간인구수,"21,532","2,671","1,695","5,592","7,675",886,"1,900","1,054",59,0,0,0,0
2020년09월_여_0~9세,"1,655",231,155,402,593,83,111,80,0,0,0,0,0
2020년09월_여_10~19세,"1,851",221,128,463,746,44,176,72,1,0,0,0,0
2020년09월_여_20~29세,"2,048",269,186,515,722,109,168,77,2,0,0,0,0
2020년09월_여_30~39세,"2,135",264,210,532,751,88,176,112,2,0,0,0,0
2020년09월_여_40~49세,"2,660",318,167,754,"1,002",81,248,87,3,0,0,0,0
2020년09월_여_50~59세,"3,407",412,226,962,"1,209",113,313,166,6,0,0,0,0
2020년09월_여_60~69세,"3,402",399,245,903,"1,193",141,313,194,14,0,0,0,0
2020년09월_여_70~79세,"2,647",345,225,651,880,128,225,167,26,0,0,0,0
2020년09월_여_80~89세,"1,412",180,124,327,476,81,133,86,5,0,0,0,0
2020년09월_여_90~99세,282,30,27,77,87,15,34,12,0,0,0,0,0
2020년09월_여_100세 이상,33,2,2,6,16,3,3,1,0,0,0,0,0
