,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년05월_계_총인구수,"157,882","6,379","4,051","2,978","3,502","6,883","2,712","1,746","2,107","2,822","2,714","1,729","1,855","1,619","1,734","5,154","4,993","22,165","9,056","13,148","6,288","6,201","21,524","16,125","10,397"
2021년05월_계_연령구간인구수,"157,882","6,379","4,051","2,978","3,502","6,883","2,712","1,746","2,107","2,822","2,714","1,729","1,855","1,619","1,734","5,154","4,993","22,165","9,056","13,148","6,288","6,201","21,524","16,125","10,397"
2021년05월_계_0~9세,"10,371",190,94,62,82,439,45,26,55,58,42,30,47,22,31,225,299,"1,868",626,896,369,334,"1,931","1,509","1,091"
2021년05월_계_10~19세,"13,523",267,189,83,124,377,124,57,81,108,75,50,50,47,61,357,410,"2,333",878,939,525,549,"2,595","1,738","1,506"
2021년05월_계_20~29세,"16,546",439,282,139,282,968,144,81,149,173,123,68,86,70,63,620,507,"2,996",846,"1,370",628,669,"2,638","1,924","1,281"
2021년05월_계_30~39세,"15,276",367,200,146,204,"1,062",109,75,134,139,113,59,79,64,70,501,424,"2,521",788,"1,506",570,559,"2,403","2,081","1,102"
2021년05월_계_40~49세,"21,856",566,320,305,340,783,232,153,163,253,170,143,111,116,123,622,695,"3,516","1,362","1,834",891,832,"3,727","2,580","2,019"
2021년05월_계_50~59세,"25,943","1,080",661,529,589,920,428,266,419,506,512,279,344,282,273,792,926,"3,466","1,429","2,198","1,025","1,152","3,507","2,736","1,624"
2021년05월_계_60~69세,"26,395","1,455",934,687,886,"1,029",630,409,513,719,713,492,507,429,483,917,860,"2,858","1,509","2,246","1,177","1,185","2,711","2,083",963
2021년05월_계_70~79세,"16,493","1,101",721,531,530,737,542,345,318,471,540,338,345,339,342,718,554,"1,618",995,"1,415",705,641,"1,247",888,512
2021년05월_계_80~89세,"9,949",780,563,432,385,483,397,289,234,329,381,244,260,216,255,336,281,868,552,659,343,241,666,499,256
2021년05월_계_90~99세,"1,481",126,83,63,80,80,58,45,41,64,44,23,25,34,33,65,37,120,68,80,54,38,95,84,41
2021년05월_계_100세 이상,49,8,4,1,0,5,3,0,0,2,1,3,1,0,0,1,0,1,3,5,1,1,4,3,2
2021년05월_남_총인구수,"78,167","3,220","2,097","1,565","1,853","3,511","1,316",871,"1,086","1,479","1,374",901,961,845,904,"2,516","2,381","11,027","4,368","6,544","3,041","3,074","10,264","7,835","5,134"
2021년05월_남_연령구간인구수,"78,167","3,220","2,097","1,565","1,853","3,511","1,316",871,"1,086","1,479","1,374",901,961,845,904,"2,516","2,381","11,027","4,368","6,544","3,041","3,074","10,264","7,835","5,134"
2021년05월_남_0~9세,"5,430",102,53,36,40,227,25,15,27,29,15,20,27,13,20,125,160,969,342,448,182,177,"1,006",804,568
2021년05월_남_10~19세,"7,054",149,114,51,74,191,76,34,39,55,38,24,35,25,29,191,192,"1,230",443,500,277,284,"1,315",892,796
2021년05월_남_20~29세,"9,077",256,160,92,170,501,86,47,98,104,73,41,55,42,37,345,264,"1,683",459,774,348,365,"1,393","1,030",654
2021년05월_남_30~39세,"7,955",211,118,97,126,584,62,56,80,84,68,35,45,43,47,246,209,"1,287",388,812,315,301,"1,176","1,048",517
2021년05월_남_40~49세,"11,336",344,196,199,218,445,140,98,108,170,125,95,71,81,82,345,362,"1,748",683,978,453,419,"1,784","1,246",946
2021년05월_남_50~59세,"13,342",599,378,319,341,522,248,146,228,302,298,175,182,165,158,410,468,"1,761",725,"1,087",487,561,"1,650","1,285",847
2021년05월_남_60~69세,"12,808",731,506,357,469,506,301,221,263,392,394,272,274,217,271,403,395,"1,341",666,"1,037",513,550,"1,244","1,015",470
2021년05월_남_70~79세,"7,393",519,338,248,254,344,242,152,154,216,222,150,169,169,165,313,235,693,443,638,324,310,490,360,245
2021년05월_남_80~89세,"3,448",270,211,155,144,166,128,100,79,111,132,81,96,79,84,127,87,293,199,255,134,97,193,143,84
2021년05월_남_90~99세,314,36,23,11,17,22,8,2,10,16,9,8,7,11,11,10,9,21,20,14,8,10,12,12,7
2021년05월_남_100세 이상,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2021년05월_여_총인구수,"79,715","3,159","1,954","1,413","1,649","3,372","1,396",875,"1,021","1,343","1,340",828,894,774,830,"2,638","2,612","11,138","4,688","6,604","3,247","3,127","11,260","8,290","5,263"
2021년05월_여_연령구간인구수,"79,715","3,159","1,954","1,413","1,649","3,372","1,396",875,"1,021","1,343","1,340",828,894,774,830,"2,638","2,612","11,138","4,688","6,604","3,247","3,127","11,260","8,290","5,263"
2021년05월_여_0~9세,"4,941",88,41,26,42,212,20,11,28,29,27,10,20,9,11,100,139,899,284,448,187,157,925,705,523
2021년05월_여_10~19세,"6,469",118,75,32,50,186,48,23,42,53,37,26,15,22,32,166,218,"1,103",435,439,248,265,"1,280",846,710
2021년05월_여_20~29세,"7,469",183,122,47,112,467,58,34,51,69,50,27,31,28,26,275,243,"1,313",387,596,280,304,"1,245",894,627
2021년05월_여_30~39세,"7,321",156,82,49,78,478,47,19,54,55,45,24,34,21,23,255,215,"1,234",400,694,255,258,"1,227","1,033",585
