,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년03월_계_총인구수,"221,685","20,243","28,293","28,623","70,255","19,341","21,905","8,319","7,701","4,157","3,114","7,935","1,799"
2021년03월_계_연령구간인구수,"221,685","20,243","28,293","28,623","70,255","19,341","21,905","8,319","7,701","4,157","3,114","7,935","1,799"
2021년03월_계_0~9세,"17,403","1,478","2,381","2,556","6,498","1,759","1,501",459,290,131,46,259,45
2021년03월_계_10~19세,"22,222","1,624","2,756","3,253","9,864","1,559","1,495",514,380,188,110,412,67
2021년03월_계_20~29세,"26,284","2,506","3,448","3,296","9,209","2,257","2,740",735,813,282,170,715,113
2021년03월_계_30~39세,"25,417","2,762","3,187","3,473","7,542","2,870","2,967",853,634,276,207,537,109
2021년03월_계_40~49세,"36,827","3,691","4,512","5,332","13,539","2,931","3,169","1,169",777,416,241,901,149
2021년03월_계_50~59세,"41,807","3,989","5,243","5,170","12,927","3,493","4,287","1,573","1,652",888,542,"1,680",363
2021년03월_계_60~69세,"30,348","2,550","3,987","3,314","6,844","2,718","3,375","1,654","1,682","1,073",831,"1,848",472
2021년03월_계_70~79세,"13,827","1,114","1,774","1,437","2,592","1,154","1,589",906,920,537,553,975,276
2021년03월_계_80~89세,"6,524",459,866,690,"1,096",510,660,402,479,308,355,520,179
2021년03월_계_90~99세,"1,004",65,132,101,143,89,121,54,73,56,59,86,25
2021년03월_계_100세 이상,22,5,7,1,1,1,1,0,1,2,0,2,1
2021년03월_남_총인구수,"114,503","11,600","14,172","14,931","35,367","9,998","11,255","4,499","4,000","2,158","1,548","4,032",943
2021년03월_남_연령구간인구수,"114,503","11,600","14,172","14,931","35,367","9,998","11,255","4,499","4,000","2,158","1,548","4,032",943
2021년03월_남_0~9세,"8,959",779,"1,180","1,322","3,341",897,795,244,152,65,23,141,20
2021년03월_남_10~19세,"11,540",858,"1,408","1,670","5,149",779,772,277,215,101,54,222,35
2021년03월_남_20~29세,"14,979","1,562","1,947","1,842","5,121","1,233","1,582",451,489,165,98,421,68
2021년03월_남_30~39세,"13,558","1,735","1,652","1,841","3,668","1,577","1,619",458,347,161,120,316,64
2021년03월_남_40~49세,"18,820","2,257","2,221","2,778","6,292","1,507","1,648",736,438,241,140,467,95
2021년03월_남_50~59세,"22,129","2,384","2,642","2,825","6,651","1,854","2,153",913,864,485,301,850,207
2021년03월_남_60~69세,"15,721","1,365","1,992","1,757","3,561","1,428","1,686",840,893,569,431,946,253
2021년03월_남_70~79세,"6,530",509,839,669,"1,221",540,756,418,430,268,256,492,132
2021년03월_남_80~89세,"2,081",143,266,207,336,168,222,153,152,95,115,159,65
2021년03월_남_90~99세,184,6,25,20,27,15,22,9,20,8,10,18,4
2021년03월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"107,182","8,643","14,121","13,692","34,888","9,343","10,650","3,820","3,701","1,999","1,566","3,903",856
2021년03월_여_연령구간인구수,"107,182","8,643","14,121","13,692","34,888","9,343","10,650","3,820","3,701","1,999","1,566","3,903",856
2021년03월_여_0~9세,"8,444",699,"1,201","1,234","3,157",862,706,215,138,66,23,118,25
2021년03월_여_10~19세,"10,682",766,"1,348","1,583","4,715",780,723,237,165,87,56,190,32
2021년03월_여_20~29세,"11,305",944,"1,501","1,454","4,088","1,024","1,158",284,324,117,72,294,45
2021년03월_여_30~39세,"11,859","1,027","1,535","1,632","3,874","1,293","1,348",395,287,115,87,221,45
2021년03월_여_40~49세,"18,007","1,434","2,291","2,554","7,247","1,424","1,521",433,339,175,101,434,54
2021년03월_여_50~59세,"19,678","1,605","2,601","2,345","6,276","1,639","2,134",660,788,403,241,830,156
2021년03월_여_60~69세,"14,627","1,185","1,995","1,557","3,283","1,290","1,689",814,789,504,400,902,219
2021년03월_여_70~79세,"7,297",605,935,768,"1,371",614,833,488,490,269,297,483,144
2021년03월_여_80~89세,"4,443",316,600,483,760,342,438,249,327,213,240,361,114
2021년03월_여_90~99세,820,59,107,81,116,74,99,45,53,48,49,68,21
2021년03월_여_100세 이상,20,3,7,1,1,1,1,0,1,2,0,2,1
