카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년02월_계_총인구수,"136,879","6,523","5,243","13,415","4,160","3,533","6,051","2,960","4,618","15,368","41,466","29,324","4,218"
2020년02월_계_연령구간인구수,"136,879","6,523","5,243","13,415","4,160","3,533","6,051","2,960","4,618","15,368","41,466","29,324","4,218"
2020년02월_계_0~9세,"12,223",266,256,943,158,143,208,91,221,971,"7,064","1,809",93
2020년02월_계_10~19세,"12,449",397,361,"1,147",322,221,319,167,351,"1,224","4,464","3,350",126
2020년02월_계_20~29세,"19,008",682,538,"1,627",433,406,648,315,536,"2,164","3,773","7,590",296
2020년02월_계_30~39세,"20,963",670,516,"1,696",428,337,699,262,465,"2,251","8,871","4,455",313
2020년02월_계_40~49세,"24,212",926,844,"2,084",608,508,800,400,643,"2,519","8,835","5,504",541
2020년02월_계_50~59세,"19,746","1,353",910,"2,292",748,671,"1,151",552,862,"2,648","4,179","3,423",957
2020년02월_계_60~69세,"15,096","1,235",827,"1,920",723,619,"1,092",553,770,"2,133","2,573","1,603","1,048"
2020년02월_계_70~79세,"9,004",654,622,"1,159",516,431,717,413,522,966,"1,259","1,147",598
2020년02월_계_80~89세,"3,510",278,302,463,187,159,337,171,202,406,398,404,203
2020년02월_계_90~99세,593,58,61,79,34,32,69,27,34,75,48,37,39
2020년02월_계_100세 이상,75,4,6,5,3,6,11,9,12,11,2,2,4
2020년02월_남_총인구수,"70,837","3,533","2,648","6,804","2,118","1,816","3,198","1,525","2,299","8,519","20,761","15,250","2,366"
2020년02월_남_연령구간인구수,"70,837","3,533","2,648","6,804","2,118","1,816","3,198","1,525","2,299","8,519","20,761","15,250","2,366"
2020년02월_남_0~9세,"6,311",144,142,477,72,84,93,60,116,499,"3,650",936,38
2020년02월_남_10~19세,"6,445",187,184,601,183,106,171,83,173,647,"2,270","1,774",66
2020년02월_남_20~29세,"9,633",401,294,844,239,221,361,183,293,"1,256","1,802","3,548",191
2020년02월_남_30~39세,"11,285",393,270,906,238,188,418,152,262,"1,331","4,279","2,651",197
2020년02월_남_40~49세,"13,296",555,467,"1,098",336,283,477,216,355,"1,494","4,712","2,936",367
2020년02월_남_50~59세,"10,816",783,493,"1,215",396,378,669,313,452,"1,489","2,127","1,946",555
2020년02월_남_60~69세,"7,457",640,386,963,344,303,548,266,350,"1,163","1,154",784,556
2020년02월_남_70~79세,"4,165",314,284,510,232,193,331,177,221,476,613,499,315
2020년02월_남_80~89세,"1,253",99,109,171,65,54,109,61,61,145,141,165,73
2020년02월_남_90~99세,149,16,16,17,13,5,18,12,9,14,12,9,8
2020년02월_남_100세 이상,27,1,3,2,0,1,3,2,7,5,1,2,0
2020년02월_여_총인구수,"66,042","2,990","2,595","6,611","2,042","1,717","2,853","1,435","2,319","6,849","20,705","14,074","1,852"
2020년02월_여_연령구간인구수,"66,042","2,990","2,595","6,611","2,042","1,717","2,853","1,435","2,319","6,849","20,705","14,074","1,852"
2020년02월_여_0~9세,"5,912",122,114,466,86,59,115,31,105,472,"3,414",873,55
2020년02월_여_10~19세,"6,004",210,177,546,139,115,148,84,178,577,"2,194","1,576",60
2020년02월_여_20~29세,"9,375",281,244,783,194,185,287,132,243,908,"1,971","4,042",105
2020년02월_여_30~39세,"9,678",277,246,790,190,149,281,110,203,920,"4,592","1,804",116
2020년02월_여_40~49세,"10,916",371,377,986,272,225,323,184,288,"1,025","4,123","2,568",174
2020년02월_여_50~59세,"8,930",570,417,"1,077",352,293,482,239,410,"1,159","2,052","1,477",402
2020년02월_여_60~69세,"7,639",595,441,957,379,316,544,287,420,970,"1,419",819,492
2020년02월_여_70~79세,"4,839",340,338,649,284,238,386,236,301,490,646,648,283
2020년02월_여_80~89세,"2,257",179,193,292,122,105,228,110,141,261,257,239,130
2020년02월_여_90~99세,444,42,45,62,21,27,51,15,25,61,36,28,31
2020년02월_여_100세 이상,48,3,3,3,3,5,8,7,5,6,1,0,4
