,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년06월_계_총인구수,"216,256","7,473","7,175","9,297","14,427","29,457","5,520","7,759","9,018","6,697","12,750","6,224","19,802","8,509","46,768","19,695","5,685"
2020년06월_계_연령구간인구수,"216,256","7,473","7,175","9,297","14,427","29,457","5,520","7,759","9,018","6,697","12,750","6,224","19,802","8,509","46,768","19,695","5,685"
2020년06월_계_0~9세,"17,793",546,569,523,954,"2,961",310,408,380,265,"1,097",422,"1,447",519,"4,101","2,994",297
2020년06월_계_10~19세,"23,152",752,690,789,"1,413","4,994",291,448,655,384,"1,170",421,"2,081",641,"6,077","1,991",355
2020년06월_계_20~29세,"28,263",869,894,"1,268","2,030","3,447",670,903,"1,258",971,"1,559",937,"2,843","1,159","6,645","2,306",504
2020년06월_계_30~39세,"26,338",725,919,972,"1,671","3,014",686,859,"1,087",767,"1,636",865,"2,317",954,"5,609","3,828",429
2020년06월_계_40~49세,"34,293","1,122","1,152","1,277","2,257","5,630",754,"1,031","1,234",857,"1,936",861,"3,114","1,166","7,876","3,314",712
2020년06월_계_50~59세,"33,464","1,163","1,031","1,551","2,312","4,364",929,"1,292","1,589","1,268","1,926",910,"3,340","1,497","6,897","2,473",922
2020년06월_계_60~69세,"27,487","1,026",930,"1,391","1,917","2,847",850,"1,237","1,495","1,178","1,802",889,"2,591","1,382","5,179","1,698","1,075"
2020년06월_계_70~79세,"17,188",859,702,"1,025","1,177","1,408",723,"1,088",938,714,"1,094",632,"1,477",853,"2,980",711,807
2020년06월_계_80~89세,"7,098",350,249,427,596,668,264,421,337,252,456,247,513,293,"1,216",306,503
2020년06월_계_90~99세,"1,084",53,32,65,97,120,29,66,44,36,71,31,74,40,180,71,75
2020년06월_계_100세 이상,96,8,7,9,3,4,14,6,1,5,3,9,5,5,8,3,6
2020년06월_남_총인구수,"104,128","3,439","3,443","4,409","6,796","13,826","2,824","3,951","4,606","3,357","6,029","3,063","9,638","4,244","22,117","9,588","2,798"
2020년06월_남_연령구간인구수,"104,128","3,439","3,443","4,409","6,796","13,826","2,824","3,951","4,606","3,357","6,029","3,063","9,638","4,244","22,117","9,588","2,798"
2020년06월_남_0~9세,"9,093",284,304,269,507,"1,443",148,200,202,131,563,223,752,262,"2,083","1,568",154
2020년06월_남_10~19세,"11,680",369,337,410,721,"2,567",162,238,350,202,564,205,"1,077",333,"2,964","1,011",170
2020년06월_남_20~29세,"14,509",440,463,658,"1,044","1,765",347,507,677,525,802,431,"1,463",626,"3,290","1,174",297
2020년06월_남_30~39세,"13,078",350,450,499,822,"1,346",376,466,617,439,805,445,"1,179",525,"2,659","1,868",232
2020년06월_남_40~49세,"16,823",546,574,637,"1,076","2,516",441,609,697,473,935,496,"1,506",583,"3,702","1,626",406
2020년06월_남_50~59세,"15,821",525,493,715,"1,047","2,010",498,694,787,604,894,449,"1,578",710,"3,183","1,147",487
2020년06월_남_60~69세,"12,605",420,410,600,864,"1,307",406,580,701,561,794,400,"1,216",665,"2,362",770,549
2020년06월_남_70~79세,"7,703",352,303,454,493,608,329,495,445,332,472,298,663,409,"1,378",328,344
2020년06월_남_80~89세,"2,559",131,97,154,202,236,107,149,117,83,178,103,194,119,452,88,149
2020년06월_남_90~99세,245,21,10,13,19,27,7,13,13,6,22,11,10,12,44,8,9
2020년06월_남_100세 이상,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년06월_여_총인구수,"112,128","4,034","3,732","4,888","7,631","15,631","2,696","3,808","4,412","3,340","6,721","3,161","10,164","4,265","24,651","10,107","2,887"
2020년06월_여_연령구간인구수,"112,128","4,034","3,732","4,888","7,631","15,631","2,696","3,808","4,412","3,340","6,721","3,161","10,164","4,265","24,651","10,107","2,887"
2020년06월_여_0~9세,"8,700",262,265,254,447,"1,518",162,208,178,134,534,199,695,257,"2,018","1,426",143
2020년06월_여_10~19세,"11,472",383,353,379,692,"2,427",129,210,305,182,606,216,"1,004",308,"3,113",980,185
2020년06월_여_20~29세,"13,754",429,431,610,986,"1,682",323,396,581,446,757,506,"1,380",533,"3,355","1,132",207
2020년06월_여_30~39세,"13,260",375,469,473,849,"1,668",310,393,470,328,831,420,"1,138",429,"2,950","1,960",197
2020년06월_여_40~49세,"17,470",576,578,640,"1,181","3,114",313,422,537,384,"1,001",365,"1,608",583,"4,174","1,688",306
2020년06월_여_50~59세,"17,643",638,538,836,"1,265","2,354",431,598,802,664,"1,032",461,"1,762",787,"3,714","1,326",435
2020년06월_여_60~69세,"14,882",606,520,791,"1,053","1,540",444,657,794,617,"1,008",489,"1,375",717,"2,817",928,526
2020년06월_여_70~79세,"9,485",507,399,571,684,800,394,593,493,382,622,334,814,444,"1,602",383,463
2020년06월_여_80~89세,"4,539",219,152,273,394,432,157,272,220,169,278,144,319,174,764,218,354
2020년06월_여_90~99세,839,32,22,52,78,93,22,53,31,30,49,20,64,28,136,63,66
2020년06월_여_100세 이상,84,7,5,9,2,3,11,6,1,4,3,7,5,5,8,3,5
