,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년10월_계_총인구수,"1,185,276","273,854","23,403","42,647","29,044","34,913","41,640","19,966","19,423","28,237","18,618","15,963","364,416","10,128","23,611","18,788","40,409","38,043","24,287","45,525","46,264","24,773","48,692","27,315","16,581","182,600","5,891","10,372","19,945","22,577","25,773","10,753","20,069","16,945","39,721","10,554","364,406","17,737","14,816","36,107","21,521","38,904","34,952","26,299","32,646","31,180","27,912","53,013","29,319"
2021년10월_계_연령구간인구수,"1,185,276","273,854","23,403","42,647","29,044","34,913","41,640","19,966","19,423","28,237","18,618","15,963","364,416","10,128","23,611","18,788","40,409","38,043","24,287","45,525","46,264","24,773","48,692","27,315","16,581","182,600","5,891","10,372","19,945","22,577","25,773","10,753","20,069","16,945","39,721","10,554","364,406","17,737","14,816","36,107","21,521","38,904","34,952","26,299","32,646","31,180","27,912","53,013","29,319"
2021년10월_계_0~9세,"92,127","17,640","1,228","2,870","2,303","2,802","3,275",797,"1,053","1,370","1,304",638,"30,202",826,"1,068",841,"2,980","2,246","1,298","4,612","6,670","1,209","5,311","1,553","1,588","10,111",227,413,"1,670","1,403","1,825",385,811,"1,091","2,017",269,"34,174","1,067",829,"2,657","1,209","4,161","3,291","2,424","2,429","3,324","4,200","5,279","3,304"
2021년10월_계_10~19세,"115,812","27,926","1,808","4,105","3,354","3,589","6,649","1,152","1,671","2,634","1,976",988,"32,638",585,"1,567","1,435","3,434","3,063","1,946","4,953","4,756","1,650","5,359","2,130","1,760","13,786",315,452,"1,334","2,057","2,748",647,"1,298","1,708","2,794",433,"41,462","1,764","1,443","4,275","2,142","3,717","4,660","2,113","4,196","3,975","3,263","6,806","3,108"
2021년10월_계_20~29세,"185,274","43,708","3,356","10,243","3,969","4,893","6,169","2,615","2,906","4,218","2,762","2,577","53,085","1,482","3,561","2,619","6,094","5,866","3,841","6,083","4,876","5,034","6,410","5,227","1,992","30,448",857,"1,753","2,809","3,159","3,942","1,328","3,215","3,605","8,287","1,493","58,033","2,989","2,429","6,450","3,661","6,512","4,798","5,368","6,619","4,457","3,200","8,413","3,137"
2021년10월_계_30~39세,"177,449","32,959","2,949","5,694","3,330","4,756","4,298","2,380","2,571","3,224","1,949","1,808","56,604","1,646","3,566","2,461","5,719","5,391","3,185","6,469","8,603","4,553","7,640","5,227","2,144","26,943",941,"1,609","3,464","2,552","3,388","1,100","2,853","2,210","7,471","1,355","60,943","2,325","1,896","5,484","3,142","7,035","5,303","6,676","4,306","4,858","5,258","9,452","5,208"
2021년10월_계_40~49세,"199,605","44,260","3,560","6,226","5,170","5,935","8,464","2,830","3,002","4,247","2,767","2,059","60,575","1,462","3,633","2,982","5,933","5,920","3,530","8,091","8,680","3,592","8,877","4,804","3,071","27,612",833,"1,448","2,972","3,623","4,146","1,513","2,830","2,622","6,279","1,346","67,158","2,793","2,307","6,640","3,552","7,315","6,758","4,206","5,878","5,741","5,736","10,517","5,715"
2021년10월_계_50~59세,"197,033","49,118","4,360","6,680","5,326","5,957","7,539","3,863","3,599","5,361","3,734","2,699","61,445","1,803","4,176","3,315","7,454","6,721","4,711","7,592","6,100","4,118","7,849","4,681","2,925","31,130","1,059","1,861","3,192","4,001","4,972","1,981","3,603","2,672","5,804","1,985","55,340","3,276","2,729","5,716","3,751","4,855","5,776","3,220","5,446","5,134","3,685","7,488","4,264"
2021년10월_계_60~69세,"130,422","33,208","3,544","4,072","3,239","3,822","3,092","3,684","2,736","4,022","2,293","2,704","43,102","1,342","3,561","2,971","5,409","5,289","3,567","4,628","4,136","2,953","4,906","2,398","1,942","24,473",926,"1,654","2,575","3,250","2,831","2,060","3,079","1,824","4,281","1,993","29,639","2,183","1,909","2,998","2,482","3,294","2,653","1,362","2,428","2,439","1,734","3,303","2,854"
2021년10월_계_70~79세,"56,819","15,766","1,668","1,699","1,467","2,027","1,321","1,798","1,235","1,992","1,016","1,543","17,596",650,"1,638","1,470","2,189","2,418","1,420","1,979","1,615","1,113","1,548",783,773,"12,010",473,779,"1,358","1,706","1,191","1,157","1,613",776,"1,839","1,118","11,447",918,832,"1,204","1,021","1,333","1,051",575,804,807,546,"1,188","1,168"
