,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년11월_계_총인구수,"16,677","7,299","2,142","1,732","1,765","1,691","2,048"
2020년11월_계_연령구간인구수,"16,677","7,299","2,142","1,732","1,765","1,691","2,048"
2020년11월_계_0~9세,734,445,76,56,41,53,63
2020년11월_계_10~19세,943,558,80,56,82,91,76
2020년11월_계_20~29세,"1,132",648,98,74,107,91,114
2020년11월_계_30~39세,"1,039",640,113,63,67,66,90
2020년11월_계_40~49세,"1,722",952,172,124,140,166,168
2020년11월_계_50~59세,"3,001","1,248",389,295,346,323,400
2020년11월_계_60~69세,"3,433","1,285",502,422,384,374,466
2020년11월_계_70~79세,"2,692",896,416,376,310,295,399
2020년11월_계_80~89세,"1,703",520,258,232,259,194,240
2020년11월_계_90~99세,251,99,36,30,27,32,27
2020년11월_계_100세 이상,27,8,2,4,2,6,5
2020년11월_남_총인구수,"8,246","3,588","1,037",877,872,848,"1,024"
2020년11월_남_연령구간인구수,"8,246","3,588","1,037",877,872,848,"1,024"
2020년11월_남_0~9세,391,245,37,31,19,33,26
2020년11월_남_10~19세,486,280,47,29,42,45,43
2020년11월_남_20~29세,660,369,57,41,63,58,72
2020년11월_남_30~39세,560,335,61,41,40,37,46
2020년11월_남_40~49세,"1,016",527,117,84,80,104,104
2020년11월_남_50~59세,"1,639",649,210,181,194,179,226
2020년11월_남_60~69세,"1,706",624,240,202,199,191,250
2020년11월_남_70~79세,"1,169",376,176,192,136,120,169
2020년11월_남_80~89세,553,163,82,68,90,68,82
2020년11월_남_90~99세,60,18,8,7,9,12,6
2020년11월_남_100세 이상,6,2,2,1,0,1,0
2020년11월_여_총인구수,"8,431","3,711","1,105",855,893,843,"1,024"
2020년11월_여_연령구간인구수,"8,431","3,711","1,105",855,893,843,"1,024"
2020년11월_여_0~9세,343,200,39,25,22,20,37
2020년11월_여_10~19세,457,278,33,27,40,46,33
2020년11월_여_20~29세,472,279,41,33,44,33,42
2020년11월_여_30~39세,479,305,52,22,27,29,44
2020년11월_여_40~49세,706,425,55,40,60,62,64
2020년11월_여_50~59세,"1,362",599,179,114,152,144,174
2020년11월_여_60~69세,"1,727",661,262,220,185,183,216
2020년11월_여_70~79세,"1,523",520,240,184,174,175,230
2020년11월_여_80~89세,"1,150",357,176,164,169,126,158
2020년11월_여_90~99세,191,81,28,23,18,20,21
2020년11월_여_100세 이상,21,6,0,3,2,5,5
