,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년08월_계_총인구수,"2,640,932","503,883","231,180","272,703","253,460","140,511","158,867","416,551","103,652","101,523","97,875","71,258","262,300","23,409","51,940","25,122","16,680","36,591","42,480","31,477","43,319","114,889","55,457","31,701","48,776","9,211"
2020년08월_계_연령구간인구수,"2,640,932","503,883","231,180","272,703","253,460","140,511","158,867","416,551","103,652","101,523","97,875","71,258","262,300","23,409","51,940","25,122","16,680","36,591","42,480","31,477","43,319","114,889","55,457","31,701","48,776","9,211"
2020년08월_계_0~9세,"193,259","40,509","17,863","22,646","16,490","10,624","10,861","42,112","6,258","5,811","5,286","4,084","20,881",712,"1,984",994,744,"1,738","1,550","1,449","1,946","9,772","4,643","1,447","2,947",417
2020년08월_계_10~19세,"227,836","47,036","21,346","25,690","21,115","12,126","13,797","45,393","9,005","6,655","7,747","5,690","22,806",993,"2,343","1,243",948,"2,117","2,303","2,097","2,316","11,569","4,366","1,881","3,818",472
2020년08월_계_20~29세,"284,298","56,701","26,404","30,297","26,944","14,724","16,612","56,681","9,727","10,155","8,265","6,105","35,743","1,535","3,176","1,743","1,147","2,495","2,888","2,521","3,534","12,162","4,069","2,045","4,495",831
2020년08월_계_30~39세,"295,559","60,622","27,484","33,138","25,788","15,382","15,659","66,411","8,671","9,426","7,603","5,825","33,393","1,383","3,299","1,727","1,050","2,510","2,887","2,344","3,306","15,450","5,542","2,007","4,358",916
2020년08월_계_40~49세,"385,603","77,512","35,789","41,723","37,012","19,466","22,490","73,284","14,074","12,843","11,686","8,813","41,539","2,206","4,767","2,422","1,744","3,969","4,475","3,924","4,795","20,578","7,086","3,287","6,315","1,316"
2020년08월_계_50~59세,"460,960","90,758","41,764","48,994","46,855","23,955","26,658","69,490","18,161","18,282","16,974","12,057","44,605","4,351","8,864","4,766","2,990","6,243","7,458","5,939","8,572","19,468","8,087","5,865","8,679","1,883"
2020년08월_계_60~69세,"399,790","76,887","35,968","40,919","40,225","21,542","25,044","38,131","18,029","18,224","17,989","13,160","33,954","5,254","11,577","5,415","3,373","7,304","9,497","6,143","9,085","13,293","9,186","6,702","8,019","1,757"
2020년08월_계_70~79세,"241,185","36,570","17,045","19,525","24,426","13,477","16,715","15,939","11,945","12,445","12,732","9,314","19,177","4,064","9,046","4,066","2,712","5,965","6,589","4,111","5,816","7,617","6,928","4,757","5,736","1,038"
2020년08월_계_80~89세,"133,193","15,094","6,612","8,482","12,814","8,011","9,544","7,936","6,749","6,860","8,289","5,362","9,094","2,577","6,053","2,425","1,705","3,723","4,222","2,628","3,446","4,327","4,871","3,196","3,774",493
2020년08월_계_90~99세,"18,280","2,088",850,"1,238","1,698","1,150","1,425","1,122",974,780,"1,246",793,"1,040",319,785,300,241,500,592,312,476,613,646,485,618,77
2020년08월_계_100세 이상,969,106,55,51,93,54,62,52,59,42,58,55,68,15,46,21,26,27,19,9,27,40,33,29,17,11
2020년08월_남_총인구수,"1,329,919","254,726","119,132","135,594","126,913","70,498","78,653","213,796","51,379","51,571","48,001","34,890","132,072","11,945","25,384","12,558","8,244","17,334","20,863","16,110","22,416","59,903","27,288","15,958","24,399","5,018"
2020년08월_남_연령구간인구수,"1,329,919","254,726","119,132","135,594","126,913","70,498","78,653","213,796","51,379","51,571","48,001","34,890","132,072","11,945","25,384","12,558","8,244","17,334","20,863","16,110","22,416","59,903","27,288","15,958","24,399","5,018"
2020년08월_남_0~9세,"99,661","21,004","9,263","11,741","8,437","5,489","5,708","21,760","3,221","2,932","2,744","2,129","10,653",381,"1,044",514,392,859,795,735,983,"5,045","2,373",750,"1,499",214
2020년08월_남_10~19세,"119,857","24,703","11,240","13,463","11,050","6,535","7,226","23,694","4,713","3,565","4,078","3,069","11,849",544,"1,225",661,487,"1,093","1,179","1,121","1,309","6,109","2,331","1,008","2,072",236
2020년08월_남_20~29세,"160,646","32,470","15,532","16,938","15,225","8,303","9,098","31,301","5,710","6,002","4,791","3,433","19,649",920,"1,828","1,059",664,"1,439","1,725","1,462","2,079","6,852","2,295","1,197","2,649",495
2020년08월_남_30~39세,"157,580","31,972","14,782","17,190","13,752","8,114","8,107","35,356","4,639","5,165","4,115","3,093","17,885",785,"1,828","1,017",565,"1,288","1,532","1,289","1,816","8,463","2,788","1,090","2,376",545
2020년08월_남_40~49세,"201,388","38,919","18,466","20,453","19,345","10,264","11,716","37,028","7,284","7,054","6,221","4,727","21,258","1,300","2,802","1,402","1,034","2,225","2,510","2,205","2,877","11,125","3,887","1,922","3,468",815
2020년08월_남_50~59세,"238,222","45,558","21,658","23,900","24,143","12,498","13,591","35,503","9,255","9,755","8,908","6,217","22,432","2,454","4,792","2,515","1,622","3,290","3,928","3,338","4,696","10,562","4,238","3,164","4,682","1,081"
2020년08월_남_60~69세,"198,052","37,756","17,817","19,939","19,780","10,562","12,142","19,487","8,633","9,104","8,804","6,337","16,569","2,749","5,781","2,700","1,683","3,491","4,760","3,203","4,743","6,888","4,537","3,476","3,933",934
2020년08월_남_70~79세,"106,928","17,046","8,103","8,943","10,804","5,831","7,462","6,990","5,337","5,545","5,465","4,024","8,422","1,865","3,915","1,770","1,172","2,375","2,982","1,813","2,675","3,284","3,077","2,123","2,475",476
2020년08월_남_80~89세,"43,636","4,892","2,117","2,775","4,023","2,650","3,278","2,463","2,367","2,242","2,623","1,691","3,113",882,"1,987",853,558,"1,173","1,329",868,"1,123","1,426","1,642","1,109","1,148",196
2020년08월_남_90~99세,"3,741",377,137,240,332,242,309,207,207,194,242,155,230,64,174,62,61,94,122,72,109,142,116,114,95,21
2020년08월_남_100세 이상,208,29,17,12,22,10,16,7,13,13,10,15,12,1,8,5,6,7,1,4,6,7,4,5,2,5
2020년08월_여_총인구수,"1,311,013","249,157","112,048","137,109","126,547","70,013","80,214","202,755","52,273","49,952","49,874","36,368","130,228","11,464","26,556","12,564","8,436","19,257","21,617","15,367","20,903","54,986","28,169","15,743","24,377","4,193"
