,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년03월_계_총인구수,"43,063","7,827","19,153","3,167","3,862","2,615","1,770","1,015","2,728",197,729
2021년03월_계_연령구간인구수,"43,063","7,827","19,153","3,167","3,862","2,615","1,770","1,015","2,728",197,729
2021년03월_계_0~9세,"2,655",676,"1,520",90,123,82,49,25,60,7,23
2021년03월_계_10~19세,"3,123",447,"1,919",169,182,143,66,47,106,9,35
2021년03월_계_20~29세,"5,325","1,234","2,422",332,457,235,137,77,325,48,58
2021년03월_계_30~39세,"4,176","1,019","2,158",185,254,172,126,66,144,11,41
2021년03월_계_40~49세,"4,863",802,"2,620",279,398,243,130,75,238,17,61
2021년03월_계_50~59세,"6,998","1,044","3,159",566,679,491,330,159,406,32,132
2021년03월_계_60~69세,"7,657","1,137","2,794",706,861,577,487,237,655,34,169
2021년03월_계_70~79세,"5,011",867,"1,541",500,551,420,259,218,501,26,128
2021년03월_계_80~89세,"2,828",513,859,308,313,234,161,99,259,12,70
2021년03월_계_90~99세,404,84,154,29,41,17,23,11,32,1,12
2021년03월_계_100세 이상,23,4,7,3,3,1,2,1,2,0,0
2021년03월_남_총인구수,"22,577","4,244","9,731","1,691","2,059","1,407",952,544,"1,461",119,369
2021년03월_남_연령구간인구수,"22,577","4,244","9,731","1,691","2,059","1,407",952,544,"1,461",119,369
2021년03월_남_0~9세,"1,349",335,782,48,53,40,27,15,30,4,15
2021년03월_남_10~19세,"1,655",250,981,92,109,85,38,30,48,4,18
2021년03월_남_20~29세,"3,377",854,"1,357",231,325,147,88,48,250,41,36
2021년03월_남_30~39세,"2,385",608,"1,170",109,161,107,73,39,89,7,22
2021년03월_남_40~49세,"2,669",456,"1,334",171,239,140,80,50,148,9,42
2021년03월_남_50~59세,"3,762",586,"1,646",309,370,275,177,89,229,18,63
2021년03월_남_60~69세,"3,973",572,"1,426",388,443,306,278,125,332,18,85
2021년03월_남_70~79세,"2,281",373,710,226,238,201,116,104,238,14,61
2021년03월_남_80~89세,"1,007",183,279,108,109,100,67,42,88,4,27
2021년03월_남_90~99세,112,27,43,8,12,6,7,1,8,0,0
2021년03월_남_100세 이상,7,0,3,1,0,0,1,1,1,0,0
2021년03월_여_총인구수,"20,486","3,583","9,422","1,476","1,803","1,208",818,471,"1,267",78,360
2021년03월_여_연령구간인구수,"20,486","3,583","9,422","1,476","1,803","1,208",818,471,"1,267",78,360
2021년03월_여_0~9세,"1,306",341,738,42,70,42,22,10,30,3,8
2021년03월_여_10~19세,"1,468",197,938,77,73,58,28,17,58,5,17
2021년03월_여_20~29세,"1,948",380,"1,065",101,132,88,49,29,75,7,22
2021년03월_여_30~39세,"1,791",411,988,76,93,65,53,27,55,4,19
2021년03월_여_40~49세,"2,194",346,"1,286",108,159,103,50,25,90,8,19
2021년03월_여_50~59세,"3,236",458,"1,513",257,309,216,153,70,177,14,69
2021년03월_여_60~69세,"3,684",565,"1,368",318,418,271,209,112,323,16,84
2021년03월_여_70~79세,"2,730",494,831,274,313,219,143,114,263,12,67
2021년03월_여_80~89세,"1,821",330,580,200,204,134,94,57,171,8,43
2021년03월_여_90~99세,292,57,111,21,29,11,16,10,24,1,12
2021년03월_여_100세 이상,16,4,4,2,3,1,1,0,1,0,0
