,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년07월_계_총인구수,"36,666","11,161","6,301","2,392","1,152","1,485",539,943,"1,760","6,450","2,791","1,692"
2020년07월_계_연령구간인구수,"36,666","11,161","6,301","2,392","1,152","1,485",539,943,"1,760","6,450","2,791","1,692"
2020년07월_계_0~9세,"1,757",851,242,54,17,38,9,33,41,359,88,25
2020년07월_계_10~19세,"2,119",931,293,66,44,36,18,34,78,452,116,51
2020년07월_계_20~29세,"2,505",972,451,135,54,77,16,50,91,485,118,56
2020년07월_계_30~39세,"2,527","1,088",407,110,51,55,13,38,83,481,138,63
2020년07월_계_40~49세,"4,012","1,605",724,200,71,110,32,89,173,698,202,108
2020년07월_계_50~59세,"6,260","1,869","1,152",409,183,281,80,146,313,"1,117",451,259
2020년07월_계_60~69세,"7,274","1,779","1,365",553,277,359,142,189,415,"1,184",608,403
2020년07월_계_70~79세,"5,988","1,243","1,079",485,252,307,142,200,365,951,566,398
2020년07월_계_80~89세,"3,706",705,523,328,175,197,78,145,184,630,450,291
2020년07월_계_90~99세,491,109,63,51,26,24,9,17,17,92,52,31
2020년07월_계_100세 이상,27,9,2,1,2,1,0,2,0,1,2,7
2020년07월_남_총인구수,"17,387","5,339","2,984","1,162",509,732,253,448,832,"2,993","1,304",831
2020년07월_남_연령구간인구수,"17,387","5,339","2,984","1,162",509,732,253,448,832,"2,993","1,304",831
2020년07월_남_0~9세,868,409,129,30,10,22,3,18,26,164,44,13
2020년07월_남_10~19세,"1,095",465,164,41,22,19,9,20,42,233,56,24
2020년07월_남_20~29세,"1,451",552,262,85,30,48,10,29,49,279,73,34
2020년07월_남_30~39세,"1,301",530,221,62,30,28,8,19,45,244,77,37
2020년07월_남_40~49세,"2,255",832,408,131,35,74,25,55,105,373,142,75
2020년07월_남_50~59세,"3,293",992,588,229,98,157,45,86,159,558,242,139
2020년07월_남_60~69세,"3,471",825,635,286,141,183,66,87,198,548,290,212
2020년07월_남_70~79세,"2,383",492,410,184,90,127,56,86,147,388,227,176
2020년07월_남_80~89세,"1,170",218,161,103,48,65,30,42,54,194,142,113
2020년07월_남_90~99세,93,21,5,11,5,9,1,5,7,12,11,6
2020년07월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년07월_여_총인구수,"19,279","5,822","3,317","1,230",643,753,286,495,928,"3,457","1,487",861
2020년07월_여_연령구간인구수,"19,279","5,822","3,317","1,230",643,753,286,495,928,"3,457","1,487",861
2020년07월_여_0~9세,889,442,113,24,7,16,6,15,15,195,44,12
2020년07월_여_10~19세,"1,024",466,129,25,22,17,9,14,36,219,60,27
2020년07월_여_20~29세,"1,054",420,189,50,24,29,6,21,42,206,45,22
2020년07월_여_30~39세,"1,226",558,186,48,21,27,5,19,38,237,61,26
2020년07월_여_40~49세,"1,757",773,316,69,36,36,7,34,68,325,60,33
2020년07월_여_50~59세,"2,967",877,564,180,85,124,35,60,154,559,209,120
2020년07월_여_60~69세,"3,803",954,730,267,136,176,76,102,217,636,318,191
2020년07월_여_70~79세,"3,605",751,669,301,162,180,86,114,218,563,339,222
2020년07월_여_80~89세,"2,536",487,362,225,127,132,48,103,130,436,308,178
2020년07월_여_90~99세,398,88,58,40,21,15,8,12,10,80,41,25
2020년07월_여_100세 이상,20,6,1,1,2,1,0,1,0,1,2,5
