카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 학하동,대전광역시 유성구 상대동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년11월_계_총인구수,"351,049","25,243","17,133","19,697","26,911","40,258","21,942","24,542","37,533","26,209","27,165","27,561","28,870","27,985"
2021년11월_계_연령구간인구수,"351,049","25,243","17,133","19,697","26,911","40,258","21,942","24,542","37,533","26,209","27,165","27,561","28,870","27,985"
2021년11월_계_0~9세,"33,210","1,912","1,809","2,253",900,"3,393","2,120","2,236","4,756","2,863","2,515","2,344","3,026","3,083"
2021년11월_계_10~19세,"37,744","2,446","1,267","2,768","1,006","3,128","3,018","3,386","4,595","2,879","3,147","3,008","4,448","2,648"
2021년11월_계_20~29세,"52,454","3,305","2,669","1,968","6,601","8,726","2,778","3,075","3,734","4,118","4,315","4,194","3,742","3,229"
2021년11월_계_30~39세,"54,927","2,793","2,823","2,570","5,562","6,274","3,120","3,023","5,869","5,276","4,488","3,968","3,937","5,224"
2021년11월_계_40~49세,"59,829","4,178","2,598","3,839","3,300","5,577","4,220","4,584","7,430","4,228","4,201","4,634","5,823","5,217"
2021년11월_계_50~59세,"54,663","4,736","2,762","3,109","4,042","5,772","3,347","4,084","5,401","3,558","4,468","4,744","4,632","4,008"
2021년11월_계_60~69세,"36,458","3,428","2,259","2,180","3,172","4,733","1,928","2,351","3,657","2,118","2,679","2,687","2,261","3,005"
2021년11월_계_70~79세,"13,838","1,523",621,659,"1,510","1,736",898,"1,116","1,419",695,766,"1,193",645,"1,057"
2021년11월_계_80~89세,"6,774",808,274,287,706,785,440,591,566,412,474,687,306,438
2021년11월_계_90~99세,"1,123",112,48,63,108,134,69,95,101,62,110,99,50,72
2021년11월_계_100세 이상,29,2,3,1,4,0,4,1,5,0,2,3,0,4
2021년11월_남_총인구수,"177,352","12,926","8,840","9,568","13,884","20,956","10,892","12,048","18,419","13,705","13,921","14,091","14,767","13,335"
2021년11월_남_연령구간인구수,"177,352","12,926","8,840","9,568","13,884","20,956","10,892","12,048","18,419","13,705","13,921","14,091","14,767","13,335"
2021년11월_남_0~9세,"17,093",993,918,"1,132",459,"1,710","1,111","1,164","2,418","1,499","1,332","1,193","1,537","1,627"
2021년11월_남_10~19세,"19,558","1,331",650,"1,435",524,"1,620","1,549","1,737","2,346","1,496","1,600","1,544","2,355","1,371"
2021년11월_남_20~29세,"28,142","1,796","1,570","1,007","3,165","5,052","1,449","1,572","1,972","2,248","2,371","2,337","2,007","1,596"
2021년11월_남_30~39세,"28,785","1,525","1,433","1,186","3,257","3,455","1,564","1,505","2,763","2,913","2,506","2,143","2,011","2,524"
2021년11월_남_40~49세,"29,428","2,160","1,343","1,796","1,807","2,820","2,006","2,154","3,615","2,131","1,992","2,333","2,779","2,492"
2021년11월_남_50~59세,"27,269","2,415","1,289","1,511","2,080","2,802","1,699","2,044","2,635","1,836","2,185","2,475","2,508","1,790"
2021년11월_남_60~69세,"18,048","1,702","1,183","1,081","1,635","2,329",928,"1,136","1,745","1,097","1,401","1,350","1,151","1,310"
2021년11월_남_70~79세,"6,482",711,344,305,683,851,407,498,686,345,368,483,324,477
2021년11월_남_80~89세,"2,296",269,99,105,246,282,164,217,218,126,133,212,87,138
2021년11월_남_90~99세,248,24,10,10,28,35,14,21,21,14,33,21,8,9
2021년11월_남_100세 이상,3,0,1,0,0,0,1,0,0,0,0,0,0,1
2021년11월_여_총인구수,"173,697","12,317","8,293","10,129","13,027","19,302","11,050","12,494","19,114","12,504","13,244","13,470","14,103","14,650"
2021년11월_여_연령구간인구수,"173,697","12,317","8,293","10,129","13,027","19,302","11,050","12,494","19,114","12,504","13,244","13,470","14,103","14,650"
2021년11월_여_0~9세,"16,117",919,891,"1,121",441,"1,683","1,009","1,072","2,338","1,364","1,183","1,151","1,489","1,456"
2021년11월_여_10~19세,"18,186","1,115",617,"1,333",482,"1,508","1,469","1,649","2,249","1,383","1,547","1,464","2,093","1,277"
2021년11월_여_20~29세,"24,312","1,509","1,099",961,"3,436","3,674","1,329","1,503","1,762","1,870","1,944","1,857","1,735","1,633"
2021년11월_여_30~39세,"26,142","1,268","1,390","1,384","2,305","2,819","1,556","1,518","3,106","2,363","1,982","1,825","1,926","2,700"
2021년11월_여_40~49세,"30,401","2,018","1,255","2,043","1,493","2,757","2,214","2,430","3,815","2,097","2,209","2,301","3,044","2,725"
2021년11월_여_50~59세,"27,394","2,321","1,473","1,598","1,962","2,970","1,648","2,040","2,766","1,722","2,283","2,269","2,124","2,218"
2021년11월_여_60~69세,"18,410","1,726","1,076","1,099","1,537","2,404","1,000","1,215","1,912","1,021","1,278","1,337","1,110","1,695"
2021년11월_여_70~79세,"7,356",812,277,354,827,885,491,618,733,350,398,710,321,580
2021년11월_여_80~89세,"4,478",539,175,182,460,503,276,374,348,286,341,475,219,300
2021년11월_여_90~99세,875,88,38,53,80,99,55,74,80,48,77,78,42,63
2021년11월_여_100세 이상,26,2,2,1,4,0,3,1,5,0,2,3,0,3
