,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년08월_계_총인구수,"3,401,072","41,630","107,768","89,665","114,511","357,768","272,182","269,626","286,865","403,118","315,748","234,640","133,354","210,146","176,937","214,826","172,288"
2020년08월_계_연령구간인구수,"3,401,072","41,630","107,768","89,665","114,511","357,768","272,182","269,626","286,865","403,118","315,748","234,640","133,354","210,146","176,937","214,826","172,288"
2020년08월_계_0~9세,"236,814","1,378","5,617","4,203","5,391","21,501","19,972","18,502","19,557","28,887","20,823","13,436","19,629","15,167","10,440","12,955","19,356"
2020년08월_계_10~19세,"274,958","2,090","7,304","5,240","7,617","25,254","25,140","23,433","23,894","38,551","25,959","18,085","11,141","16,602","11,970","15,480","17,198"
2020년08월_계_20~29세,"433,203","5,639","13,512","10,677","12,121","52,210","33,125","35,336","38,349","49,457","40,529","33,671","11,939","26,338","24,300","29,284","16,716"
2020년08월_계_30~39세,"425,362","4,514","11,321","10,569","10,981","47,622","33,783","30,892","34,440","47,325","38,312","25,884","26,631","27,876","24,114","25,877","25,221"
2020년08월_계_40~49세,"513,686","5,492","14,678","12,139","15,457","51,527","43,431","42,376","41,090","66,350","46,825","32,597","22,518","32,048","25,638","29,924","31,596"
2020년08월_계_50~59세,"573,461","7,123","18,073","14,998","19,878","58,725","44,788","43,180","54,890","70,579","55,790","41,212","16,525","34,385","27,717","41,925","23,673"
2020년08월_계_60~69세,"522,542","7,807","18,829","15,940","21,888","54,885","40,512","40,544","44,394","56,838","50,460","38,251","15,207","32,053","28,224","36,037","20,673"
2020년08월_계_70~79세,"291,533","5,066","12,295","10,717","14,564","31,695","22,165","24,874","21,119","30,658","26,071","21,606","6,676","18,034","17,006","16,893","12,094"
2020년08월_계_80~89세,"112,849","2,066","5,277","4,503","5,748","12,619","8,038","9,218","8,018","12,641","9,508","8,554","2,601","6,743","6,589","5,728","4,998"
2020년08월_계_90~99세,"14,800",371,740,580,733,"1,502","1,091","1,135","1,015","1,673","1,308","1,145",443,816,875,653,720
2020년08월_계_100세 이상,"1,864",84,122,99,133,228,137,136,99,159,163,199,44,84,64,70,43
2020년08월_남_총인구수,"1,666,462","20,358","52,216","43,942","56,422","173,014","132,551","131,948","141,959","194,137","157,389","114,665","68,912","101,338","83,686","108,616","85,309"
2020년08월_남_연령구간인구수,"1,666,462","20,358","52,216","43,942","56,422","173,014","132,551","131,948","141,959","194,137","157,389","114,665","68,912","101,338","83,686","108,616","85,309"
2020년08월_남_0~9세,"121,423",728,"2,915","2,235","2,724","10,912","10,320","9,402","10,085","14,974","10,654","6,915","10,079","7,722","5,365","6,571","9,822"
2020년08월_남_10~19세,"142,167","1,060","3,683","2,698","3,938","12,903","13,159","12,133","12,419","19,901","13,530","9,259","5,677","8,551","6,153","8,115","8,988"
2020년08월_남_20~29세,"226,054","2,803","6,687","5,406","6,615","25,711","17,369","18,728","20,634","25,879","21,800","18,218","6,406","13,371","11,873","15,712","8,842"
2020년08월_남_30~39세,"217,418","2,446","5,851","5,670","5,929","24,302","16,948","15,814","17,828","23,029","20,229","13,411","13,579","13,990","12,010","13,880","12,502"
2020년08월_남_40~49세,"258,368","2,972","7,587","6,475","8,101","26,014","21,137","21,231","20,328","31,489","23,969","16,221","12,623","15,680","12,592","15,674","16,275"
2020년08월_남_50~59세,"278,113","3,569","9,227","7,635","10,106","28,439","21,235","21,028","26,230","33,592","27,257","19,525","8,499","16,246","12,679","20,912","11,934"
2020년08월_남_60~69세,"247,645","3,681","8,791","7,554","10,469","25,838","18,877","18,682","21,896","26,860","24,418","17,882","7,744","14,786","12,622","17,913","9,632"
2020년08월_남_70~79세,"131,230","2,211","5,353","4,542","6,338","13,939","10,203","11,140","9,642","13,532","11,960","9,837","3,333","8,208","7,668","7,841","5,483"
2020년08월_남_80~89세,"40,400",766,"1,913","1,545","2,024","4,554","3,034","3,521","2,679","4,471","3,279","3,079",881,"2,575","2,500","1,884","1,695"
2020년08월_남_90~99세,"3,234",103,175,153,145,354,247,245,197,366,258,277,79,190,211,105,129
2020년08월_남_100세 이상,410,19,34,29,33,48,22,24,21,44,35,41,12,19,13,9,7
2020년08월_여_총인구수,"1,734,610","21,272","55,552","45,723","58,089","184,754","139,631","137,678","144,906","208,981","158,359","119,975","64,442","108,808","93,251","106,210","86,979"
2020년08월_여_연령구간인구수,"1,734,610","21,272","55,552","45,723","58,089","184,754","139,631","137,678","144,906","208,981","158,359","119,975","64,442","108,808","93,251","106,210","86,979"
2020년08월_여_0~9세,"115,391",650,"2,702","1,968","2,667","10,589","9,652","9,100","9,472","13,913","10,169","6,521","9,550","7,445","5,075","6,384","9,534"
2020년08월_여_10~19세,"132,791","1,030","3,621","2,542","3,679","12,351","11,981","11,300","11,475","18,650","12,429","8,826","5,464","8,051","5,817","7,365","8,210"
2020년08월_여_20~29세,"207,149","2,836","6,825","5,271","5,506","26,499","15,756","16,608","17,715","23,578","18,729","15,453","5,533","12,967","12,427","13,572","7,874"
2020년08월_여_30~39세,"207,944","2,068","5,470","4,899","5,052","23,320","16,835","15,078","16,612","24,296","18,083","12,473","13,052","13,886","12,104","11,997","12,719"
