,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년04월_계_총인구수,"2,116,452","657,410","256,797","400,613","103,782","99,137","318,699","175,817","115,520","43,235","166,333","50,950","64,527","51,289","30,658","99,755","77,538","61,802"
2021년04월_계_연령구간인구수,"2,116,452","657,410","256,797","400,613","103,782","99,137","318,699","175,817","115,520","43,235","166,333","50,950","64,527","51,289","30,658","99,755","77,538","61,802"
2021년04월_계_0~9세,"169,094","60,997","19,901","41,096","5,622","5,922","32,224","15,196","7,083","3,928","15,195","2,470","2,852","2,247","1,231","7,621","3,530","2,976"
2021년04월_계_10~19세,"201,400","67,896","25,911","41,985","8,074","8,148","34,780","17,147","9,647","6,277","15,674","4,264","4,552","3,403","2,040","9,534","5,629","4,335"
2021년04월_계_20~29세,"240,595","95,742","34,970","60,772","11,017","9,330","37,066","19,056","11,151","4,906","15,940","3,907","5,246","3,741","2,539","9,450","6,692","4,812"
2021년04월_계_30~39세,"264,398","103,917","32,663","71,254","9,291","9,161","48,138","21,905","10,487","4,691","22,397","3,578","4,259","3,361","2,022","10,293","5,986","4,912"
2021년04월_계_40~49세,"327,136","111,870","42,497","69,373","13,183","13,703","57,138","27,842","15,056","8,373","26,840","6,116","6,971","5,661","3,048","14,399","9,346","7,590"
2021년04월_계_50~59세,"337,664","102,629","43,331","59,298","18,076","16,791","46,656","28,376","19,356","7,029","25,982","8,869","10,555","8,358","5,168","15,788","13,337","10,694"
2021년04월_계_60~69세,"288,630","66,426","32,546","33,880","18,888","17,505","33,301","22,809","20,426","4,641","21,786","10,125","13,312","10,358","6,316","15,190","15,154","12,393"
2021년04월_계_70~79세,"170,950","30,247","15,577","14,670","11,382","11,229","18,087","13,934","12,910","2,074","13,206","6,788","9,361","7,985","4,491","10,085","10,312","8,859"
2021년04월_계_80~89세,"101,393","15,359","8,128","7,231","7,143","6,347","9,914","8,266","8,157","1,129","8,086","4,264","6,397","5,294","3,342","6,474","6,660","4,561"
2021년04월_계_90~99세,"14,668","2,233","1,217","1,016","1,068",957,"1,339","1,246","1,199",184,"1,176",560,989,856,454,896,863,648
2021년04월_계_100세 이상,524,94,56,38,38,44,56,40,48,3,51,9,33,25,7,25,29,22
2021년04월_남_총인구수,"1,081,275","335,775","130,157","205,618","51,925","50,271","165,503","91,664","57,810","21,539","88,408","25,699","32,029","25,323","15,569","49,627","39,005","31,128"
2021년04월_남_연령구간인구수,"1,081,275","335,775","130,157","205,618","51,925","50,271","165,503","91,664","57,810","21,539","88,408","25,699","32,029","25,323","15,569","49,627","39,005","31,128"
2021년04월_남_0~9세,"86,543","31,191","10,235","20,956","2,914","2,983","16,528","7,772","3,619","1,988","7,733","1,256","1,516","1,129",626,"3,979","1,829","1,480"
2021년04월_남_10~19세,"104,558","35,173","13,505","21,668","4,171","4,239","17,859","9,103","4,976","3,303","8,239","2,220","2,406","1,745","1,073","4,893","2,917","2,241"
2021년04월_남_20~29세,"132,853","50,310","18,506","31,804","6,046","5,484","20,671","11,355","6,250","2,722","9,283","2,234","3,037","2,165","1,493","5,184","3,795","2,824"
2021년04월_남_30~39세,"142,442","55,327","17,213","38,114","4,992","4,967","25,680","12,157","5,576","2,333","12,815","1,886","2,309","1,882","1,144","5,327","3,329","2,718"
2021년04월_남_40~49세,"174,552","58,000","21,958","36,042","6,963","7,501","31,038","14,910","7,983","4,077","15,123","3,363","3,804","3,089","1,779","7,526","5,124","4,272"
2021년04월_남_50~59세,"178,739","52,636","22,031","30,605","9,319","8,974","25,249","15,211","10,234","3,526","14,651","4,926","5,558","4,561","2,837","8,264","7,162","5,631"
2021년04월_남_60~69세,"144,670","33,622","16,392","17,230","9,472","8,582","16,640","11,443","10,320","2,256","11,176","5,170","6,679","5,061","3,242","7,466","7,548","5,993"
2021년04월_남_70~79세,"77,829","13,709","7,162","6,547","5,240","5,061","8,048","6,537","5,778",928,"6,194","3,102","4,214","3,576","2,053","4,492","4,679","4,218"
2021년04월_남_80~89세,"35,581","5,295","2,858","2,437","2,521","2,264","3,484","2,922","2,766",366,"2,889","1,415","2,259","1,910","1,194","2,272","2,412","1,612"
2021년04월_남_90~99세,"3,419",490,283,207,279,209,296,251,299,40,297,126,244,203,126,221,206,132
2021년04월_남_100세 이상,89,22,14,8,8,7,10,3,9,0,8,1,3,2,2,3,4,7
