카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년11월_계_총인구수,"87,770","4,991","5,725","13,054","5,987","4,171","9,844","3,909","5,352","10,802","11,834","7,730","4,371"
2021년11월_계_연령구간인구수,"87,770","4,991","5,725","13,054","5,987","4,171","9,844","3,909","5,352","10,802","11,834","7,730","4,371"
2021년11월_계_0~9세,"4,016",148,135,"1,236",154,191,401,91,145,430,319,407,359
2021년11월_계_10~19세,"4,833",278,248,797,382,296,524,193,340,572,593,368,242
2021년11월_계_20~29세,"10,248",716,634,"1,914",584,487,"1,128",351,534,"1,265","1,298",911,426
2021년11월_계_30~39세,"10,404",560,560,"2,692",478,397,"1,123",290,399,"1,086","1,167","1,037",615
2021년11월_계_40~49세,"11,598",730,682,"2,030",761,573,"1,202",425,642,"1,376","1,381","1,099",697
2021년11월_계_50~59세,"14,299",814,999,"1,789","1,002",678,"1,643",673,914,"1,785","2,044","1,367",591
2021년11월_계_60~69세,"16,154",875,"1,199","1,486","1,195",752,"1,888",808,"1,095","2,069","2,584","1,456",747
2021년11월_계_70~79세,"10,675",596,835,721,898,545,"1,302",699,855,"1,478","1,571",730,445
2021년11월_계_80~89세,"4,906",251,361,332,458,230,569,334,375,673,795,317,211
2021년11월_계_90~99세,601,23,62,55,65,19,63,45,52,64,79,38,36
2021년11월_계_100세 이상,36,0,10,2,10,3,1,0,1,4,3,0,2
2021년11월_남_총인구수,"42,946","2,512","2,834","6,358","2,925","2,032","4,673","1,924","2,552","5,242","5,832","3,906","2,156"
2021년11월_남_연령구간인구수,"42,946","2,512","2,834","6,358","2,925","2,032","4,673","1,924","2,552","5,242","5,832","3,906","2,156"
2021년11월_남_0~9세,"2,125",65,80,662,75,107,199,54,76,234,161,213,199
2021년11월_남_10~19세,"2,499",157,127,414,212,153,263,108,168,285,295,195,122
2021년11월_남_20~29세,"5,154",359,313,833,328,255,543,197,295,684,687,463,197
2021년11월_남_30~39세,"5,487",303,330,"1,322",273,213,603,161,223,562,665,528,304
2021년11월_남_40~49세,"6,263",414,391,"1,049",390,295,630,239,344,753,772,593,393
2021년11월_남_50~59세,"7,364",455,546,899,538,354,803,381,460,863,"1,055",710,300
2021년11월_남_60~69세,"7,604",397,544,716,561,336,862,397,485,975,"1,214",734,383
2021년11월_남_70~79세,"4,608",273,354,340,381,223,560,269,367,630,698,331,182
2021년11월_남_80~89세,"1,689",85,123,108,154,94,196,106,122,243,262,128,68
2021년11월_남_90~99세,140,4,21,14,10,2,14,12,12,11,22,11,7
2021년11월_남_100세 이상,13,0,5,1,3,0,0,0,0,2,1,0,1
2021년11월_여_총인구수,"44,824","2,479","2,891","6,696","3,062","2,139","5,171","1,985","2,800","5,560","6,002","3,824","2,215"
2021년11월_여_연령구간인구수,"44,824","2,479","2,891","6,696","3,062","2,139","5,171","1,985","2,800","5,560","6,002","3,824","2,215"
2021년11월_여_0~9세,"1,891",83,55,574,79,84,202,37,69,196,158,194,160
2021년11월_여_10~19세,"2,334",121,121,383,170,143,261,85,172,287,298,173,120
2021년11월_여_20~29세,"5,094",357,321,"1,081",256,232,585,154,239,581,611,448,229
2021년11월_여_30~39세,"4,917",257,230,"1,370",205,184,520,129,176,524,502,509,311
2021년11월_여_40~49세,"5,335",316,291,981,371,278,572,186,298,623,609,506,304
2021년11월_여_50~59세,"6,935",359,453,890,464,324,840,292,454,922,989,657,291
2021년11월_여_60~69세,"8,550",478,655,770,634,416,"1,026",411,610,"1,094","1,370",722,364
2021년11월_여_70~79세,"6,067",323,481,381,517,322,742,430,488,848,873,399,263
2021년11월_여_80~89세,"3,217",166,238,224,304,136,373,228,253,430,533,189,143
2021년11월_여_90~99세,461,19,41,41,55,17,49,33,40,53,57,27,29
2021년11월_여_100세 이상,23,0,5,1,7,3,1,0,1,2,2,0,1
