카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년02월_계_총인구수,"436,530","4,165","23,646","4,309","19,751","20,885","9,888","11,494","8,936","8,745","18,682","7,335","27,906","7,076","28,977","37,878","22,461","25,219","37,289","17,540","27,393","29,594","12,889","24,472"
2020년02월_계_연령구간인구수,"436,530","4,165","23,646","4,309","19,751","20,885","9,888","11,494","8,936","8,745","18,682","7,335","27,906","7,076","28,977","37,878","22,461","25,219","37,289","17,540","27,393","29,594","12,889","24,472"
2020년02월_계_0~9세,"35,057",153,"2,535",180,"2,418","1,903",277,640,317,332,"1,368",205,"2,174",385,"2,654","4,728","1,510","1,746","2,958","1,074","1,841","2,524",718,"2,417"
2020년02월_계_10~19세,"44,952",250,"2,098",247,"2,267","2,406",535,"1,019",512,521,"1,219",404,"3,067",484,"3,547","3,196","1,849","2,672","5,417","1,769","2,682","4,765",700,"3,326"
2020년02월_계_20~29세,"60,051",489,"2,702",505,"2,178","2,477","1,128","1,743","2,248","1,264","2,622","1,997","4,035",815,"3,035","4,139","3,693","3,719","5,378","2,507","4,387","4,130","1,512","3,348"
2020년02월_계_30~39세,"54,520",397,"3,850",447,"3,047","2,541",811,"1,210","1,100","1,039","2,377",976,"3,433",881,"3,486","6,859","2,733","2,899","3,724","1,742","3,192","3,015","1,725","3,036"
2020년02월_계_40~49세,"73,743",527,"4,035",517,"3,710","3,633","1,235","1,607","1,125","1,092","2,740",869,"4,572",969,"5,935","6,409","3,350","4,143","7,348","2,728","4,087","6,430","1,763","4,919"
2020년02월_계_50~59세,"77,226",801,"3,373",956,"2,771","3,510","2,000","2,376","1,337","1,650","3,050","1,209","5,074","1,317","4,630","5,999","4,261","4,756","7,125","3,594","5,541","5,216","2,579","4,101"
2020년02월_계_60~69세,"50,609",776,"2,587",861,"1,851","2,319","2,018","1,631","1,182","1,547","2,683",975,"3,321","1,241","3,291","4,000","2,849","3,049","3,011","2,421","3,254","1,788","2,226","1,728"
2020년02월_계_70~79세,"27,524",511,"1,598",422,"1,032","1,435","1,276",881,754,912,"1,753",485,"1,479",669,"1,763","1,833","1,458","1,595","1,538","1,116","1,558","1,133","1,254","1,069"
