,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년11월_계_총인구수,"101,895","10,524","2,302","1,416","1,935","2,168","2,972","2,704","1,990","1,834","3,006","7,550","6,044","3,962","4,962","6,537","9,882","7,703","15,496","8,908"
2021년11월_계_연령구간인구수,"101,895","10,524","2,302","1,416","1,935","2,168","2,972","2,704","1,990","1,834","3,006","7,550","6,044","3,962","4,962","6,537","9,882","7,703","15,496","8,908"
2021년11월_계_0~9세,"5,755",432,53,22,50,52,78,69,30,23,49,430,334,148,205,442,468,403,"1,822",645
2021년11월_계_10~19세,"8,601",714,85,49,87,102,124,125,67,56,109,875,571,273,335,832,684,661,"1,953",899
2021년11월_계_20~29세,"9,502",919,167,77,130,158,176,155,116,95,131,720,563,309,364,706,"1,129",868,"1,723",996
2021년11월_계_30~39세,"8,090",696,113,42,104,104,139,117,79,76,121,535,433,263,330,482,777,585,"2,147",947
2021년11월_계_40~49세,"13,409","1,167",174,92,161,167,242,256,133,133,190,"1,178",835,448,552,"1,074","1,198",973,"3,036","1,400"
2021년11월_계_50~59세,"17,350","1,771",447,250,313,350,481,456,348,315,513,"1,367","1,093",653,840,"1,214","1,768","1,513","2,166","1,492"
2021년11월_계_60~69세,"19,173","2,385",589,350,476,533,760,757,593,483,882,"1,176","1,065",871,"1,107",892,"1,907","1,461","1,538","1,348"
2021년11월_계_70~79세,"11,783","1,431",345,275,313,365,517,453,340,324,555,777,712,610,770,559,"1,240",788,701,708
2021년11월_계_80~89세,"7,081",847,290,218,238,276,380,272,239,282,387,419,393,340,409,301,627,392,364,407
2021년11월_계_90~99세,"1,093",149,39,39,62,56,72,38,42,46,68,69,40,42,48,34,82,58,46,63
2021년11월_계_100세 이상,58,13,0,2,1,5,3,6,3,1,1,4,5,5,2,1,2,1,0,3
2021년11월_남_총인구수,"50,546","5,234","1,187",719,994,"1,095","1,493","1,377",997,909,"1,501","3,761","2,878","1,941","2,391","3,239","4,882","3,817","7,808","4,323"
2021년11월_남_연령구간인구수,"50,546","5,234","1,187",719,994,"1,095","1,493","1,377",997,909,"1,501","3,761","2,878","1,941","2,391","3,239","4,882","3,817","7,808","4,323"
2021년11월_남_0~9세,"3,006",225,24,16,28,27,42,33,16,11,29,232,171,87,121,219,226,212,949,338
2021년11월_남_10~19세,"4,487",380,44,21,48,50,66,64,37,33,57,459,286,134,181,437,362,352,"1,006",470
2021년11월_남_20~29세,"5,521",567,106,55,78,100,111,100,74,66,77,429,317,184,207,428,637,523,936,526
2021년11월_남_30~39세,"4,349",373,59,25,66,63,88,65,47,46,70,283,228,142,167,252,452,310,"1,112",501
2021년11월_남_40~49세,"6,889",634,101,62,99,99,151,158,77,84,128,569,411,235,284,499,624,472,"1,528",674
2021년11월_남_50~59세,"8,959",901,261,135,171,190,256,231,177,164,281,731,561,362,429,621,865,742,"1,138",743
2021년11월_남_60~69세,"9,246","1,181",312,186,266,281,388,392,311,266,444,551,477,395,491,414,866,670,727,628
2021년11월_남_70~79세,"5,328",644,168,131,142,169,250,227,157,144,265,342,285,258,334,255,572,381,292,312
2021년11월_남_80~89세,"2,515",296,105,77,84,105,124,93,93,87,134,161,131,127,165,103,258,139,111,122
2021년11월_남_90~99세,237,30,7,11,12,11,17,12,7,7,16,4,10,17,12,11,20,16,9,8
2021년11월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1
2021년11월_여_총인구수,"51,349","5,290","1,115",697,941,"1,073","1,479","1,327",993,925,"1,505","3,789","3,166","2,021","2,571","3,298","5,000","3,886","7,688","4,585"
2021년11월_여_연령구간인구수,"51,349","5,290","1,115",697,941,"1,073","1,479","1,327",993,925,"1,505","3,789","3,166","2,021","2,571","3,298","5,000","3,886","7,688","4,585"
2021년11월_여_0~9세,"2,749",207,29,6,22,25,36,36,14,12,20,198,163,61,84,223,242,191,873,307
2021년11월_여_10~19세,"4,114",334,41,28,39,52,58,61,30,23,52,416,285,139,154,395,322,309,947,429
2021년11월_여_20~29세,"3,981",352,61,22,52,58,65,55,42,29,54,291,246,125,157,278,492,345,787,470
2021년11월_여_30~39세,"3,741",323,54,17,38,41,51,52,32,30,51,252,205,121,163,230,325,275,"1,035",446
2021년11월_여_40~49세,"6,520",533,73,30,62,68,91,98,56,49,62,609,424,213,268,575,574,501,"1,508",726
2021년11월_여_50~59세,"8,391",870,186,115,142,160,225,225,171,151,232,636,532,291,411,593,903,771,"1,028",749
2021년11월_여_60~69세,"9,927","1,204",277,164,210,252,372,365,282,217,438,625,588,476,616,478,"1,041",791,811,720
2021년11월_여_70~79세,"6,455",787,177,144,171,196,267,226,183,180,290,435,427,352,436,304,668,407,409,396
2021년11월_여_80~89세,"4,566",551,185,141,154,171,256,179,146,195,253,258,262,213,244,198,369,253,253,285
2021년11월_여_90~99세,856,119,32,28,50,45,55,26,35,39,52,65,30,25,36,23,62,42,37,55
2021년11월_여_100세 이상,49,10,0,2,1,5,3,4,2,0,1,4,4,5,2,1,2,1,0,2
