카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년09월_계_총인구수,"133,246","6,772","1,947","1,299","2,056","2,212",715,"3,256","4,650","18,883","9,949","5,916","4,956","10,336","18,003","11,173","15,738","15,385"
2020년09월_계_연령구간인구수,"133,246","6,772","1,947","1,299","2,056","2,212",715,"3,256","4,650","18,883","9,949","5,916","4,956","10,336","18,003","11,173","15,738","15,385"
2020년09월_계_0~9세,"8,916",269,53,32,44,65,21,92,97,"1,623",826,251,207,812,"1,380",765,707,"1,672"
2020년09월_계_10~19세,"11,822",355,91,52,73,203,33,130,209,"2,423","1,127",432,323,895,"1,823","1,182","1,153","1,318"
2020년09월_계_20~29세,"14,757",468,122,68,83,81,32,177,387,"2,254","1,315",637,566,"1,063","2,661","1,331","1,915","1,597"
2020년09월_계_30~39세,"13,197",437,104,65,77,77,38,121,232,"2,034","1,060",502,402,"1,182","2,158","1,068","1,434","2,206"
2020년09월_계_40~49세,"18,578",704,138,92,141,179,75,243,423,"3,342","1,638",764,563,"1,497","2,726","1,730","1,944","2,379"
2020년09월_계_50~59세,"24,107","1,290",399,272,428,395,149,616,920,"3,406","1,782","1,031",908,"1,779","3,169","2,156","2,973","2,434"
2020년09월_계_60~69세,"22,428","1,658",523,338,561,564,190,942,"1,209","2,223","1,299","1,221","1,080","1,568","2,293","1,553","3,202","2,004"
2020년09월_계_70~79세,"12,438",968,291,225,384,404,93,546,699,"1,078",553,728,639,"1,018","1,105",909,"1,632","1,166"
2020년09월_계_80~89세,"6,116",538,192,135,238,207,68,337,410,450,297,294,241,455,607,420,680,547
2020년09월_계_90~99세,815,83,29,18,21,37,15,49,61,44,50,51,25,48,80,54,92,58
2020년09월_계_100세 이상,72,2,5,2,6,0,1,3,3,6,2,5,2,19,1,5,6,4
2020년09월_남_총인구수,"66,825","3,450","1,051",670,"1,065","1,128",362,"1,666","2,452","9,279","4,915","2,941","2,459","5,182","8,973","5,586","7,863","7,783"
2020년09월_남_연령구간인구수,"66,825","3,450","1,051",670,"1,065","1,128",362,"1,666","2,452","9,279","4,915","2,941","2,459","5,182","8,973","5,586","7,863","7,783"
2020년09월_남_0~9세,"4,561",142,32,21,23,38,9,50,49,817,444,122,105,434,689,377,360,849
2020년09월_남_10~19세,"6,106",186,56,27,39,109,16,78,123,"1,212",569,227,169,469,926,626,618,656
2020년09월_남_20~29세,"8,194",265,82,37,61,49,23,106,245,"1,228",689,336,326,581,"1,464",755,"1,079",868
2020년09월_남_30~39세,"6,883",235,63,39,47,43,21,69,153,997,518,292,217,603,"1,142",542,789,"1,113"
2020년09월_남_40~49세,"9,574",389,80,56,88,111,45,146,262,"1,598",806,399,301,797,"1,343",850,"1,012","1,291"
2020년09월_남_50~59세,"12,339",690,226,143,221,211,84,323,487,"1,718",898,514,456,900,"1,612","1,143","1,435","1,278"
2020년09월_남_60~69세,"11,130",864,292,182,297,295,91,491,634,"1,094",648,573,490,754,"1,157",767,"1,529",972
2020년09월_남_70~79세,"5,629",464,143,111,197,196,39,262,323,448,228,345,299,455,443,368,780,528
2020년09월_남_80~89세,"2,205",196,65,52,82,70,29,127,160,159,102,119,88,167,182,147,243,217
2020년09월_남_90~99세,181,19,10,1,7,6,5,13,15,8,12,12,8,15,15,9,17,9
2020년09월_남_100세 이상,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020년09월_여_총인구수,"66,421","3,322",896,629,991,"1,084",353,"1,590","2,198","9,604","5,034","2,975","2,497","5,154","9,030","5,587","7,875","7,602"
2020년09월_여_연령구간인구수,"66,421","3,322",896,629,991,"1,084",353,"1,590","2,198","9,604","5,034","2,975","2,497","5,154","9,030","5,587","7,875","7,602"
2020년09월_여_0~9세,"4,355",127,21,11,21,27,12,42,48,806,382,129,102,378,691,388,347,823
2020년09월_여_10~19세,"5,716",169,35,25,34,94,17,52,86,"1,211",558,205,154,426,897,556,535,662
2020년09월_여_20~29세,"6,563",203,40,31,22,32,9,71,142,"1,026",626,301,240,482,"1,197",576,836,729
2020년09월_여_30~39세,"6,314",202,41,26,30,34,17,52,79,"1,037",542,210,185,579,"1,016",526,645,"1,093"
2020년09월_여_40~49세,"9,004",315,58,36,53,68,30,97,161,"1,744",832,365,262,700,"1,383",880,932,"1,088"
2020년09월_여_50~59세,"11,768",600,173,129,207,184,65,293,433,"1,688",884,517,452,879,"1,557","1,013","1,538","1,156"
2020년09월_여_60~69세,"11,298",794,231,156,264,269,99,451,575,"1,129",651,648,590,814,"1,136",786,"1,673","1,032"
2020년09월_여_70~79세,"6,809",504,148,114,187,208,54,284,376,630,325,383,340,563,662,541,852,638
2020년09월_여_80~89세,"3,911",342,127,83,156,137,39,210,250,291,195,175,153,288,425,273,437,330
2020년09월_여_90~99세,634,64,19,17,14,31,10,36,46,36,38,39,17,33,65,45,75,49
2020년09월_여_100세 이상,49,2,3,1,3,0,1,2,2,6,1,3,2,12,1,3,5,2
