카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년07월_계_총인구수,"296,173","24,610","29,379","19,526","15,873","19,383","23,273","28,231","20,205","35,172","21,147","33,592","25,782"
2021년07월_계_연령구간인구수,"296,173","24,610","29,379","19,526","15,873","19,383","23,273","28,231","20,205","35,172","21,147","33,592","25,782"
2021년07월_계_0~9세,"17,836","1,238","1,822",771,599,860,"1,464","1,737",995,"2,643","1,419","1,638","2,650"
2021년07월_계_10~19세,"25,992","2,178","2,674","1,204",930,"1,464","2,505","2,698","1,395","3,650","1,758","2,654","2,882"
2021년07월_계_20~29세,"43,134","3,470","4,176","2,907","2,435","3,289","3,802","4,204","2,904","5,224","2,960","4,954","2,809"
2021년07월_계_30~39세,"37,744","2,706","3,439","2,481","2,130","2,856","2,598","3,478","2,814","4,794","2,529","4,314","3,605"
2021년07월_계_40~49세,"45,077","3,488","4,366","2,674","2,009","2,485","3,858","4,377","2,680","5,867","3,180","4,933","5,160"
2021년07월_계_50~59세,"59,767","5,036","5,904","4,218","3,366","4,183","5,152","5,637","4,072","7,030","4,179","7,017","3,973"
2021년07월_계_60~69세,"42,107","4,048","4,482","3,304","2,820","2,959","2,632","3,977","3,350","3,764","3,105","4,720","2,946"
2021년07월_계_70~79세,"15,695","1,583","1,718","1,301","1,061",773,652,"1,383","1,321","1,319","1,272","2,119","1,193"
2021년07월_계_80~89세,"7,600",753,707,595,440,440,490,645,590,747,635,"1,076",482
2021년07월_계_90~99세,"1,191",105,87,69,82,73,117,94,82,129,109,162,82
2021년07월_계_100세 이상,30,5,4,2,1,1,3,1,2,5,1,5,0
2021년07월_남_총인구수,"147,557","12,359","14,873","10,270","7,884","9,307","11,767","13,878","9,989","17,511","10,445","16,589","12,685"
2021년07월_남_연령구간인구수,"147,557","12,359","14,873","10,270","7,884","9,307","11,767","13,878","9,989","17,511","10,445","16,589","12,685"
2021년07월_남_0~9세,"9,076",635,932,420,288,444,747,870,489,"1,342",746,824,"1,339"
2021년07월_남_10~19세,"13,299","1,138","1,383",625,490,770,"1,273","1,368",709,"1,817",900,"1,333","1,493"
2021년07월_남_20~29세,"22,613","1,871","2,294","1,566","1,227","1,685","1,980","2,212","1,495","2,765","1,503","2,624","1,391"
2021년07월_남_30~39세,"19,705","1,399","1,836","1,409","1,170","1,459","1,343","1,761","1,524","2,506","1,281","2,278","1,739"
2021년07월_남_40~49세,"22,528","1,738","2,190","1,471","1,035","1,112","1,895","2,137","1,392","2,840","1,593","2,439","2,686"
2021년07월_남_50~59세,"29,073","2,490","2,871","2,246","1,604","1,855","2,549","2,696","1,923","3,452","2,029","3,432","1,926"
2021년07월_남_60~69세,"21,471","2,054","2,286","1,723","1,417","1,495","1,508","1,992","1,641","1,980","1,584","2,416","1,375"
2021년07월_남_70~79세,"7,083",751,816,610,490,345,309,622,590,564,560,882,544
2021년07월_남_80~89세,"2,448",255,250,186,146,124,143,192,209,219,230,324,170
2021년07월_남_90~99세,254,27,15,14,17,17,19,27,16,25,19,36,22
2021년07월_남_100세 이상,7,1,0,0,0,1,1,1,1,1,0,1,0
2021년07월_여_총인구수,"148,616","12,251","14,506","9,256","7,989","10,076","11,506","14,353","10,216","17,661","10,702","17,003","13,097"
2021년07월_여_연령구간인구수,"148,616","12,251","14,506","9,256","7,989","10,076","11,506","14,353","10,216","17,661","10,702","17,003","13,097"
2021년07월_여_0~9세,"8,760",603,890,351,311,416,717,867,506,"1,301",673,814,"1,311"
2021년07월_여_10~19세,"12,693","1,040","1,291",579,440,694,"1,232","1,330",686,"1,833",858,"1,321","1,389"
2021년07월_여_20~29세,"20,521","1,599","1,882","1,341","1,208","1,604","1,822","1,992","1,409","2,459","1,457","2,330","1,418"
2021년07월_여_30~39세,"18,039","1,307","1,603","1,072",960,"1,397","1,255","1,717","1,290","2,288","1,248","2,036","1,866"
2021년07월_여_40~49세,"22,549","1,750","2,176","1,203",974,"1,373","1,963","2,240","1,288","3,027","1,587","2,494","2,474"
2021년07월_여_50~59세,"30,694","2,546","3,033","1,972","1,762","2,328","2,603","2,941","2,149","3,578","2,150","3,585","2,047"
2021년07월_여_60~69세,"20,636","1,994","2,196","1,581","1,403","1,464","1,124","1,985","1,709","1,784","1,521","2,304","1,571"
2021년07월_여_70~79세,"8,612",832,902,691,571,428,343,761,731,755,712,"1,237",649
2021년07월_여_80~89세,"5,152",498,457,409,294,316,347,453,381,528,405,752,312
2021년07월_여_90~99세,937,78,72,55,65,56,98,67,66,104,90,126,60
2021년07월_여_100세 이상,23,4,4,2,1,0,2,0,1,4,1,4,0
