,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년12월_계_총인구수,"65,354","20,330","12,027","3,780","2,382","1,555","2,378","2,901","1,427","1,853","1,138","1,688","2,899","2,763","3,174","2,923","2,136"
2020년12월_계_연령구간인구수,"65,354","20,330","12,027","3,780","2,382","1,555","2,378","2,901","1,427","1,853","1,138","1,688","2,899","2,763","3,174","2,923","2,136"
2020년12월_계_0~9세,"2,924","1,064",949,95,51,51,61,93,23,47,18,28,104,76,98,104,62
2020년12월_계_10~19세,"4,674","1,904","1,174",213,121,55,138,165,59,75,26,49,137,119,133,219,87
2020년12월_계_20~29세,"5,425","2,194","1,344",219,117,60,137,199,70,106,53,71,160,165,183,227,120
2020년12월_계_30~39세,"4,402","1,611","1,206",190,98,87,119,134,46,76,52,67,129,141,175,147,124
2020년12월_계_40~49세,"7,204","2,667","1,727",353,205,105,217,255,109,136,60,106,264,226,273,323,178
2020년12월_계_50~59세,"10,858","3,688","1,925",638,393,260,383,449,202,256,177,219,405,418,556,543,346
2020년12월_계_60~69세,"13,037","3,562","1,740",952,588,374,476,640,365,417,304,436,647,611,745,631,549
2020년12월_계_70~79세,"9,457","2,258","1,100",600,479,312,457,567,291,386,232,360,597,516,568,389,345
2020년12월_계_80~89세,"6,330","1,171",747,450,280,217,331,347,218,307,192,294,384,425,387,302,278
2020년12월_계_90~99세,989,195,109,60,46,34,56,47,43,45,24,57,69,66,55,37,46
2020년12월_계_100세 이상,54,16,6,10,4,0,3,5,1,2,0,1,3,0,1,1,1
2020년12월_남_총인구수,"32,374","10,095","5,923","1,899","1,176",775,"1,161","1,403",672,897,570,798,"1,429","1,369","1,615","1,511","1,081"
2020년12월_남_연령구간인구수,"32,374","10,095","5,923","1,899","1,176",775,"1,161","1,403",672,897,570,798,"1,429","1,369","1,615","1,511","1,081"
2020년12월_남_0~9세,"1,553",566,498,51,26,28,37,51,13,28,9,14,47,44,45,57,39
2020년12월_남_10~19세,"2,470","1,001",605,100,81,33,66,92,25,40,19,28,73,70,76,116,45
2020년12월_남_20~29세,"3,136","1,306",702,143,78,39,81,109,43,67,33,40,94,85,108,134,74
2020년12월_남_30~39세,"2,384",836,586,118,58,53,73,79,31,46,34,43,76,83,105,88,75
2020년12월_남_40~49세,"3,928","1,350",898,201,124,61,134,133,59,83,40,55,158,154,173,187,118
2020년12월_남_50~59세,"5,679","1,872","1,020",336,206,127,190,238,105,136,96,117,231,213,291,314,187
2020년12월_남_60~69세,"6,503","1,694",856,492,275,207,244,306,180,212,146,217,332,334,387,329,292
2020년12월_남_70~79세,"4,236","1,022",468,279,215,146,207,247,131,163,116,164,262,227,263,180,146
2020년12월_남_80~89세,"2,231",401,263,158,106,71,116,134,73,109,74,109,139,140,149,96,93
2020년12월_남_90~99세,247,45,26,19,7,10,13,13,12,12,3,11,17,19,18,10,12
2020년12월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년12월_여_총인구수,"32,980","10,235","6,104","1,881","1,206",780,"1,217","1,498",755,956,568,890,"1,470","1,394","1,559","1,412","1,055"
2020년12월_여_연령구간인구수,"32,980","10,235","6,104","1,881","1,206",780,"1,217","1,498",755,956,568,890,"1,470","1,394","1,559","1,412","1,055"
2020년12월_여_0~9세,"1,371",498,451,44,25,23,24,42,10,19,9,14,57,32,53,47,23
2020년12월_여_10~19세,"2,204",903,569,113,40,22,72,73,34,35,7,21,64,49,57,103,42
2020년12월_여_20~29세,"2,289",888,642,76,39,21,56,90,27,39,20,31,66,80,75,93,46
2020년12월_여_30~39세,"2,018",775,620,72,40,34,46,55,15,30,18,24,53,58,70,59,49
2020년12월_여_40~49세,"3,276","1,317",829,152,81,44,83,122,50,53,20,51,106,72,100,136,60
2020년12월_여_50~59세,"5,179","1,816",905,302,187,133,193,211,97,120,81,102,174,205,265,229,159
2020년12월_여_60~69세,"6,534","1,868",884,460,313,167,232,334,185,205,158,219,315,277,358,302,257
2020년12월_여_70~79세,"5,221","1,236",632,321,264,166,250,320,160,223,116,196,335,289,305,209,199
2020년12월_여_80~89세,"4,099",770,484,292,174,146,215,213,145,198,118,185,245,285,238,206,185
2020년12월_여_90~99세,742,150,83,41,39,24,43,34,31,33,21,46,52,47,37,27,34
2020년12월_여_100세 이상,47,14,5,8,4,0,3,4,1,1,0,1,3,0,1,1,1
