카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년02월_계_총인구수,"230,522","36,045","20,329","61,141","32,033","16,292","64,682"
2021년02월_계_연령구간인구수,"230,522","36,045","20,329","61,141","32,033","16,292","64,682"
2021년02월_계_0~9세,"23,409","3,969",904,"7,036","3,996","1,386","6,118"
2021년02월_계_10~19세,"24,925","4,220","1,181","7,012","3,326","1,963","7,223"
2021년02월_계_20~29세,"31,492","4,476","3,807","7,145","4,065","2,264","9,735"
2021년02월_계_30~39세,"38,663","5,484","4,905","9,893","5,991","2,354","10,036"
2021년02월_계_40~49세,"43,589","6,803","3,776","11,688","6,098","3,123","12,101"
2021년02월_계_50~59세,"33,536","5,421","2,851","8,505","4,268","2,531","9,960"
2021년02월_계_60~69세,"20,404","3,250","1,732","5,728","2,679","1,509","5,506"
2021년02월_계_70~79세,"9,867","1,620",819,"2,819","1,107",775,"2,727"
2021년02월_계_80~89세,"4,082",716,317,"1,159",425,348,"1,117"
2021년02월_계_90~99세,515,80,32,145,73,34,151
2021년02월_계_100세 이상,40,6,5,11,5,5,8
2021년02월_남_총인구수,"119,237","18,070","11,970","30,871","16,364","8,377","33,585"
2021년02월_남_연령구간인구수,"119,237","18,070","11,970","30,871","16,364","8,377","33,585"
2021년02월_남_0~9세,"11,903","2,038",446,"3,579","2,002",723,"3,115"
2021년02월_남_10~19세,"12,712","2,069",594,"3,551","1,691","1,019","3,788"
2021년02월_남_20~29세,"17,014","2,355","2,139","3,790","2,144","1,235","5,351"
2021년02월_남_30~39세,"20,896","2,804","3,164","5,114","3,125","1,290","5,399"
2021년02월_남_40~49세,"23,139","3,470","2,356","6,174","3,191","1,601","6,347"
2021년02월_남_50~59세,"17,518","2,772","1,800","4,278","2,154","1,309","5,205"
2021년02월_남_60~69세,"10,081","1,590",947,"2,726","1,348",740,"2,730"
2021년02월_남_70~79세,"4,364",687,387,"1,240",544,332,"1,174"
2021년02월_남_80~89세,"1,494",271,129,383,156,118,437
2021년02월_남_90~99세,104,12,6,33,8,7,38
2021년02월_남_100세 이상,12,2,2,3,1,3,1
2021년02월_여_총인구수,"111,285","17,975","8,359","30,270","15,669","7,915","31,097"
2021년02월_여_연령구간인구수,"111,285","17,975","8,359","30,270","15,669","7,915","31,097"
2021년02월_여_0~9세,"11,506","1,931",458,"3,457","1,994",663,"3,003"
2021년02월_여_10~19세,"12,213","2,151",587,"3,461","1,635",944,"3,435"
2021년02월_여_20~29세,"14,478","2,121","1,668","3,355","1,921","1,029","4,384"
2021년02월_여_30~39세,"17,767","2,680","1,741","4,779","2,866","1,064","4,637"
2021년02월_여_40~49세,"20,450","3,333","1,420","5,514","2,907","1,522","5,754"
2021년02월_여_50~59세,"16,018","2,649","1,051","4,227","2,114","1,222","4,755"
2021년02월_여_60~69세,"10,323","1,660",785,"3,002","1,331",769,"2,776"
2021년02월_여_70~79세,"5,503",933,432,"1,579",563,443,"1,553"
2021년02월_여_80~89세,"2,588",445,188,776,269,230,680
2021년02월_여_90~99세,411,68,26,112,65,27,113
2021년02월_여_100세 이상,28,4,3,8,4,2,7
