,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년08월_계_총인구수,"78,420","33,570","9,834","2,537","3,093","3,199","1,783","2,528","6,711","2,530","4,568","3,587","4,480"
2020년08월_계_연령구간인구수,"78,420","33,570","9,834","2,537","3,093","3,199","1,783","2,528","6,711","2,530","4,568","3,587","4,480"
2020년08월_계_0~9세,"3,730","2,169",542,62,68,85,35,60,273,79,132,104,121
2020년08월_계_10~19세,"5,745","3,357",645,92,162,137,62,144,413,148,253,127,205
2020년08월_계_20~29세,"6,877","3,557","1,101",135,157,176,91,189,485,139,274,260,313
2020년08월_계_30~39세,"6,256","3,068","1,117",160,185,141,90,145,464,150,250,218,268
2020년08월_계_40~49세,"9,651","5,051","1,144",235,276,288,153,249,766,244,437,341,467
2020년08월_계_50~59세,"13,830","5,985","1,597",436,490,556,280,465,"1,339",429,805,615,833
2020년08월_계_60~69세,"14,525","5,285","1,600",596,710,686,470,559,"1,385",528,932,792,982
2020년08월_계_70~79세,"10,442","3,247","1,164",473,582,579,346,397,925,446,883,640,760
2020년08월_계_80~89세,"6,515","1,635",822,307,417,495,219,281,574,312,546,445,462
2020년08월_계_90~99세,811,204,95,38,44,55,36,38,82,52,54,45,68
2020년08월_계_100세 이상,38,12,7,3,2,1,1,1,5,3,2,0,1
2020년08월_남_총인구수,"39,353","16,685","4,940","1,310","1,569","1,577",888,"1,316","3,324","1,276","2,322","1,813","2,333"
2020년08월_남_연령구간인구수,"39,353","16,685","4,940","1,310","1,569","1,577",888,"1,316","3,324","1,276","2,322","1,813","2,333"
2020년08월_남_0~9세,"1,922","1,130",271,29,36,45,20,31,139,38,66,54,63
2020년08월_남_10~19세,"2,951","1,699",335,47,95,68,31,81,213,69,127,74,112
2020년08월_남_20~29세,"3,908","1,965",610,78,100,94,50,113,285,92,166,155,200
2020년08월_남_30~39세,"3,479","1,620",622,92,111,80,54,96,254,94,156,128,172
2020년08월_남_40~49세,"5,309","2,569",641,166,163,174,96,163,422,146,270,204,295
2020년08월_남_50~59세,"7,353","3,070",838,249,269,321,147,243,691,238,459,351,477
2020년08월_남_60~69세,"7,170","2,531",778,308,358,361,247,285,681,265,461,404,491
2020년08월_남_70~79세,"4,724","1,467",530,218,264,247,168,182,413,203,413,282,337
2020년08월_남_80~89세,"2,350",582,296,117,166,171,73,111,204,115,196,150,169
2020년08월_남_90~99세,182,50,19,5,7,16,2,10,22,15,8,11,17
2020년08월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년08월_여_총인구수,"39,067","16,885","4,894","1,227","1,524","1,622",895,"1,212","3,387","1,254","2,246","1,774","2,147"
2020년08월_여_연령구간인구수,"39,067","16,885","4,894","1,227","1,524","1,622",895,"1,212","3,387","1,254","2,246","1,774","2,147"
2020년08월_여_0~9세,"1,808","1,039",271,33,32,40,15,29,134,41,66,50,58
2020년08월_여_10~19세,"2,794","1,658",310,45,67,69,31,63,200,79,126,53,93
2020년08월_여_20~29세,"2,969","1,592",491,57,57,82,41,76,200,47,108,105,113
2020년08월_여_30~39세,"2,777","1,448",495,68,74,61,36,49,210,56,94,90,96
2020년08월_여_40~49세,"4,342","2,482",503,69,113,114,57,86,344,98,167,137,172
2020년08월_여_50~59세,"6,477","2,915",759,187,221,235,133,222,648,191,346,264,356
2020년08월_여_60~69세,"7,355","2,754",822,288,352,325,223,274,704,263,471,388,491
2020년08월_여_70~79세,"5,718","1,780",634,255,318,332,178,215,512,243,470,358,423
2020년08월_여_80~89세,"4,165","1,053",526,190,251,324,146,170,370,197,350,295,293
2020년08월_여_90~99세,629,154,76,33,37,39,34,28,60,37,46,34,51
2020년08월_여_100세 이상,33,10,7,2,2,1,1,0,5,2,2,0,1
