카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년10월_계_총인구수,"65,528","20,430","11,993","3,791","2,363","1,554","2,397","2,900","1,433","1,870","1,148","1,709","2,914","2,765","3,183","2,938","2,140"
2020년10월_계_연령구간인구수,"65,528","20,430","11,993","3,791","2,363","1,554","2,397","2,900","1,433","1,870","1,148","1,709","2,914","2,765","3,183","2,938","2,140"
2020년10월_계_0~9세,"2,967","1,075",961,104,51,50,62,87,24,47,21,30,106,77,105,108,59
2020년10월_계_10~19세,"4,722","1,948","1,159",210,118,57,139,170,60,79,29,49,142,122,133,222,85
2020년10월_계_20~29세,"5,431","2,205","1,333",222,114,56,145,197,71,103,55,71,161,160,184,231,123
2020년10월_계_30~39세,"4,455","1,624","1,220",200,100,82,120,135,47,76,56,70,131,140,179,148,127
2020년10월_계_40~49세,"7,242","2,700","1,720",348,201,107,222,252,110,141,62,110,269,228,267,328,177
2020년10월_계_50~59세,"10,938","3,700","1,924",644,391,261,387,458,205,261,180,228,403,423,561,557,355
2020년10월_계_60~69세,"12,946","3,545","1,722",937,575,374,473,635,365,422,296,431,651,607,746,623,544
2020년10월_계_70~79세,"9,479","2,250","1,102",603,484,315,460,567,289,393,234,365,595,517,573,382,350
2020년10월_계_80~89세,"6,299","1,170",739,452,279,219,331,342,218,300,193,294,382,423,383,300,274
2020년10월_계_90~99세,993,197,107,60,46,33,55,51,43,46,22,60,72,67,51,38,45
2020년10월_계_100세 이상,56,16,6,11,4,0,3,6,1,2,0,1,2,1,1,1,1
2020년10월_남_총인구수,"32,454","10,129","5,929","1,905","1,163",776,"1,172","1,404",676,905,576,807,"1,431","1,371","1,615","1,520","1,075"
2020년10월_남_연령구간인구수,"32,454","10,129","5,929","1,905","1,163",776,"1,172","1,404",676,905,576,807,"1,431","1,371","1,615","1,520","1,075"
2020년10월_남_0~9세,"1,581",573,514,54,26,27,37,48,13,28,11,16,47,43,50,58,36
2020년10월_남_10~19세,"2,507","1,028",598,99,80,34,69,92,27,43,21,28,77,72,77,119,43
2020년10월_남_20~29세,"3,138","1,307",699,145,74,37,85,111,45,63,34,41,95,84,108,134,76
2020년10월_남_30~39세,"2,423",839,605,124,60,53,72,80,31,48,35,42,76,82,104,93,79
2020년10월_남_40~49세,"3,951","1,370",899,201,120,62,138,133,60,87,41,56,160,155,169,186,114
2020년10월_남_50~59세,"5,701","1,871","1,016",342,201,127,189,245,103,139,98,122,227,216,295,320,190
2020년10월_남_60~69세,"6,443","1,684",846,477,271,206,245,302,184,214,142,213,332,329,383,325,290
2020년10월_남_70~79세,"4,236","1,015",469,284,219,147,207,247,127,162,116,168,260,227,266,178,144
2020년10월_남_80~89세,"2,221",397,256,158,104,72,118,132,74,108,75,109,141,143,146,96,92
2020년10월_남_90~99세,246,43,26,19,8,11,12,13,12,12,3,12,16,20,17,11,11
2020년10월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년10월_여_총인구수,"33,074","10,301","6,064","1,886","1,200",778,"1,225","1,496",757,965,572,902,"1,483","1,394","1,568","1,418","1,065"
2020년10월_여_연령구간인구수,"33,074","10,301","6,064","1,886","1,200",778,"1,225","1,496",757,965,572,902,"1,483","1,394","1,568","1,418","1,065"
2020년10월_여_0~9세,"1,386",502,447,50,25,23,25,39,11,19,10,14,59,34,55,50,23
2020년10월_여_10~19세,"2,215",920,561,111,38,23,70,78,33,36,8,21,65,50,56,103,42
2020년10월_여_20~29세,"2,293",898,634,77,40,19,60,86,26,40,21,30,66,76,76,97,47
2020년10월_여_30~39세,"2,032",785,615,76,40,29,48,55,16,28,21,28,55,58,75,55,48
2020년10월_여_40~49세,"3,291","1,330",821,147,81,45,84,119,50,54,21,54,109,73,98,142,63
2020년10월_여_50~59세,"5,237","1,829",908,302,190,134,198,213,102,122,82,106,176,207,266,237,165
2020년10월_여_60~69세,"6,503","1,861",876,460,304,168,228,333,181,208,154,218,319,278,363,298,254
2020년10월_여_70~79세,"5,243","1,235",633,319,265,168,253,320,162,231,118,197,335,290,307,204,206
2020년10월_여_80~89세,"4,078",773,483,294,175,147,213,210,144,192,118,185,241,280,237,204,182
2020년10월_여_90~99세,747,154,81,41,38,22,43,38,31,34,19,48,56,47,34,27,34
2020년10월_여_100세 이상,49,14,5,9,4,0,3,5,1,1,0,1,2,1,1,1,1
