카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년02월_계_총인구수,"52,944","21,865","4,660","6,893","1,786","1,769","1,376","2,327","2,408","4,035","5,234",403,188
2021년02월_계_연령구간인구수,"52,944","21,865","4,660","6,893","1,786","1,769","1,376","2,327","2,408","4,035","5,234",403,188
2021년02월_계_0~9세,"3,751","2,063",179,647,84,86,66,87,85,155,275,14,10
2021년02월_계_10~19세,"4,151","2,393",234,527,108,76,59,174,83,158,324,11,4
2021년02월_계_20~29세,"4,926","2,386",332,822,153,123,89,174,124,235,453,26,9
2021년02월_계_30~39세,"4,805","2,264",268,925,152,114,115,127,127,258,428,18,9
2021년02월_계_40~49세,"6,504","3,377",440,848,157,149,105,237,194,363,543,62,29
2021년02월_계_50~59세,"8,540","3,432",798,"1,125",287,288,233,384,332,655,888,90,28
2021년02월_계_60~69세,"8,504","2,910",853,884,323,341,300,405,465,913,952,104,54
2021년02월_계_70~79세,"7,146","1,941",909,728,296,311,243,422,540,836,835,50,35
2021년02월_계_80~89세,"4,029",947,569,336,186,250,148,275,407,407,473,22,9
2021년02월_계_90~99세,553,138,71,47,38,31,18,38,51,55,59,6,1
2021년02월_계_100세 이상,35,14,7,4,2,0,0,4,0,0,4,0,0
2021년02월_남_총인구수,"26,399","10,743","2,323","3,610",944,863,686,"1,173","1,156","1,974","2,568",247,112
2021년02월_남_연령구간인구수,"26,399","10,743","2,323","3,610",944,863,686,"1,173","1,156","1,974","2,568",247,112
2021년02월_남_0~9세,"1,909","1,046",90,347,40,47,29,39,46,72,141,6,6
2021년02월_남_10~19세,"2,165","1,241",125,257,80,36,25,99,50,75,168,7,2
2021년02월_남_20~29세,"2,758","1,277",202,488,87,61,50,98,69,147,256,17,6
2021년02월_남_30~39세,"2,478","1,100",156,507,85,53,59,74,67,142,219,12,4
2021년02월_남_40~49세,"3,652","1,691",289,483,103,96,69,153,120,245,334,46,23
2021년02월_남_50~59세,"4,729","1,778",476,640,172,160,135,248,203,361,475,62,19
2021년02월_남_60~69세,"4,272","1,384",426,465,184,186,155,201,236,453,492,61,29
2021년02월_남_70~79세,"3,083",887,369,306,133,136,112,167,217,365,341,29,21
2021년02월_남_80~89세,"1,240",308,172,110,51,79,48,86,139,103,135,7,2
2021년02월_남_90~99세,110,31,15,7,9,9,4,8,9,11,7,0,0
2021년02월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"26,545","11,122","2,337","3,283",842,906,690,"1,154","1,252","2,061","2,666",156,76
2021년02월_여_연령구간인구수,"26,545","11,122","2,337","3,283",842,906,690,"1,154","1,252","2,061","2,666",156,76
2021년02월_여_0~9세,"1,842","1,017",89,300,44,39,37,48,39,83,134,8,4
2021년02월_여_10~19세,"1,986","1,152",109,270,28,40,34,75,33,83,156,4,2
2021년02월_여_20~29세,"2,168","1,109",130,334,66,62,39,76,55,88,197,9,3
2021년02월_여_30~39세,"2,327","1,164",112,418,67,61,56,53,60,116,209,6,5
2021년02월_여_40~49세,"2,852","1,686",151,365,54,53,36,84,74,118,209,16,6
2021년02월_여_50~59세,"3,811","1,654",322,485,115,128,98,136,129,294,413,28,9
2021년02월_여_60~69세,"4,232","1,526",427,419,139,155,145,204,229,460,460,43,25
2021년02월_여_70~79세,"4,063","1,054",540,422,163,175,131,255,323,471,494,21,14
2021년02월_여_80~89세,"2,789",639,397,226,135,171,100,189,268,304,338,15,7
2021년02월_여_90~99세,443,107,56,40,29,22,14,30,42,44,52,6,1
2021년02월_여_100세 이상,32,14,4,4,2,0,0,4,0,0,4,0,0
