,세종특별자치시,세종특별자치시 세종특별자치시
2021년07월_계_총인구수,"364,364","364,364"
2021년07월_계_연령구간인구수,"364,364","364,364"
2021년07월_계_0~9세,"46,995","46,995"
2021년07월_계_10~19세,"44,340","44,340"
2021년07월_계_20~29세,"38,265","38,265"
2021년07월_계_30~39세,"61,176","61,176"
2021년07월_계_40~49세,"71,019","71,019"
2021년07월_계_50~59세,"46,878","46,878"
2021년07월_계_60~69세,"32,468","32,468"
2021년07월_계_70~79세,"14,554","14,554"
2021년07월_계_80~89세,"7,365","7,365"
2021년07월_계_90~99세,"1,268","1,268"
2021년07월_계_100세 이상,36,36
2021년07월_남_총인구수,"181,996","181,996"
2021년07월_남_연령구간인구수,"181,996","181,996"
2021년07월_남_0~9세,"24,014","24,014"
2021년07월_남_10~19세,"22,305","22,305"
2021년07월_남_20~29세,"19,589","19,589"
2021년07월_남_30~39세,"29,851","29,851"
2021년07월_남_40~49세,"36,069","36,069"
2021년07월_남_50~59세,"24,520","24,520"
2021년07월_남_60~69세,"16,110","16,110"
2021년07월_남_70~79세,"6,754","6,754"
2021년07월_남_80~89세,"2,513","2,513"
2021년07월_남_90~99세,263,263
2021년07월_남_100세 이상,8,8
2021년07월_여_총인구수,"182,368","182,368"
2021년07월_여_연령구간인구수,"182,368","182,368"
2021년07월_여_0~9세,"22,981","22,981"
2021년07월_여_10~19세,"22,035","22,035"
2021년07월_여_20~29세,"18,676","18,676"
2021년07월_여_30~39세,"31,325","31,325"
2021년07월_여_40~49세,"34,950","34,950"
2021년07월_여_50~59세,"22,358","22,358"
2021년07월_여_60~69세,"16,358","16,358"
2021년07월_여_70~79세,"7,800","7,800"
2021년07월_여_80~89세,"4,852","4,852"
2021년07월_여_90~99세,"1,005","1,005"
2021년07월_여_100세 이상,28,28
