카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년12월_계_총인구수,"1,600,837","844,993","190,034","194,720","265,866","194,373","210,186","133,018","32,412","50,527","47,475","36,807","83,718","39,393","93,153","29,155"
2020년12월_계_연령구간인구수,"1,600,837","844,993","190,034","194,720","265,866","194,373","210,186","133,018","32,412","50,527","47,475","36,807","83,718","39,393","93,153","29,155"
2020년12월_계_0~9세,"123,371","74,249","16,082","13,842","24,206","20,119","14,581","8,740","1,464","2,590","2,336","3,242","7,728","1,346","5,894","1,201"
2020년12월_계_10~19세,"149,379","86,167","19,792","20,371","26,526","19,478","18,883","11,695","2,111","3,884","3,390","3,348","8,092","2,161","7,647","2,001"
2020년12월_계_20~29세,"199,209","120,028","24,502","28,330","41,122","26,074","24,405","14,739","2,377","4,412","4,453","4,516","9,226","3,308","9,500","2,245"
2020년12월_계_30~39세,"194,677","118,377","22,877","22,663","41,249","31,588","23,337","13,011","2,210","3,877","3,271","4,753","11,519","2,630","9,674","2,018"
2020년12월_계_40~49세,"241,194","136,530","30,305","30,681","43,173","32,371","30,940","18,442","3,320","6,253","5,362","5,590","13,562","4,105","13,765","3,325"
2020년12월_계_50~59세,"273,800","137,967","32,973","34,235","43,084","27,675","37,632","24,010","5,900","8,962","8,486","6,014","13,733","7,690","17,738","5,668"
2020년12월_계_60~69세,"223,341","97,151","23,895","25,187","27,649","20,420","31,737","22,803","6,814","9,855","9,201","4,990","10,354","8,827","15,255","6,354"
2020년12월_계_70~79세,"120,519","47,351","12,310","12,447","12,171","10,423","17,429","12,444","4,584","6,358","6,511","2,677","5,532","5,507","8,230","3,896"
2020년12월_계_80~89세,"65,569","23,577","6,251","6,062","5,829","5,435","9,881","6,236","3,114","3,740","3,901","1,491","3,487","3,337","4,669","2,136"
2020년12월_계_90~99세,"9,209","3,409",991,856,823,739,"1,291",822,490,569,524,176,465,452,722,289
2020년12월_계_100세 이상,569,187,56,46,34,51,70,76,28,27,40,10,20,30,59,22
2020년12월_남_총인구수,"811,591","425,848","94,480","96,695","134,958","99,715","106,273","66,705","16,292","25,489","23,624","19,129","43,836","20,225","49,388","14,782"
2020년12월_남_연령구간인구수,"811,591","425,848","94,480","96,695","134,958","99,715","106,273","66,705","16,292","25,489","23,624","19,129","43,836","20,225","49,388","14,782"
2020년12월_남_0~9세,"63,068","37,888","8,154","7,069","12,334","10,331","7,384","4,462",749,"1,351","1,190","1,679","3,993",675,"3,070",627
2020년12월_남_10~19세,"77,703","44,796","10,306","10,625","13,773","10,092","9,786","6,040","1,129","2,062","1,766","1,739","4,234","1,127","3,958","1,066"
2020년12월_남_20~29세,"110,849","65,495","13,266","15,378","22,326","14,525","13,977","8,182","1,390","2,517","2,499","2,634","5,325","1,956","5,549","1,325"
2020년12월_남_30~39세,"103,283","61,957","11,624","11,665","21,735","16,933","12,663","6,793","1,209","2,023","1,726","2,644","6,290","1,466","5,438","1,074"
2020년12월_남_40~49세,"124,974","69,108","15,023","15,161","21,882","17,042","15,869","9,488","1,874","3,366","2,907","3,019","7,411","2,358","7,746","1,828"
2020년12월_남_50~59세,"140,958","69,133","16,464","16,858","21,656","14,155","19,253","12,279","3,238","4,799","4,513","3,162","7,493","4,168","9,884","3,036"
2020년12월_남_60~69세,"111,733","47,553","11,831","12,116","13,585","10,021","15,883","11,359","3,496","5,023","4,691","2,499","5,284","4,625","8,061","3,259"
2020년12월_남_70~79세,"54,272","21,157","5,439","5,516","5,558","4,644","7,756","5,624","2,042","2,931","2,852","1,201","2,524","2,563","3,885","1,737"
2020년12월_남_80~89세,"22,539","8,007","2,130","2,124","1,944","1,809","3,376","2,275","1,063","1,265","1,349",503,"1,190","1,177","1,587",747
2020년12월_남_90~99세,"2,051",704,231,168,159,146,311,178,101,146,120,45,87,102,183,74
2020년12월_남_100세 이상,161,50,12,15,6,17,15,25,1,6,11,4,5,8,27,9
2020년12월_여_총인구수,"789,246","419,145","95,554","98,025","130,908","94,658","103,913","66,313","16,120","25,038","23,851","17,678","39,882","19,168","43,765","14,373"
2020년12월_여_연령구간인구수,"789,246","419,145","95,554","98,025","130,908","94,658","103,913","66,313","16,120","25,038","23,851","17,678","39,882","19,168","43,765","14,373"
2020년12월_여_0~9세,"60,303","36,361","7,928","6,773","11,872","9,788","7,197","4,278",715,"1,239","1,146","1,563","3,735",671,"2,824",574
2020년12월_여_10~19세,"71,676","41,371","9,486","9,746","12,753","9,386","9,097","5,655",982,"1,822","1,624","1,609","3,858","1,034","3,689",935
2020년12월_여_20~29세,"88,360","54,533","11,236","12,952","18,796","11,549","10,428","6,557",987,"1,895","1,954","1,882","3,901","1,352","3,951",920
2020년12월_여_30~39세,"91,394","56,420","11,253","10,998","19,514","14,655","10,674","6,218","1,001","1,854","1,545","2,109","5,229","1,164","4,236",944
2020년12월_여_40~49세,"116,220","67,422","15,282","15,520","21,291","15,329","15,071","8,954","1,446","2,887","2,455","2,571","6,151","1,747","6,019","1,497"
2020년12월_여_50~59세,"132,842","68,834","16,509","17,377","21,428","13,520","18,379","11,731","2,662","4,163","3,973","2,852","6,240","3,522","7,854","2,632"
2020년12월_여_60~69세,"111,608","49,598","12,064","13,071","14,064","10,399","15,854","11,444","3,318","4,832","4,510","2,491","5,070","4,202","7,194","3,095"
2020년12월_여_70~79세,"66,247","26,194","6,871","6,931","6,613","5,779","9,673","6,820","2,542","3,427","3,659","1,476","3,008","2,944","4,345","2,159"
2020년12월_여_80~89세,"43,030","15,570","4,121","3,938","3,885","3,626","6,505","3,961","2,051","2,475","2,552",988,"2,297","2,160","3,082","1,389"
2020년12월_여_90~99세,"7,158","2,705",760,688,664,593,980,644,389,423,404,131,378,350,539,215
2020년12월_여_100세 이상,408,137,44,31,28,34,55,51,27,21,29,6,15,22,32,13
