카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년03월_계_총인구수,"318,059","18,951","24,511","16,358","21,163","8,837","27,252","48,875","20,590","32,070","26,582","30,299","16,960","14,332","11,279"
2021년03월_계_연령구간인구수,"318,059","18,951","24,511","16,358","21,163","8,837","27,252","48,875","20,590","32,070","26,582","30,299","16,960","14,332","11,279"
2021년03월_계_0~9세,"23,449",835,"1,945","1,280","1,785",464,"1,593","3,498","1,162","2,099","2,086","3,383","1,534","1,155",630
2021년03월_계_10~19세,"29,974","1,110","3,115","1,220","2,305",599,"2,039","4,306","1,683","3,433","3,176","3,282","1,844","1,255",607
2021년03월_계_20~29세,"45,144","2,550","3,189","2,120","2,804","1,348","4,193","7,902","3,164","5,751","3,650","3,337","2,247","1,759","1,130"
2021년03월_계_30~39세,"41,864","2,298","2,806","2,028","2,709","1,265","3,854","7,711","2,229","3,564","3,140","4,506","2,357","1,930","1,467"
2021년03월_계_40~49세,"50,951","2,477","4,321","2,519","3,641","1,363","4,117","8,383","2,903","5,163","4,211","5,465","2,605","2,285","1,498"
2021년03월_계_50~59세,"61,295","3,691","4,719","3,251","3,695","1,725","5,269","9,324","4,618","6,644","5,443","4,875","3,272","2,689","2,080"
2021년03월_계_60~69세,"42,302","3,680","2,769","2,480","2,711","1,280","3,995","5,474","3,052","3,501","3,374","3,469","2,150","2,151","2,216"
2021년03월_계_70~79세,"16,641","1,688","1,230","1,032","1,106",584,"1,508","1,695","1,228","1,335","1,081","1,467",699,792,"1,196"
2021년03월_계_80~89세,"5,753",565,363,374,360,188,620,508,498,513,378,465,222,289,410
2021년03월_계_90~99세,666,55,53,53,46,20,61,74,52,67,43,47,28,26,41
2021년03월_계_100세 이상,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021년03월_남_총인구수,"162,292","9,603","12,592","8,305","10,706","4,692","13,792","25,351","10,501","16,425","13,320","15,147","8,486","7,386","5,986"
2021년03월_남_연령구간인구수,"162,292","9,603","12,592","8,305","10,706","4,692","13,792","25,351","10,501","16,425","13,320","15,147","8,486","7,386","5,986"
2021년03월_남_0~9세,"12,060",428,"1,017",650,924,236,823,"1,778",653,"1,071","1,077","1,700",772,608,323
2021년03월_남_10~19세,"15,904",571,"1,697",658,"1,200",316,"1,097","2,270",888,"1,791","1,736","1,704",981,658,337
2021년03월_남_20~29세,"25,108","1,438","1,824","1,150","1,540",790,"2,309","4,315","1,770","3,288","2,087","1,798","1,198",957,644
2021년03월_남_30~39세,"22,387","1,315","1,452","1,085","1,432",706,"2,120","4,259","1,215","1,930","1,583","2,223","1,182","1,034",851
2021년03월_남_40~49세,"24,935","1,333","2,003","1,280","1,753",734,"2,070","4,107","1,442","2,405","1,840","2,686","1,210","1,193",879
2021년03월_남_50~59세,"30,800","1,798","2,456","1,633","1,880",900,"2,536","4,723","2,280","3,333","2,626","2,463","1,635","1,357","1,180"
2021년03월_남_60~69세,"21,012","1,734","1,389","1,213","1,314",641,"1,928","2,818","1,544","1,788","1,719","1,691","1,082","1,079","1,072"
2021년03월_남_70~79세,"7,958",769,607,480,516,292,697,893,536,629,529,707,350,403,550
2021년03월_남_80~89세,"2,011",209,140,149,137,75,201,171,163,179,116,162,72,92,145
2021년03월_남_90~99세,116,8,7,7,10,2,11,17,10,11,7,13,4,4,5
2021년03월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년03월_여_총인구수,"155,767","9,348","11,919","8,053","10,457","4,145","13,460","23,524","10,089","15,645","13,262","15,152","8,474","6,946","5,293"
2021년03월_여_연령구간인구수,"155,767","9,348","11,919","8,053","10,457","4,145","13,460","23,524","10,089","15,645","13,262","15,152","8,474","6,946","5,293"
2021년03월_여_0~9세,"11,389",407,928,630,861,228,770,"1,720",509,"1,028","1,009","1,683",762,547,307
2021년03월_여_10~19세,"14,070",539,"1,418",562,"1,105",283,942,"2,036",795,"1,642","1,440","1,578",863,597,270
2021년03월_여_20~29세,"20,036","1,112","1,365",970,"1,264",558,"1,884","3,587","1,394","2,463","1,563","1,539","1,049",802,486
2021년03월_여_30~39세,"19,477",983,"1,354",943,"1,277",559,"1,734","3,452","1,014","1,634","1,557","2,283","1,175",896,616
2021년03월_여_40~49세,"26,016","1,144","2,318","1,239","1,888",629,"2,047","4,276","1,461","2,758","2,371","2,779","1,395","1,092",619
2021년03월_여_50~59세,"30,495","1,893","2,263","1,618","1,815",825,"2,733","4,601","2,338","3,311","2,817","2,412","1,637","1,332",900
2021년03월_여_60~69세,"21,290","1,946","1,380","1,267","1,397",639,"2,067","2,656","1,508","1,713","1,655","1,778","1,068","1,072","1,144"
2021년03월_여_70~79세,"8,683",919,623,552,590,292,811,802,692,706,552,760,349,389,646
2021년03월_여_80~89세,"3,742",356,223,225,223,113,419,337,335,334,262,303,150,197,265
2021년03월_여_90~99세,550,47,46,46,36,18,50,57,42,56,36,34,24,22,36
2021년03월_여_100세 이상,19,2,1,1,1,1,3,0,1,0,0,3,2,0,4
