카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년03월_계_총인구수,"475,501","37,143","39,168","28,161","22,791","28,612","32,323","27,186","30,773","27,572","24,897","46,127","27,309","20,591","15,144","11,230","56,474"
2021년03월_계_연령구간인구수,"475,501","37,143","39,168","28,161","22,791","28,612","32,323","27,186","30,773","27,572","24,897","46,127","27,309","20,591","15,144","11,230","56,474"
2021년03월_계_0~9세,"28,823","2,421","2,311","1,086",964,"1,509","1,739","1,159","2,228","3,210",980,"2,585","1,580","1,070",732,706,"4,543"
2021년03월_계_10~19세,"38,107","2,293","2,655","1,787","1,545","2,407","2,835","1,650","2,573","2,277","1,592","3,502","2,079","1,626","1,164",762,"7,360"
2021년03월_계_20~29세,"66,590","5,046","5,385","4,269","3,681","4,378","4,426","4,931","4,186","2,774","3,630","6,525","3,870","2,946","2,059","1,481","7,003"
2021년03월_계_30~39세,"67,654","6,018","5,401","3,820","2,991","3,841","4,068","4,179","5,142","4,951","3,356","6,543","4,065","2,761","2,013","1,755","6,750"
2021년03월_계_40~49세,"75,494","5,740","5,869","3,860","3,237","4,671","5,035","4,033","5,206","5,223","3,495","7,516","4,144","3,144","2,219","1,521","10,581"
2021년03월_계_50~59세,"76,783","5,895","6,662","4,872","3,940","4,761","5,612","4,144","4,557","3,659","4,185","7,651","4,447","3,468","2,531","1,965","8,434"
2021년03월_계_60~69세,"64,926","5,143","5,613","4,455","3,520","3,706","4,607","3,569","3,613","2,942","3,781","6,324","3,924","3,171","2,450","1,719","6,389"
2021년03월_계_70~79세,"38,789","3,119","3,495","2,755","2,071","2,295","2,715","2,367","2,261","1,713","2,575","3,824","2,244","1,631","1,384",873,"3,467"
