카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년04월_계_총인구수,"31,889","10,139","3,178","2,162","2,046","4,456","2,251","1,565","2,268","1,770","2,054"
2020년04월_계_연령구간인구수,"31,889","10,139","3,178","2,162","2,046","4,456","2,251","1,565","2,268","1,770","2,054"
2020년04월_계_0~9세,"1,479",641,105,56,78,194,64,36,60,38,207
2020년04월_계_10~19세,"1,916",898,144,98,85,251,99,76,105,39,121
2020년04월_계_20~29세,"2,120",923,161,139,112,260,109,76,119,98,123
2020년04월_계_30~39세,"2,063",826,162,131,101,259,100,65,105,71,243
2020년04월_계_40~49세,"3,341","1,334",251,181,165,411,216,134,204,139,306
2020년04월_계_50~59세,"5,937","1,814",621,394,364,870,443,347,462,286,336
2020년04월_계_60~69세,"6,587","1,631",755,506,454,952,564,395,528,435,367
2020년04월_계_70~79세,"4,783","1,173",553,361,362,701,378,244,404,386,221
2020년04월_계_80~89세,"3,164",753,374,257,285,469,244,169,246,252,115
2020년04월_계_90~99세,472,140,50,38,39,82,29,22,34,23,15
2020년04월_계_100세 이상,27,6,2,1,1,7,5,1,1,3,0
2020년04월_남_총인구수,"16,050","4,999","1,595","1,054","1,030","2,226","1,126",788,"1,195",906,"1,131"
2020년04월_남_연령구간인구수,"16,050","4,999","1,595","1,054","1,030","2,226","1,126",788,"1,195",906,"1,131"
2020년04월_남_0~9세,774,343,53,30,40,103,35,20,31,18,101
2020년04월_남_10~19세,"1,032",440,90,45,44,148,55,48,67,24,71
2020년04월_남_20~29세,"1,224",518,96,87,65,144,65,39,80,65,65
2020년04월_남_30~39세,"1,123",403,95,74,64,130,52,36,68,41,160
2020년04월_남_40~49세,"1,967",715,144,116,105,249,132,75,132,93,206
2020년04월_남_50~59세,"3,162",955,324,195,200,450,232,182,259,165,200
2020년04월_남_60~69세,"3,418",828,398,260,244,486,301,218,273,215,195
2020년04월_남_70~79세,"2,133",507,254,155,153,315,174,108,190,184,93
2020년04월_남_80~89세,"1,103",270,128,82,104,175,71,55,90,94,34
2020년04월_남_90~99세,109,19,13,9,11,23,9,7,5,7,6
2020년04월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년04월_여_총인구수,"15,839","5,140","1,583","1,108","1,016","2,230","1,125",777,"1,073",864,923
2020년04월_여_연령구간인구수,"15,839","5,140","1,583","1,108","1,016","2,230","1,125",777,"1,073",864,923
2020년04월_여_0~9세,705,298,52,26,38,91,29,16,29,20,106
2020년04월_여_10~19세,884,458,54,53,41,103,44,28,38,15,50
2020년04월_여_20~29세,896,405,65,52,47,116,44,37,39,33,58
2020년04월_여_30~39세,940,423,67,57,37,129,48,29,37,30,83
2020년04월_여_40~49세,"1,374",619,107,65,60,162,84,59,72,46,100
2020년04월_여_50~59세,"2,775",859,297,199,164,420,211,165,203,121,136
2020년04월_여_60~69세,"3,169",803,357,246,210,466,263,177,255,220,172
2020년04월_여_70~79세,"2,650",666,299,206,209,386,204,136,214,202,128
2020년04월_여_80~89세,"2,061",483,246,175,181,294,173,114,156,158,81
2020년04월_여_90~99세,363,121,37,29,28,59,20,15,29,16,9
2020년04월_여_100세 이상,22,5,2,0,1,4,5,1,1,3,0
