,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년07월_계_총인구수,"299,210","25,635","30,372","20,248","16,322","20,228","23,834","28,949","19,205","31,415","21,589","34,856","26,557"
2020년07월_계_연령구간인구수,"299,210","25,635","30,372","20,248","16,322","20,228","23,834","28,949","19,205","31,415","21,589","34,856","26,557"
2020년07월_계_0~9세,"19,374","1,406","2,063",863,669,"1,033","1,585","1,969",930,"2,265","1,587","1,937","3,067"
2020년07월_계_10~19세,"27,381","2,374","2,848","1,355","1,063","1,685","2,673","2,886","1,399","3,467","1,876","2,901","2,854"
2020년07월_계_20~29세,"44,851","3,721","4,386","3,102","2,598","3,516","4,080","4,361","2,873","4,826","3,081","5,320","2,987"
2020년07월_계_30~39세,"38,590","2,915","3,763","2,631","2,085","2,891","2,658","3,735","2,594","4,030","2,749","4,540","3,999"
2020년07월_계_40~49세,"46,697","3,757","4,580","2,867","2,165","2,794","4,080","4,559","2,597","5,370","3,286","5,404","5,238"
2020년07월_계_50~59세,"61,374","5,386","6,236","4,447","3,607","4,492","5,345","5,864","3,992","6,423","4,300","7,237","4,045"
2020년07월_계_60~69세,"37,298","3,684","4,078","3,046","2,589","2,553","2,225","3,522","2,939","2,998","2,743","4,216","2,705"
2020년07월_계_70~79세,"15,366","1,568","1,678","1,298","1,035",792,615,"1,349","1,271","1,264","1,277","2,091","1,128"
2020년07월_계_80~89세,"7,144",704,674,574,429,397,474,607,516,660,603,"1,043",463
2020년07월_계_90~99세,"1,067",106,62,59,77,70,97,92,86,105,85,158,70
2020년07월_계_100세 이상,68,14,4,6,5,5,2,5,8,7,2,9,1
2020년07월_남_총인구수,"149,306","12,918","15,372","10,612","8,123","9,751","11,995","14,296","9,578","15,640","10,670","17,281","13,070"
2020년07월_남_연령구간인구수,"149,306","12,918","15,372","10,612","8,123","9,751","11,995","14,296","9,578","15,640","10,670","17,281","13,070"
2020년07월_남_0~9세,"9,867",695,"1,060",466,334,543,782,999,475,"1,138",821,976,"1,578"
2020년07월_남_10~19세,"14,133","1,273","1,473",707,546,879,"1,394","1,460",719,"1,750",974,"1,493","1,465"
2020년07월_남_20~29세,"23,430","1,975","2,350","1,662","1,348","1,807","2,088","2,329","1,471","2,565","1,547","2,802","1,486"
2020년07월_남_30~39세,"20,020","1,548","2,003","1,481","1,148","1,458","1,338","1,883","1,430","2,057","1,393","2,400","1,881"
2020년07월_남_40~49세,"23,218","1,871","2,304","1,551","1,095","1,264","1,960","2,199","1,319","2,590","1,650","2,690","2,725"
2020년07월_남_50~59세,"30,017","2,692","3,041","2,342","1,724","2,008","2,683","2,837","1,906","3,194","2,082","3,554","1,954"
2020년07월_남_60~69세,"19,201","1,876","2,093","1,604","1,297","1,336","1,327","1,790","1,470","1,587","1,402","2,149","1,270"
2020년07월_남_70~79세,"6,901",728,804,612,482,336,276,594,575,530,576,857,531
2020년07월_남_80~89세,"2,276",231,233,173,135,103,134,177,190,209,207,322,162
2020년07월_남_90~99세,227,27,11,12,14,15,13,26,20,18,17,36,18
2020년07월_남_100세 이상,16,2,0,2,0,2,0,2,3,2,1,2,0
2020년07월_여_총인구수,"149,904","12,717","15,000","9,636","8,199","10,477","11,839","14,653","9,627","15,775","10,919","17,575","13,487"
2020년07월_여_연령구간인구수,"149,904","12,717","15,000","9,636","8,199","10,477","11,839","14,653","9,627","15,775","10,919","17,575","13,487"
2020년07월_여_0~9세,"9,507",711,"1,003",397,335,490,803,970,455,"1,127",766,961,"1,489"
2020년07월_여_10~19세,"13,248","1,101","1,375",648,517,806,"1,279","1,426",680,"1,717",902,"1,408","1,389"
2020년07월_여_20~29세,"21,421","1,746","2,036","1,440","1,250","1,709","1,992","2,032","1,402","2,261","1,534","2,518","1,501"
2020년07월_여_30~39세,"18,570","1,367","1,760","1,150",937,"1,433","1,320","1,852","1,164","1,973","1,356","2,140","2,118"
2020년07월_여_40~49세,"23,479","1,886","2,276","1,316","1,070","1,530","2,120","2,360","1,278","2,780","1,636","2,714","2,513"
2020년07월_여_50~59세,"31,357","2,694","3,195","2,105","1,883","2,484","2,662","3,027","2,086","3,229","2,218","3,683","2,091"
2020년07월_여_60~69세,"18,097","1,808","1,985","1,442","1,292","1,217",898,"1,732","1,469","1,411","1,341","2,067","1,435"
2020년07월_여_70~79세,"8,465",840,874,686,553,456,339,755,696,734,701,"1,234",597
2020년07월_여_80~89세,"4,868",473,441,401,294,294,340,430,326,451,396,721,301
2020년07월_여_90~99세,840,79,51,47,63,55,84,66,66,87,68,122,52
2020년07월_여_100세 이상,52,12,4,4,5,3,2,3,5,5,1,7,1
