카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년09월_계_총인구수,"3,399,749","41,593","107,689","89,410","114,252","357,558","271,980","269,251","286,327","402,749","314,728","234,135","135,330","210,362","177,266","214,345","172,774"
2020년09월_계_연령구간인구수,"3,399,749","41,593","107,689","89,410","114,252","357,558","271,980","269,251","286,327","402,749","314,728","234,135","135,330","210,362","177,266","214,345","172,774"
2020년09월_계_0~9세,"235,871","1,364","5,605","4,180","5,340","21,366","19,882","18,379","19,426","28,766","20,627","13,295","19,959","15,152","10,452","12,802","19,276"
2020년09월_계_10~19세,"274,287","2,076","7,281","5,220","7,556","25,118","25,090","23,345","23,760","38,437","25,807","18,027","11,330","16,588","11,978","15,407","17,267"
2020년09월_계_20~29세,"432,803","5,634","13,504","10,589","12,109","52,244","33,040","35,382","38,219","49,335","40,355","33,537","12,115","26,342","24,394","29,189","16,815"
2020년09월_계_30~39세,"424,118","4,480","11,269","10,503","10,886","47,547","33,633","30,747","34,278","47,181","37,959","25,783","27,059","27,878","24,071","25,748","25,096"
2020년09월_계_40~49세,"512,964","5,491","14,641","12,075","15,396","51,458","43,334","42,242","40,935","66,179","46,614","32,477","22,882","32,012","25,669","29,778","31,781"
2020년09월_계_50~59세,"572,468","7,109","18,016","14,904","19,812","58,547","44,812","43,059","54,752","70,524","55,523","41,092","16,692","34,369","27,783","41,739","23,735"
2020년09월_계_60~69세,"525,091","7,836","18,899","16,011","21,951","55,179","40,655","40,659","44,627","57,098","50,707","38,343","15,447","32,222","28,309","36,253","20,895"
2020년09월_계_70~79세,"291,859","5,083","12,309","10,695","14,557","31,647","22,200","24,893","21,134","30,669","26,110","21,627","6,733","18,095","17,051","16,954","12,102"
2020년09월_계_80~89세,"113,509","2,067","5,303","4,548","5,777","12,717","8,102","9,276","8,062","12,714","9,538","8,592","2,618","6,784","6,619","5,755","5,037"
2020년09월_계_90~99세,"14,908",369,740,584,735,"1,507","1,096","1,131","1,035","1,687","1,326","1,162",450,835,876,649,726
2020년09월_계_100세 이상,"1,871",84,122,101,133,228,136,138,99,159,162,200,45,85,64,71,44
2020년09월_남_총인구수,"1,665,554","20,345","52,179","43,821","56,298","172,829","132,456","131,745","141,698","193,893","156,796","114,368","69,941","101,407","83,830","108,367","85,581"
2020년09월_남_연령구간인구수,"1,665,554","20,345","52,179","43,821","56,298","172,829","132,456","131,745","141,698","193,893","156,796","114,368","69,941","101,407","83,830","108,367","85,581"
2020년09월_남_0~9세,"120,936",715,"2,919","2,213","2,697","10,833","10,290","9,340","10,026","14,884","10,554","6,824","10,266","7,711","5,376","6,498","9,790"
2020년09월_남_10~19세,"141,794","1,051","3,672","2,698","3,913","12,808","13,115","12,092","12,340","19,861","13,445","9,236","5,769","8,535","6,156","8,077","9,026"
2020년09월_남_20~29세,"225,759","2,806","6,673","5,364","6,614","25,689","17,335","18,759","20,587","25,809","21,673","18,111","6,490","13,381","11,910","15,659","8,899"
2020년09월_남_30~39세,"216,901","2,424","5,828","5,637","5,877","24,276","16,868","15,743","17,751","22,978","20,053","13,393","13,809","14,001","11,992","13,812","12,459"
2020년09월_남_40~49세,"257,967","2,972","7,574","6,446","8,080","25,958","21,116","21,144","20,247","31,396","23,866","16,146","12,820","15,635","12,589","15,603","16,375"
2020년09월_남_50~59세,"277,630","3,590","9,190","7,583","10,072","28,387","21,262","20,979","26,159","33,531","27,113","19,475","8,553","16,231","12,738","20,815","11,952"
2020년09월_남_60~69세,"248,751","3,692","8,825","7,594","10,494","25,965","18,918","18,715","22,002","27,003","24,505","17,901","7,891","14,842","12,653","18,018","9,733"
2020년09월_남_70~79세,"131,473","2,213","5,362","4,548","6,338","13,932","10,218","11,162","9,668","13,524","11,986","9,866","3,361","8,248","7,673","7,874","5,500"
2020년09월_남_80~89세,"40,678",762,"1,927","1,553","2,035","4,575","3,061","3,539","2,692","4,499","3,307","3,100",892,"2,610","2,514","1,899","1,713"
2020년09월_남_90~99세,"3,252",101,176,154,145,358,251,248,204,364,260,274,77,194,216,103,127
2020년09월_남_100세 이상,413,19,33,31,33,48,22,24,22,44,34,42,13,19,13,9,7
2020년09월_여_총인구수,"1,734,195","21,248","55,510","45,589","57,954","184,729","139,524","137,506","144,629","208,856","157,932","119,767","65,389","108,955","93,436","105,978","87,193"
2020년09월_여_연령구간인구수,"1,734,195","21,248","55,510","45,589","57,954","184,729","139,524","137,506","144,629","208,856","157,932","119,767","65,389","108,955","93,436","105,978","87,193"
2020년09월_여_0~9세,"114,935",649,"2,686","1,967","2,643","10,533","9,592","9,039","9,400","13,882","10,073","6,471","9,693","7,441","5,076","6,304","9,486"
2020년09월_여_10~19세,"132,493","1,025","3,609","2,522","3,643","12,310","11,975","11,253","11,420","18,576","12,362","8,791","5,561","8,053","5,822","7,330","8,241"
2020년09월_여_20~29세,"207,044","2,828","6,831","5,225","5,495","26,555","15,705","16,623","17,632","23,526","18,682","15,426","5,625","12,961","12,484","13,530","7,916"
2020년09월_여_30~39세,"207,217","2,056","5,441","4,866","5,009","23,271","16,765","15,004","16,527","24,203","17,906","12,390","13,250","13,877","12,079","11,936","12,637"
2020년09월_여_40~49세,"254,997","2,519","7,067","5,629","7,316","25,500","22,218","21,098","20,688","34,783","22,748","16,331","10,062","16,377","13,080","14,175","15,406"
2020년09월_여_50~59세,"294,838","3,519","8,826","7,321","9,740","30,160","23,550","22,080","28,593","36,993","28,410","21,617","8,139","18,138","15,045","20,924","11,783"
2020년09월_여_60~69세,"276,340","4,144","10,074","8,417","11,457","29,214","21,737","21,944","22,625","30,095","26,202","20,442","7,556","17,380","15,656","18,235","11,162"
2020년09월_여_70~79세,"160,386","2,870","6,947","6,147","8,219","17,715","11,982","13,731","11,466","17,145","14,124","11,761","3,372","9,847","9,378","9,080","6,602"
2020년09월_여_80~89세,"72,831","1,305","3,376","2,995","3,742","8,142","5,041","5,737","5,370","8,215","6,231","5,492","1,726","4,174","4,105","3,856","3,324"
2020년09월_여_90~99세,"11,656",268,564,430,590,"1,149",845,883,831,"1,323","1,066",888,373,641,660,546,599
