카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년08월_계_총인구수,"458,505","26,477","35,974","28,577","9,789","5,506","8,243","58,108","39,426","22,719","61,621","41,077","41,203","30,696","49,089"
2020년08월_계_연령구간인구수,"458,505","26,477","35,974","28,577","9,789","5,506","8,243","58,108","39,426","22,719","61,621","41,077","41,203","30,696","49,089"
2020년08월_계_0~9세,"53,693","1,713","4,451","2,351",326,150,265,"5,304","5,188","1,651","7,023","6,011","6,577","4,968","7,715"
2020년08월_계_10~19세,"46,500","2,282","3,464","2,417",558,269,463,"6,258","5,543","2,116","6,984","5,027","3,542","2,512","5,065"
2020년08월_계_20~29세,"50,039","3,224","3,496","2,971",931,501,827,"7,582","3,886","3,169","7,428","3,751","5,022","2,691","4,560"
2020년08월_계_30~39세,"73,392","2,895","6,043","3,874",857,395,663,"7,460","5,878","2,944","9,230","6,817","9,935","7,070","9,331"
2020년08월_계_40~49세,"85,274","4,059","6,524","4,770","1,287",617,916,"10,014","8,478","3,827","11,621","9,023","7,809","5,753","10,576"
2020년08월_계_50~59세,"65,406","5,150","4,948","4,917","2,228","1,197","1,743","10,194","4,913","4,181","8,875","4,780","3,773","2,975","5,532"
2020년08월_계_60~69세,"47,306","3,996","4,199","4,108","1,960","1,245","1,676","6,250","3,089","2,687","5,818","3,212","2,736","2,618","3,712"
2020년08월_계_70~79세,"25,225","2,001","1,947","2,143","1,057",698,"1,058","3,343","1,730","1,446","3,254","1,763","1,315","1,589","1,881"
2020년08월_계_80~89세,"10,169","1,032",763,867,511,358,561,"1,490",647,610,"1,230",602,433,446,619
2020년08월_계_90~99세,"1,428",121,125,151,72,71,65,200,71,82,150,91,59,72,98
2020년08월_계_100세 이상,73,4,14,8,2,5,6,13,3,6,8,0,2,2,0
2020년08월_남_총인구수,"229,922","14,127","18,010","15,070","5,719","3,024","4,489","28,731","19,198","11,359","30,235","20,203","20,520","15,211","24,026"
2020년08월_남_연령구간인구수,"229,922","14,127","18,010","15,070","5,719","3,024","4,489","28,731","19,198","11,359","30,235","20,203","20,520","15,211","24,026"
2020년08월_남_0~9세,"27,408",885,"2,308","1,167",174,72,143,"2,635","2,593",883,"3,578","3,097","3,374","2,533","3,966"
2020년08월_남_10~19세,"23,714","1,226","1,786","1,250",305,138,260,"3,233","2,789","1,096","3,568","2,466","1,735","1,274","2,588"
2020년08월_남_20~29세,"25,869","1,912","1,775","1,623",584,303,494,"4,051","1,925","1,686","3,685","1,938","2,407","1,294","2,192"
2020년08월_남_30~39세,"36,076","1,633","2,945","2,165",542,221,392,"3,626","2,705","1,497","4,412","3,198","4,979","3,525","4,236"
2020년08월_남_40~49세,"44,356","2,276","3,385","2,693",831,388,561,"4,886","4,200","1,925","5,717","4,616","4,243","3,117","5,518"
2020년08월_남_50~59세,"33,462","2,784","2,459","2,691","1,397",693,"1,000","5,084","2,493","2,093","4,448","2,422","1,775","1,408","2,715"
2020년08월_남_60~69세,"23,061","2,110","2,067","2,114","1,129",682,895,"3,135","1,422","1,295","2,767","1,440","1,224","1,121","1,660"
2020년08월_남_70~79세,"11,776",894,967,"1,007",532,376,498,"1,474",805,645,"1,540",795,605,753,885
2020년08월_남_80~89세,"3,841",373,286,327,205,137,223,544,248,225,483,215,168,163,244
2020년08월_남_90~99세,340,32,29,30,20,13,21,60,16,14,36,16,9,22,22
2020년08월_남_100세 이상,19,2,3,3,0,1,2,3,2,0,1,0,1,1,0
2020년08월_여_총인구수,"228,583","12,350","17,964","13,507","4,070","2,482","3,754","29,377","20,228","11,360","31,386","20,874","20,683","15,485","25,063"
2020년08월_여_연령구간인구수,"228,583","12,350","17,964","13,507","4,070","2,482","3,754","29,377","20,228","11,360","31,386","20,874","20,683","15,485","25,063"
2020년08월_여_0~9세,"26,285",828,"2,143","1,184",152,78,122,"2,669","2,595",768,"3,445","2,914","3,203","2,435","3,749"
2020년08월_여_10~19세,"22,786","1,056","1,678","1,167",253,131,203,"3,025","2,754","1,020","3,416","2,561","1,807","1,238","2,477"
2020년08월_여_20~29세,"24,170","1,312","1,721","1,348",347,198,333,"3,531","1,961","1,483","3,743","1,813","2,615","1,397","2,368"
2020년08월_여_30~39세,"37,316","1,262","3,098","1,709",315,174,271,"3,834","3,173","1,447","4,818","3,619","4,956","3,545","5,095"
2020년08월_여_40~49세,"40,918","1,783","3,139","2,077",456,229,355,"5,128","4,278","1,902","5,904","4,407","3,566","2,636","5,058"
2020년08월_여_50~59세,"31,944","2,366","2,489","2,226",831,504,743,"5,110","2,420","2,088","4,427","2,358","1,998","1,567","2,817"
2020년08월_여_60~69세,"24,245","1,886","2,132","1,994",831,563,781,"3,115","1,667","1,392","3,051","1,772","1,512","1,497","2,052"
2020년08월_여_70~79세,"13,449","1,107",980,"1,136",525,322,560,"1,869",925,801,"1,714",968,710,836,996
2020년08월_여_80~89세,"6,328",659,477,540,306,221,338,946,399,385,747,387,265,283,375
2020년08월_여_90~99세,"1,088",89,96,121,52,58,44,140,55,68,114,75,50,50,76
2020년08월_여_100세 이상,54,2,11,5,2,4,4,10,1,6,7,0,1,1,0
