,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년04월_계_총인구수,"162,227","14,382","29,498","37,307","20,970","23,015","37,055"
2021년04월_계_연령구간인구수,"162,227","14,382","29,498","37,307","20,970","23,015","37,055"
2021년04월_계_0~9세,"12,849",873,"2,166","2,707","1,498","2,317","3,288"
2021년04월_계_10~19세,"14,285",956,"2,400","3,771","2,016","2,055","3,087"
2021년04월_계_20~29세,"23,148","2,462","4,176","4,932","3,264","3,166","5,148"
2021년04월_계_30~39세,"22,571","2,611","4,127","4,629","2,393","3,490","5,321"
2021년04월_계_40~49세,"24,184","1,739","4,376","5,831","3,098","3,531","5,609"
2021년04월_계_50~59세,"29,105","2,012","5,162","6,779","4,161","4,086","6,905"
2021년04월_계_60~69세,"21,985","2,196","3,899","5,439","2,800","2,759","4,892"
2021년04월_계_70~79세,"9,082","1,013","2,020","2,187","1,052",991,"1,819"
2021년04월_계_80~89세,"4,264",435,"1,028",881,572,528,820
2021년04월_계_90~99세,729,83,140,149,108,90,159
2021년04월_계_100세 이상,25,2,4,2,8,2,7
2021년04월_남_총인구수,"80,714","7,302","15,019","18,520","10,292","11,321","18,260"
2021년04월_남_연령구간인구수,"80,714","7,302","15,019","18,520","10,292","11,321","18,260"
2021년04월_남_0~9세,"6,662",469,"1,136","1,346",776,"1,196","1,739"
2021년04월_남_10~19세,"7,345",503,"1,235","1,944","1,074","1,071","1,518"
2021년04월_남_20~29세,"12,189","1,269","2,277","2,605","1,685","1,637","2,716"
2021년04월_남_30~39세,"11,642","1,449","2,246","2,374","1,192","1,682","2,699"
2021년04월_남_40~49세,"11,991",911,"2,307","2,828","1,455","1,752","2,738"
2021년04월_남_50~59세,"13,992",942,"2,567","3,272","1,990","1,954","3,267"
2021년04월_남_60~69세,"10,965","1,085","1,948","2,714","1,419","1,393","2,406"
2021년04월_남_70~79세,"4,280",500,895,"1,077",486,440,882
2021년04월_남_80~89세,"1,480",156,372,329,193,174,256
2021년04월_남_90~99세,165,17,36,30,22,22,38
2021년04월_남_100세 이상,3,1,0,1,0,0,1
2021년04월_여_총인구수,"81,513","7,080","14,479","18,787","10,678","11,694","18,795"
2021년04월_여_연령구간인구수,"81,513","7,080","14,479","18,787","10,678","11,694","18,795"
2021년04월_여_0~9세,"6,187",404,"1,030","1,361",722,"1,121","1,549"
2021년04월_여_10~19세,"6,940",453,"1,165","1,827",942,984,"1,569"
2021년04월_여_20~29세,"10,959","1,193","1,899","2,327","1,579","1,529","2,432"
2021년04월_여_30~39세,"10,929","1,162","1,881","2,255","1,201","1,808","2,622"
2021년04월_여_40~49세,"12,193",828,"2,069","3,003","1,643","1,779","2,871"
2021년04월_여_50~59세,"15,113","1,070","2,595","3,507","2,171","2,132","3,638"
2021년04월_여_60~69세,"11,020","1,111","1,951","2,725","1,381","1,366","2,486"
2021년04월_여_70~79세,"4,802",513,"1,125","1,110",566,551,937
2021년04월_여_80~89세,"2,784",279,656,552,379,354,564
2021년04월_여_90~99세,564,66,104,119,86,68,121
2021년04월_여_100세 이상,22,1,4,1,8,2,6
