,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년11월_계_총인구수,"574,789","41,685","24,226","20,379","30,594","51,760","17,856","21,518","20,557","34,198","24,895","24,411","34,088","14,043","15,076","36,384","42,981","30,897","43,038","23,395","22,808"
2021년11월_계_연령구간인구수,"574,789","41,685","24,226","20,379","30,594","51,760","17,856","21,518","20,557","34,198","24,895","24,411","34,088","14,043","15,076","36,384","42,981","30,897","43,038","23,395","22,808"
2021년11월_계_0~9세,"36,876","3,952","1,224","1,217","1,634","2,441","1,068","1,160","1,032","1,959","1,138","1,185","1,584",459,677,"3,020","3,512","3,407","3,800","1,186","1,221"
2021년11월_계_10~19세,"43,598","4,426","1,243","1,540","1,897","2,371","1,365","1,629","1,311","2,339","1,598","1,520","1,790",423,527,"4,870","5,499","2,159","4,255","1,406","1,430"
2021년11월_계_20~29세,"85,856","5,601","5,038","3,083","3,798","9,525","2,571","3,233","2,851","5,999","4,428","3,849","8,234","1,580","1,634","4,541","5,137","4,022","5,042","3,329","2,361"
2021년11월_계_30~39세,"97,858","7,188","6,136","3,444","4,572","10,418","2,812","3,118","3,192","6,337","4,273","3,984","8,621","2,299","3,064","4,071","5,194","5,639","6,144","3,791","3,561"
2021년11월_계_40~49세,"89,281","7,574","3,218","2,981","3,811","7,394","2,989","3,193","3,218","5,397","3,520","3,802","4,566","1,409","1,835","6,909","8,351","5,058","7,496","3,236","3,324"
2021년11월_계_50~59세,"84,467","5,945","3,075","3,279","5,068","7,233","2,807","3,211","3,305","4,806","3,886","3,678","4,113","1,989","2,157","5,798","6,641","4,165","6,338","3,510","3,463"
2021년11월_계_60~69세,"79,383","4,392","2,324","2,904","5,468","7,191","2,471","3,451","3,265","4,393","3,735","3,591","3,423","3,321","2,797","4,040","5,121","3,752","5,881","3,830","4,033"
2021년11월_계_70~79세,"39,339","1,812","1,116","1,371","2,553","3,767","1,319","1,826","1,686","2,110","1,629","2,083","1,168","1,620","1,563","2,195","2,607","1,829","2,824","2,056","2,205"
2021년11월_계_80~89세,"15,517",693,706,467,"1,487","1,242",394,602,612,742,590,634,498,809,700,795,792,743,"1,079",917,"1,015"
2021년11월_계_90~99세,"2,522",100,140,93,294,168,60,87,84,112,96,81,85,132,119,140,122,119,171,130,189
2021년11월_계_100세 이상,92,2,6,0,12,10,0,8,1,4,2,4,6,2,3,5,5,4,8,4,6
2021년11월_남_총인구수,"276,624","20,176","11,265","9,958","14,507","25,119","8,676","10,298","10,067","16,591","12,049","11,755","15,589","6,626","6,997","17,212","20,559","15,585","20,976","11,561","11,058"
2021년11월_남_연령구간인구수,"276,624","20,176","11,265","9,958","14,507","25,119","8,676","10,298","10,067","16,591","12,049","11,755","15,589","6,626","6,997","17,212","20,559","15,585","20,976","11,561","11,058"
