,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년11월_계_총인구수,"560,354","24,197","14,767","8,609","27,895","14,171","17,628","31,849","29,546","23,733","16,800","32,029","22,394","43,933","16,554","76,957","39,554","20,285","11,519","36,519","19,808","18,505","13,102"
2020년11월_계_연령구간인구수,"560,354","24,197","14,767","8,609","27,895","14,171","17,628","31,849","29,546","23,733","16,800","32,029","22,394","43,933","16,554","76,957","39,554","20,285","11,519","36,519","19,808","18,505","13,102"
2020년11월_계_0~9세,"40,552","1,695",599,399,"2,146",657,"1,348","2,070","1,861","1,342",889,"1,445","2,212","5,171",626,"8,952","3,022","1,147",379,"2,327",863,762,640
2020년11월_계_10~19세,"55,621","2,033",737,566,"2,325",980,"1,680","3,610","2,997","2,541","1,403","2,484","2,227","8,332","1,161","8,417","4,873","1,474",607,"3,647","1,328","1,241",958
2020년11월_계_20~29세,"79,736","2,952","2,377","1,308","4,316","2,362","2,529","5,120","4,754","4,172","2,580","6,792","2,724","4,255","1,811","9,261","5,376","3,528","1,257","5,099","2,937","2,517","1,709"
2020년11월_계_30~39세,"66,967","2,866","1,897",955,"3,807","1,773","2,254","3,380","3,374","2,542","2,145","3,668","3,182","4,630","1,326","11,454","4,124","2,890","1,100","3,875","2,300","1,949","1,476"
2020년11월_계_40~49세,"89,849","3,606","1,840","1,148","4,164","1,991","2,809","5,295","4,651","3,769","2,398","4,609","4,065","10,787","2,300","13,692","6,482","2,638","1,250","5,265","2,718","2,416","1,956"
2020년11월_계_50~59세,"103,958","4,253","2,606","1,522","5,217","2,857","3,372","6,701","6,527","5,288","3,549","6,490","3,883","5,959","3,095","11,918","7,338","3,836","2,271","7,383","3,839","3,443","2,611"
2020년11월_계_60~69세,"73,012","3,834","2,513","1,394","3,697","2,188","2,225","3,495","3,343","2,480","2,562","3,681","2,611","2,889","3,119","8,042","5,059","2,937","2,611","5,542","3,268","3,379","2,143"
2020년11월_계_70~79세,"34,211","2,051","1,517",874,"1,597",945,"1,004","1,504","1,370","1,062",891,"1,880","1,050","1,285","2,069","3,579","2,132","1,235","1,343","2,209","1,732","1,822","1,060"
2020년11월_계_80~89세,"14,643",811,612,400,553,375,365,615,603,485,342,875,392,546,944,"1,451","1,011",524,617,"1,053",738,852,479
2020년11월_계_90~99세,"1,714",86,63,38,71,41,39,57,64,51,41,103,43,71,98,174,132,72,83,119,82,116,70
2020년11월_계_100세 이상,91,10,6,5,2,2,3,2,2,1,0,2,5,8,5,17,5,4,1,0,3,8,0
2020년11월_남_총인구수,"276,555","11,782","7,158","4,182","13,636","7,004","8,709","16,007","14,898","11,953","8,515","16,441","11,109","21,524","7,938","37,846","19,327","10,074","5,539","17,747","9,779","8,890","6,497"
2020년11월_남_연령구간인구수,"276,555","11,782","7,158","4,182","13,636","7,004","8,709","16,007","14,898","11,953","8,515","16,441","11,109","21,524","7,938","37,846","19,327","10,074","5,539","17,747","9,779","8,890","6,497"
2020년11월_남_0~9세,"20,780",827,306,213,"1,074",322,702,"1,082",986,693,468,760,"1,102","2,621",344,"4,598","1,521",601,190,"1,206",456,382,326
2020년11월_남_10~19세,"28,844",957,376,292,"1,200",525,872,"1,930","1,593","1,296",731,"1,246","1,068","4,229",600,"4,408","2,676",792,333,"1,885",702,625,508
2020년11월_남_20~29세,"42,517","1,507","1,109",665,"2,148","1,213","1,329","2,742","2,581","2,289","1,415","3,703","1,470","2,332","1,008","4,907","2,936","1,856",718,"2,760","1,531","1,340",958
2020년11월_남_30~39세,"34,853","1,468",986,484,"1,962","1,012","1,170","1,763","1,825","1,358","1,205","2,157","1,623","2,047",724,"5,586","2,044","1,634",626,"2,020","1,261","1,076",822
2020년11월_남_40~49세,"43,494","1,861","1,007",605,"2,040",974,"1,357","2,424","2,187","1,742","1,184","2,368","2,032","4,948","1,185","6,699","2,893","1,285",651,"2,412","1,395","1,226","1,019"
2020년11월_남_50~59세,"50,277","2,128","1,310",727,"2,473","1,350","1,603","3,371","3,171","2,625","1,655","3,303","1,894","3,240","1,545","5,628","3,429","1,758","1,025","3,369","1,830","1,590","1,253"
2020년11월_남_60~69세,"35,234","1,814","1,176",657,"1,769","1,051","1,092","1,747","1,727","1,303","1,317","1,830","1,259","1,336","1,429","3,849","2,479","1,415","1,207","2,719","1,510","1,542","1,006"
2020년11월_남_70~79세,"15,204",926,656,374,750,413,450,714,594,473,402,801,509,568,795,"1,626",960,554,608,996,808,775,452
2020년11월_남_80~89세,"4,963",281,222,154,204,131,124,224,217,164,127,253,142,184,282,495,360,165,162,356,274,308,134
2020년11월_남_90~99세,370,12,9,11,14,12,9,10,17,10,11,20,7,18,25,44,29,14,19,24,12,24,19
2020년11월_남_100세 이상,19,1,1,0,2,1,1,0,0,0,0,0,3,1,1,6,0,0,0,0,0,2,0
