,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년11월_계_총인구수,"42,800","6,445","4,495","6,027","13,666","3,894","3,521","2,620","2,132"
2020년11월_계_연령구간인구수,"42,800","6,445","4,495","6,027","13,666","3,894","3,521","2,620","2,132"
2020년11월_계_0~9세,"2,595",475,190,398,"1,124",154,133,77,44
2020년11월_계_10~19세,"3,856",578,310,512,"1,654",269,234,196,103
2020년11월_계_20~29세,"3,686",613,353,408,"1,439",279,308,154,132
2020년11월_계_30~39세,"3,796",605,283,541,"1,547",274,260,157,129
2020년11월_계_40~49세,"6,460",928,625,939,"2,591",510,397,276,194
2020년11월_계_50~59세,"7,402","1,134",822,970,"2,190",753,721,433,379
2020년11월_계_60~69세,"7,674","1,111",997,"1,090","1,736",911,726,597,506
2020년11월_계_70~79세,"4,907",680,630,772,954,514,464,488,405
2020년11월_계_80~89세,"2,080",260,236,342,376,199,241,218,208
2020년11월_계_90~99세,280,46,41,46,47,26,30,20,24
2020년11월_계_100세 이상,64,15,8,9,8,5,7,4,8
2020년11월_남_총인구수,"21,685","3,201","2,303","3,060","6,953","1,958","1,734","1,369","1,107"
2020년11월_남_연령구간인구수,"21,685","3,201","2,303","3,060","6,953","1,958","1,734","1,369","1,107"
2020년11월_남_0~9세,"1,342",246,93,220,573,76,66,45,23
2020년11월_남_10~19세,"2,021",303,169,256,871,118,114,133,57
2020년11월_남_20~29세,"2,113",366,212,243,816,146,167,88,75
2020년11월_남_30~39세,"1,996",319,155,264,781,153,158,84,82
2020년11월_남_40~49세,"3,447",466,344,541,"1,330",285,205,167,109
2020년11월_남_50~59세,"3,950",565,454,551,"1,155",393,373,245,214
2020년11월_남_60~69세,"3,791",525,507,509,852,454,371,308,265
2020년11월_남_70~79세,"2,195",299,270,341,440,239,202,215,189
2020년11월_남_80~89세,739,94,86,120,123,87,72,77,80
2020년11월_남_90~99세,65,11,10,12,7,5,4,5,11
2020년11월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년11월_여_총인구수,"21,115","3,244","2,192","2,967","6,713","1,936","1,787","1,251","1,025"
2020년11월_여_연령구간인구수,"21,115","3,244","2,192","2,967","6,713","1,936","1,787","1,251","1,025"
2020년11월_여_0~9세,"1,253",229,97,178,551,78,67,32,21
2020년11월_여_10~19세,"1,835",275,141,256,783,151,120,63,46
2020년11월_여_20~29세,"1,573",247,141,165,623,133,141,66,57
2020년11월_여_30~39세,"1,800",286,128,277,766,121,102,73,47
2020년11월_여_40~49세,"3,013",462,281,398,"1,261",225,192,109,85
2020년11월_여_50~59세,"3,452",569,368,419,"1,035",360,348,188,165
2020년11월_여_60~69세,"3,883",586,490,581,884,457,355,289,241
2020년11월_여_70~79세,"2,712",381,360,431,514,275,262,273,216
2020년11월_여_80~89세,"1,341",166,150,222,253,112,169,141,128
2020년11월_여_90~99세,215,35,31,34,40,21,26,15,13
2020년11월_여_100세 이상,38,8,5,6,3,3,5,2,6
